Accession,Entry,Name,ex1_114.113,ex1_117.116,ex2_114.113,ex2_117.116,ex1_115.113,ex1_118.116,ex2_115.113,ex2_118.116
THIM_HUMAN,P42765,"3-ketoacyl-CoA thiolase, mitochondrial",0.112,1.169,0.261,0.973,0.705,0.817,0.302,0.191
AL1L2_HUMAN,Q3SY69,"Aldehyde dehydrogenase family 1 member L2, mitochondrial",0.101,0.353,0.244,1.905,0.147,0.175,0.036,0.449
RS3_HUMAN,P23396,"40S ribosomal protein S3",0.04,0.637,0.398,3.311,0.313,0.817,0.581,0.673
BGH3_HUMAN,Q15582,"Transforming growth factor-beta-induced protein ig-h3",2.805,1.472,0.217,2.831,8.241,2.27,2.089,2.168
COF1_HUMAN,P23528,Cofilin-1,1.614,1.978,1.393,0.749,6.427,4.296,2.343,1.593
SFPQ_HUMAN,P23246,"Splicing factor, proline- and glutamine-rich",0.278,1,0.535,0.938,1.556,0.766,1.271,1.009
CAP1_HUMAN,Q01518,"Adenylyl cyclase-associated protein 1",5.702,1.722,1.5,0.964,6.918,3.251,5.297,6.792
CBPB1_HUMAN,P15086,"Carboxypeptidase B",0.198,0.126,0.145,0.217,0.021,0.021,0.023,0.038
KAP2_HUMAN,P13861,"cAMP-dependent protein kinase type II-alpha regulatory subunit",0.078,0.973,0.895,1.117,0.839,0.136,0.929,0.661
CERU_HUMAN,P00450,Ceruloplasmin,4.13,1.57,1.343,1.202,10.765,1.803,1.18,1.614
PRDX6_HUMAN,P30041,Peroxiredoxin-6,0.946,2.014,0.871,0.555,0.655,0.535,0.302,0.718
SUCB2_HUMAN,Q96I99,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial",0.124,0.824,0.166,2.188,0.225,0.258,0.109,0.506
HPT_HUMAN,P00738,Haptoglobin,0.425,6.486,5.495,2.679,5.861,8.472,2.089,18.707
ADT2_HUMAN,P05141,"ADP/ATP translocase 2",0.04,0.705,0.064,0.766,0.575,0.705,1.406,0.673
PRDX1_HUMAN,Q06830,Peroxiredoxin-1,0.36,1.837,1.18,0.461,2.63,1.18,3.631,1.419
RLA0_HUMAN,P05388,"60S acidic ribosomal protein P0",0.071,1.486,0.041,5.598,0.164,0.692,0.164,0.912
CFAB_HUMAN,P00751,"Complement factor B",0.398,2.399,1.18,0.409,4.207,1.343,2.051,1.888
PALLD_HUMAN,Q8WX93,Palladin,3.802,1.486,0.787,0.592,12.134,2.443,1.117,2.754
STAT1_HUMAN,P42224,"Signal transducer and activator of transcription 1-alpha/beta",0.261,1.127,1.202,5.058,3.162,1.706,1.047,3.767
PGS1_HUMAN,P21810,Biglycan,2.938,0.794,3.192,1,17.539,4.285,12.474,8.872
SBP1_HUMAN,Q13228,"Selenium-binding protein 1",0.1,0.973,0.38,1.738,0.661,0.614,0.184,0.57
GSTA2_HUMAN,P09210,"Glutathione S-transferase A2",0.053,0.673,0.038,1.117,0.041,0.219,0.029,0.187
CTRB1_HUMAN,P17538,"Chymotrypsinogen B",0.02,0.817,0.053,1.754,0.028,0.16,0.03,0.122
RLA2_HUMAN,P05387,"60S acidic ribosomal protein P2",0.023,1.117,0.046,1.5,0.187,0.724,0.127,0.794
LPPRC_HUMAN,P42704,"Leucine-rich PPR motif-containing protein, mitochondrial",0.667,1.247,0.575,0.895,0.667,0.57,0.597,1
PEDF_HUMAN,P36955,"Pigment epithelium-derived factor",1.941,0.752,0.847,0.565,9.204,2.089,1.472,1.117
PCKGM_HUMAN,Q16822,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",0.058,0.387,0.158,2.679,0.236,0.331,0.227,0.353
PERM_HUMAN,P05164,Myeloperoxidase,0.453,1.786,12.706,1.854,1.18,5.702,29.107,3.981
HXK1_HUMAN,P19367,Hexokinase-1,1.57,1.419,3.499,1.019,5.546,1.459,9.29,1.117
ODO2_HUMAN,P36957,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",0.072,0.597,0.724,0.603,0.982,0.331,0.839,1.057
PTRF_HUMAN,Q6NZI2,"Polymerase I and transcript release factor",0.153,0.871,0.879,0.565,1.406,0.417,0.313,0.319
PEBP1_HUMAN,P30086,"Phosphatidylethanolamine-binding protein 1",0.194,0.887,0.673,1.432,0.063,0.492,0.039,0.238
GLUC_HUMAN,P01275,Glucagon,0.094,0.879,0.026,0.752,0.095,0.637,0.026,2.07
SEPT2_HUMAN,Q15019,Septin-2,0.217,0.817,0.745,0.441,2.377,0.929,2.014,1.076
AIFM1_HUMAN,O95831,"Apoptosis-inducing factor 1, mitochondrial",0.108,0.586,1.159,0.817,0.24,0.223,0.871,0.52
HNRPQ_HUMAN,O60506,"Heterogeneous nuclear ribonucleoprotein Q",0.698,1.148,0.036,3.802,0.973,0.649,0.174,0.92
CBPA2_HUMAN,P48052,"Carboxypeptidase A2",0.089,1.472,0.146,2.729,0.027,0.31,0.021,0.115
AK1A1_HUMAN,P14550,"Alcohol dehydrogenase [NADP+]",0.134,0.603,0.084,8.166,0.492,0.483,0.153,0.637
COPD_HUMAN,P48444,"Coatomer subunit delta",0.483,0.871,0.824,0.592,0.356,0.384,0.824,0.387
SC23A_HUMAN,Q15436,"Protein transport protein Sec23A",0.139,1.871,2.128,0.692,1.995,2.992,1.514,2.228
SAHH_HUMAN,P23526,Adenosylhomocysteinase,0.142,1.028,0.057,2.729,0.483,0.839,0.331,0.78
AL9A1_HUMAN,P49189,"4-trimethylaminobutyraldehyde dehydrogenase",0.06,0.692,0.479,0.429,0.597,0.54,0.474,0.373
CAPG_HUMAN,P40121,"Macrophage-capping protein",1.514,0.325,1.905,2.291,10.471,1.236,6.73,4.613
RSSA_HUMAN,P08865,"40S ribosomal protein SA",0.24,0.637,1.009,1.355,0.187,0.581,0.483,0.718
LASP1_HUMAN,Q14847,"LIM and SH3 domain protein 1",0.766,0.592,3.664,1.086,1.514,1.107,2.312,4.018
FLNC_HUMAN,Q14315,Filamin-C,1.318,3.02,9.727,0.283,1.542,2.421,4.699,1.644
RS4X_HUMAN,P62701,"40S ribosomal protein S4, X isoform",0.263,0.437,0.655,0.511,0.366,0.871,1.419,1.117
SEPT9_HUMAN,Q9UHD8,Septin-9,2.07,1.528,1.057,0.661,3.631,1.368,1.923,1.117
ERP27_HUMAN,Q96DN0,"Endoplasmic reticulum resident protein 27",0.192,1.355,0.06,4.246,0.039,0.249,0.018,0.581
NSF_HUMAN,P46459,"Vesicle-fusing ATPase",0.054,0.655,0.673,1.888,0.445,0.366,0.313,0.92
SARDH_HUMAN,Q9UL12,"Sarcosine dehydrogenase, mitochondrial",0.115,0.236,1.117,1.038,0.062,0.211,0.147,0.233
PCCA_HUMAN,P05165,"Propionyl-CoA carboxylase alpha chain, mitochondrial",0.184,0.643,0.904,1.355,0.387,0.353,0.773,0.817
IDHP_HUMAN,P48735,"Isocitrate dehydrogenase [NADP], mitochondrial",0.094,1.107,0.118,1.871,0.154,0.92,0.373,0.794
PRS8_HUMAN,P62195,"26S protease regulatory subunit 8",0.904,1.225,0.011,1.738,0.982,0.955,0.37,0.302
GBLP_HUMAN,P63244,"Guanine nucleotide-binding protein subunit beta-2-like 1",0.692,1.057,0.051,3.192,0.437,0.625,0.094,0.847
MDHC_HUMAN,P40925,"Malate dehydrogenase, cytoplasmic",0.161,0.724,0.078,1.977,0.515,0.223,0.387,0.581
ACADV_HUMAN,P49748,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",0.213,1.117,0.982,0.982,0.515,0.766,0.637,0.54
EMAL4_HUMAN,Q9HC35,"Echinoderm microtubule-associated protein-like 4",0.065,0.705,0.667,1.923,0.488,0.608,0.759,1
RS14_HUMAN,P62263,"40S ribosomal protein S14",0.483,0.219,0.794,0.904,0.278,1.57,0.787,1.107
CSPG2_HUMAN,P13611,"Versican core protein",7.178,1.854,1.33,4.13,7.798,5.058,2.291,15.417
P5CS_HUMAN,P54886,"Delta-1-pyrroline-5-carboxylate synthase",0.34,0.53,0.35,0.863,0.103,0.286,0.479,0.417
TRY1_HUMAN,P07477,Trypsin-1,0.037,0.724,0.116,1.169,0.017,0.137,0.024,0.107
LAMB3_HUMAN,Q13751,"Laminin subunit beta-3",2.07,0.625,4.325,0.54,2.992,2.208,16.749,2.606
XPP1_HUMAN,Q9NQW7,"Xaa-Pro aminopeptidase 1",0.021,0.724,0.131,4.406,0.231,0.53,0.205,0.409
IQGA2_HUMAN,Q13576,"Ras GTPase-activating-like protein IQGAP2",0.242,1.445,0.187,0.964,0.331,0.887,0.242,0.286
TPM4_HUMAN,P67936,"Tropomyosin alpha-4 chain",0.667,1.905,0.453,1.614,3.532,2.729,1.406,3.981
BASP1_HUMAN,P80723,"Brain acid soluble protein 1",0.244,1.028,1.306,0.182,7.379,1.419,1.57,2.443
CISY_HUMAN,O75390,"Citrate synthase, mitochondrial",2.466,1.528,1.086,1.355,4.406,1,1.107,1.343
RPN2_HUMAN,P04844,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2",0.158,0.535,0.174,3.105,0.251,0.366,0.172,0.142
K2C6A_HUMAN,P02538,"Keratin, type II cytoskeletal 6A",2.312,3.724,1.971,4.323,13.932,5.743,9.514,9.996
HNRPD_HUMAN,Q14103,"Heterogeneous nuclear ribonucleoprotein D0",0.049,1,0.698,3.873,0.912,0.637,0.667,0.724
TPM1_HUMAN,P09493,"Tropomyosin alpha-1 chain",1.259,5.346,1.057,1.959,6.138,6.546,1.69,4.92
LKHA4_HUMAN,P09960,"Leukotriene A-4 hydrolase",0.649,2.965,1.225,1.5,2.679,1.614,1.213,1.019
ODPB_HUMAN,P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",0.055,0.673,0.094,5.702,0.457,0.331,0.302,0.575
HCDH_HUMAN,Q16836,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",0.198,0.787,0.08,0.78,0.425,0.466,0.15,1.18
SYDC_HUMAN,P14868,"Aspartyl-tRNA synthetase, cytoplasmic",0.773,0.54,0.207,0.912,0.895,0.78,0.288,0.817
LDHB_HUMAN,P07195,"L-lactate dehydrogenase B chain",0.067,1.076,0.466,2.559,0.425,0.649,0.445,0.515
PRDX2_HUMAN,P32119,Peroxiredoxin-2,0.101,0.929,0.065,5.012,0.268,0.461,0.185,0.912
SYFB_HUMAN,Q9NSD9,"Phenylalanyl-tRNA synthetase beta chain",0.062,0.575,0.492,1.009,0.575,0.53,0.525,0.296
DHSA_HUMAN,P31040,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",0.409,0.673,0.363,0.331,0.637,0.608,1.472,0.773
APOE_HUMAN,P02649,"Apolipoprotein E",2.466,1.148,1.585,2.443,5.105,2.399,1.067,7.178
CFAH_HUMAN,P08603,"Complement factor H",0.377,1.472,1.236,0.492,2.399,2.109,1.107,2.208
QCR1_HUMAN,P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial",0.022,0.597,0.991,0.904,0.685,0.373,0.718,0.661
PSA1_HUMAN,P25786,"Proteasome subunit alpha type-1",0.194,0.731,1.057,2.291,1.148,1.138,3.565,3.404
INS_HUMAN,P01308,Insulin,0.026,0.511,0.019,0.457,0.054,0.363,0.022,0.698
ITB1_HUMAN,P05556,"Integrin beta-1",2.489,2.421,1.18,5.395,4.656,2.168,3.733,6.31
FBLN1_HUMAN,P23142,Fibulin-1,5.012,1.096,1.995,0.938,6.026,2.208,2.512,2.535
RCN1_HUMAN,Q15293,Reticulocalbin-1,3.251,2.754,0.673,11.912,2.466,4.169,2.249,16.749
CAPZB_HUMAN,P47756,"F-actin-capping protein subunit beta",1.803,2.109,0.12,11.912,3.631,2.249,1.038,6.918
NIBAN_HUMAN,Q9BZQ8,"Protein Niban",0.47,0.608,0.27,0.614,0.497,1.107,0.555,0.982
PDCD4_HUMAN,Q53EL6,"Programmed cell death protein 4",0.146,0.608,0.488,0.705,0.233,0.215,0.103,0.334
PLST_HUMAN,P13797,Plastin-3,0.47,1.306,2.089,1.459,2.051,2.228,2.729,2.655
NCLN_HUMAN,Q969V3,Nicalin,0.705,0.445,6.081,0.294,0.457,0.592,0.36,0.363
HDGF_HUMAN,P51858,"Hepatoma-derived growth factor",0.06,0.955,0.409,0.711,1.117,0.752,1.076,2.559
MMSA_HUMAN,Q02252,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",0.105,0.685,0.244,1.169,0.038,0.421,0.09,0.238
LEG3_HUMAN,P17931,Galectin-3,0.955,0.887,0.38,2.27,3.436,1.69,2.051,11.482
LONM_HUMAN,P36776,"Lon protease homolog, mitochondrial",0.167,0.38,0.575,1.306,0.52,0.31,0.209,0.474
COTL1_HUMAN,Q14019,"Coactosin-like protein",1.5,2.148,1.995,3.698,3.499,1.614,4.207,8.091
ITAV_HUMAN,P06756,"Integrin alpha-V",1.355,1.225,1.138,5.97,6.427,1.368,1.459,6.026
PAIRB_HUMAN,Q8NC51,"Plasminogen activator inhibitor 1 RNA-binding protein",0.938,0.631,0.52,0.679,0.121,0.453,0.479,0.288
VWA1_HUMAN,Q6PCB0,"von Willebrand factor A domain-containing protein 1",0.085,1,0.501,0.47,1.368,0.929,1.355,1.202
ANXA3_HUMAN,P12429,"Annexin A3",0.337,2.443,0.871,2.965,1.419,1.542,3.076,1.318
DLDH_HUMAN,P09622,"Dihydrolipoyl dehydrogenase, mitochondrial",0.281,1.117,0.47,2.582,0.429,0.982,0.637,0.824
LAMC2_HUMAN,Q13753,"Laminin subunit gamma-2",0.879,0.501,1.343,0.738,4.169,1.6,6.792,4.966
PCSK1_HUMAN,Q9UHG2,ProSAAS,0.575,0.515,0.036,0.506,0.061,0.283,0.025,1.047
PDLI7_HUMAN,Q9NR12,"PDZ and LIM domain protein 7",1.629,1.514,1.047,0.417,11.588,2.535,2.559,1.432
SYLC_HUMAN,Q9P2J5,"Leucyl-tRNA synthetase, cytoplasmic",0.47,0.429,0.265,1.294,0.337,0.402,0.328,0.661
RS13_HUMAN,P62277,"40S ribosomal protein S13",1.5,0.839,0.421,1.995,1.096,2.168,1.18,1.803
FKBP9_HUMAN,O95302,"Peptidyl-prolyl cis-trans isomerase FKBP9",2.109,0.711,2.729,7.798,1.923,1.923,2.421,4.613
LEG1_HUMAN,P09382,Galectin-1,4.699,2.884,2.042,1.467,11.695,13.428,3.162,4.813
OST48_HUMAN,P39656,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit",0.179,0.625,0.625,3.02,0.106,0.36,0.449,0.773
KV312_HUMAN,P18135,"Ig kappa chain V-III region HAH",1.107,1.368,1.675,0.283,3.133,4.13,1.271,2.78
IF4G1_HUMAN,Q04637,"Eukaryotic translation initiation factor 4 gamma 1",0.151,0.871,1.038,1.355,0.488,0.839,0.705,0.661
SPB6_HUMAN,P35237,"Serpin B6",0.614,0.731,0.119,3.981,0.185,0.363,0.175,0.322
PAHO_HUMAN,P01298,"Pancreatic prohormone",0.586,0.809,0.025,0.597,0.203,0.871,0.078,0.802
PTK7_HUMAN,Q13308,"Inactive tyrosine-protein kinase 7",0.453,1.941,1.738,0.92,1.738,4.966,1.368,1.445
TYB4_HUMAN,P62328,"Thymosin beta-4",1.18,1.432,4.571,0.887,1.159,1.556,5.861,1.047
UFL1_HUMAN,O94874,"E3 UFM1-protein ligase 1",0.154,0.453,0.738,2.312,0.643,0.328,0.53,0.227
SCMC1_HUMAN,Q6NUK1,"Calcium-binding mitochondrial carrier protein SCaMC-1",0.453,1.225,0.631,1.18,2.421,1.127,1.057,1.528
GNAI2_HUMAN,P04899,"Guanine nucleotide-binding protein G(i) subunit alpha-2",1.888,2.312,3.02,0.871,1.169,1.556,2.27,1.067
SIAS_HUMAN,Q9NR45,"Sialic acid synthase",0.058,1.236,0.319,1.644,0.328,0.506,0.52,0.261
MUC18_HUMAN,P43121,"Cell surface glycoprotein MUC18",0.261,1.995,1.169,3.342,1.738,1.69,1.318,3.767
HS105_HUMAN,Q92598,"Heat shock protein 105 kDa",1.259,1.5,0.449,1.067,1.169,1.57,1.923,1.556
1433B_HUMAN,P31946,"14-3-3 protein beta/alpha",2.559,1.629,1.318,3.342,2.965,1.225,1.675,3.945
ITIH3_HUMAN,Q06033,"Inter-alpha-trypsin inhibitor heavy chain H3",2.333,0.679,6.368,0.973,3.597,1.18,3.192,6.607
ARP2_HUMAN,P61160,"Actin-related protein 2",1.225,1.271,0.871,1.941,6.668,1.644,1.472,1.432
CRK_HUMAN,P46108,"Adapter molecule crk",0.075,0.794,0.649,0.964,1.5,0.52,0.698,0.738
DPP3_HUMAN,Q9NY33,"Dipeptidyl peptidase 3",0.766,0.946,0.53,1.33,0.711,0.964,0.565,0.377
SC23B_HUMAN,Q15437,"Protein transport protein Sec23B",0.055,0.037,0.787,2.78,0.137,0.074,0.425,0.592
GABT_HUMAN,P80404,"4-aminobutyrate aminotransferase, mitochondrial",0.06,0.387,0.163,15.417,0.03,0.31,0.051,0.982
ACADS_HUMAN,P16219,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",0.608,0.912,0.398,1.306,0.294,0.417,0.373,0.291
COX5A_HUMAN,P20674,"Cytochrome c oxidase subunit 5A, mitochondrial",0.363,1.117,0.061,1.282,0.661,0.586,0.229,0.817
SCLY_HUMAN,Q96I15,"Selenocysteine lyase",0.154,0.545,0.832,0.711,0.094,0.555,0.759,0.592
HNRPR_HUMAN,O43390,"Heterogeneous nuclear ribonucleoprotein R",0.254,0.879,0.101,1.33,0.586,0.394,0.78,0.603
COMP_HUMAN,P49747,"Cartilage oligomeric matrix protein",2.089,0.619,7.943,0.217,6.081,7.516,6.252,1.247
FSCN1_HUMAN,Q16658,Fascin,0.904,0.824,1.225,0.839,2.655,1.472,2.032,1.923
RCN3_HUMAN,Q96D15,Reticulocalbin-3,1.738,0.586,4.285,0.982,5.2,3.192,3.133,2.606
AATC_HUMAN,P17174,"Aspartate aminotransferase, cytoplasmic",0.394,1.318,1.306,1.096,1.69,1.028,1.69,1.432
NUCB2_HUMAN,P80303,Nucleobindin-2,0.026,0.535,0.433,3.076,0.158,0.147,0.047,0.334
