Accession..,Gene.Symbol,Entry,Name,Peptides.95..,PDAC119.3MPD,PDAC120.3MPD,PDAC122.3MPD,PDAC123.3MPD,PDAC136.3MPD,PDAC138.3MPD,PDAC139.3MPD
IPI00829925.1,CELA2A,P08217,"Uncharacterized protein",1,0.0412,0.0535,0.0844,0.2,0.0672,0.0831,0.0805
IPI00829653.2,-,NA,"13 kDa protein",1,0.4006,0.35,0.2751,0.5707,0.3971,0.3802,0.33
IPI00892604.1,C4B,P0C0L5,"Complement component C4B (Childo blood group) 2",0,0.353,0.4956,0.4101,0.356,0.267,0.5002,0.4216
IPI00744476.6,-,NA,"IGL@ protein",5,0.3478,0.2541,0.3306,0.7672,0.3806,0.3149,0.4053
IPI00871697.1,CCDC142,Q17RM4,"Isoform 2 of Coiled-coil domain-containing protein 142",1,0.0348,0.1058,0.0807,0.0458,0.0835,0.0922,0.0743
IPI00795458.1,COPG,Q9Y678,"7 kDa protein",0,1.9409,2.1344,2.6265,2.7814,3.1328,3.5485,3.8333
IPI00645329.1,RBBP4,Q09028,"Isoform 3 of Histone-binding protein RBBP4",0,2.0463,2.02,1.8158,1.9772,3.5811,2.9611,3.1869
IPI00029039.1,REG3A,Q06141,"Regenerating islet-derived protein 3-alpha",0,0.3413,0.2003,0.2083,0.8816,0.2173,0.2248,0.1217
IPI00216298.6,TXN,P10599,Thioredoxin,0,3.6461,2.8768,3.4407,3.2167,2.6377,3.1201,2.3398
IPI00465343.3,ADH1C,P00326,"Alcohol dehydrogenase 1C",0,0.1713,0.3938,0.3029,0.4175,0.1455,0.2315,0.1983
IPI00884105.2,LAMP1,P11279,"Lysosome-associated membrane glycoprotein 1",0,0.4403,0.4222,0.7603,0.5623,0.4143,0.4558,0.347
IPI00973556.1,IGLV1-40,A0A075B6J0,"Putative uncharacterized protein",4,0.4025,0.4543,0.2641,0.4185,0.3632,0.4668,0.4321
IPI00167941.1,MDN1,Q9NU22,Midasin,1,0.2504,0.1991,0.2511,0.4964,0.2721,0.2602,0.2798
IPI00006006.3,TMEM63A,O94886,"Transmembrane protein 63A",0,0.3937,0.5266,0.7336,0.3906,0.4617,0.4438,0.4601
IPI00447177.1,-,Q6WG73,"Antigen MLAA-23",0,0.1102,0.2183,0.1577,0.0824,0.2158,0.1602,0.0934
IPI00026496.3,NPM3,O75607,Nucleoplasmin-3,0,2.0982,2.1618,2.3599,2.6321,2.9414,3.3297,3.55
IPI00879975.1,CEACAM1,P13688,"Putative carcinoembryonic antigen-related cell adhesion molecule 1 short form 3",1,4.8992,1.9142,6.5941,2.0917,3.1046,2.7272,1.7452
IPI00398365.3,PPFIA3,O75145,"Isoform 2 of Liprin-alpha-3",0,0.614,0.4731,0.4213,0.4736,0.3778,0.4967,0.4126
IPI00871858.1,CYB5A,P00167,"Cytochrome b-5 isoform 1 variant",0,0.4512,0.5169,0.4131,0.4985,0.5285,0.4243,0.452
IPI00219168.7,SPTBN5,Q9NRC6,"Spectrin beta chain, brain 4",0,0.1598,0.1999,0.2612,0.247,0.1958,0.1991,0.1714
IPI00450768.7,KRT17,Q04695,"Keratin, type I cytoskeletal 17",5,0.1894,0.3298,0.219,0.1295,0.1692,0.3977,0.3174
IPI00465166.2,ATP8A2,Q9NTI2,"probable phospholipid-transporting ATPase IB",0,0.1132,0.0282,0.0847,0.0682,0.0837,0.0932,0.0543
IPI00239415.4,SYNE2,Q8WXH0,Polytrophin,0,0.72,0.3608,0.4766,0.5765,0.3126,0.3288,0.3908
IPI00152380.4,MYO15A,Q9UKN7,Myosin-XV,0,0.3692,0.469,0.458,0.4559,0.3918,0.4241,0.5111
IPI00455457.4,-,Q5TEC6,"Histone H3",2,2.8463,2.099,4.4146,1.9955,4.3657,2.1295,2.933
IPI00888387.1,CEP110,Q7Z7A1,"Isoform 5 of Centriolin",0,0.1852,0.1712,0.1304,0.1306,0.2283,0.2232,0.2078
IPI00030209.1,FOXD2,O60548,"Fork head transcription factor domain containing protein",0,0.3627,0.371,0.2928,0.5116,0.3235,0.4062,0.274
IPI00645199.1,EIF4ENIF1,Q9NRA8,"Eukaryotic translation initiation factor 4E nuclear import factor 1",0,0.2215,0.2903,0.454,0.6752,0.2608,0.2636,0.2297
IPI00797572.2,IQSEC1,Q6DN90,"IQ motif and SEC7 domain-containing protein 1 isoform a",0,1.9928,2.1984,2.7113,2.8885,3.2824,3.7036,4.0661
IPI00942439.1,LETMD1,Q6P1Q0,"Isoform 1 of LETM1 domain-containing protein 1",0,0.4857,0.4754,0.2855,0.5653,0.3787,0.6127,0.2895
IPI00002188.2,ARFGEF1,Q9Y6D6,"Brefeldin A-inhibited guanine nucleotide-exchange protein 1",0,0.1241,0.2048,0.1595,0.1804,0.1466,0.1619,0.1799
IPI00102678.2,PCNX,Q96RV3,"Isoform 1 of Pecanex-like protein 1",0,0.231,0.4362,0.3436,0.4757,0.2914,0.3219,0.4363
IPI00017704.3,COTL1,Q14019,"Coactosin-like protein",0,2.1521,1.5803,2.2537,2.1482,1.8374,2.762,2.4598
IPI00878237.1,OSBP2,Q969R2,"86 kDa protein",0,0.3413,0.2003,0.2083,0.8816,0.2173,0.2248,0.1217
IPI00873484.1,CAPZA1,P52907,"32 kDa protein",0,2.5039,1.9285,2.5948,2.443,2.3441,2.1287,2.3268
IPI00922301.1,-,NA,"Glutathione S-transferase",0,0.2585,0.346,0.2974,0.8446,0.4345,0.1926,0.3615
IPI00333771.1,CALD1,Q05682,"Isoform 5 of Caldesmon",1,3.4341,3.5598,4.6352,1.9355,2.0535,1.6941,3.0298
IPI00398992.7,CHD8,Q9HCK8,"Isoform 1 of Chromodomain-helicase-DNA-binding protein 8",0,0.2461,0.566,0.5527,0.3001,0.4684,0.3278,0.209
IPI00007058.1,CORO1B,Q9BR76,Coronin-1B,0,0.1344,0.2091,0.0863,0.1322,0.1426,0.1993,0.1855
IPI00301699.1,C6orf54,Q9Y6Z4,"Isoform 2 of Uncharacterized protein C6orf54",0,0.3644,0.468,0.2841,0.343,0.2346,0.3561,0.3264
IPI00645403.3,KIAA1217,Q5T5P2,"Isoform 1 of Sickle tail protein homolog",0,0.8857,0.3084,0.3792,0.3166,0.3199,0.1563,0.2292
IPI00514411.2,RSF1,Q96T23,"Isoform 2 of Remodeling and spacing factor 1",0,3.5828,2.943,2.1635,1.6993,1.6938,3.0442,3.336
IPI00644311.2,ZNF646,O15015,"Isoform 2 of Zinc finger protein 646",0,0.1225,0.3527,0.263,0.2515,0.293,0.2115,0.1709
IPI00745991.2,PTPRB,P23467,"Isoform 3 of Receptor-type tyrosine-protein phosphatase beta",0,0.6266,0.4831,0.4409,0.9267,0.3598,0.3922,0.3567
IPI00465164.7,HMGXB3,Q12766,"HMG domain-containing protein 3",0,0.3987,0.4172,0.3235,0.5444,0.3414,0.452,0.2911
IPI00646555.3,SCAND3,Q6R2W3,"SCAN domain-containing protein 3",0,2.0514,1.9447,2.292,2.2932,2.1055,2.3215,2.0048
IPI00383638.1,ANAPC5,Q9UJX4,"MRNA, expressed in fibroblasts of periodontal ligament, , clone:PDL-108",0,0.3295,0.4658,0.4618,0.6816,0.3749,0.4345,0.5101
IPI00549274.2,ARHGAP33,O14559,"Isoform 1 of Rho GTPase-activating protein 33",0,0.258,0.2528,0.2394,0.2157,0.2104,0.2034,0.2054
IPI00296922.4,LAMB2,P55268,"Laminin subunit beta-2",0,0.4072,0.2832,0.2832,0.5232,0.3154,0.2319,0.4378
IPI00104050.3,THRAP3,Q9Y2W1,"Thyroid hormone receptor-associated protein 3",0,0.0194,0.048,0.0256,0.0376,0.0262,0.0479,0.0265
IPI00172479.1,DISP1,Q96F81,"Protein dispatched homolog 1",0,1.8669,2.5751,4.4044,3.3605,2.2547,2.1561,3.0657
IPI00423466.1,IGHV4-31;IGHG1;LOC100290146,Q6N097,"Putative uncharacterized protein DKFZp686H20196",18,0.2584,0.3276,0.2564,0.5583,0.3251,0.1915,0.2327
IPI00894492.3,USP34,Q70CQ2,"Ubiquitin carboxyl-terminal hydrolase",0,0.7936,0.6749,0.296,0.2572,0.3304,0.255,0.2661
IPI00438286.4,ERBB2IP,Q96RT1,"Isoform 1 of Protein LAP2",0,0.3644,0.468,0.2841,0.343,0.2346,0.3561,0.3264
IPI00784283.4,SHQ1,Q6PI26,"cDNA FLJ59713, highly similar to Homo sapiens SHQ1 homolog (SHQ1), mRNA",0,2.4349,2.9022,2.5802,3.1642,3.4796,4.2056,4.2644
IPI00164528.1,SNTA1,Q13424,Alpha-1-syntrophin,0,0.1523,0.0984,0.1147,0.0897,0.1281,0.1212,0.1378
IPI00921408.1,OGDHL,Q9ULD0,"2-oxoglutarate dehydrogenase-like, mitochondrial isoform b",0,0.72,0.3608,0.4766,0.5765,0.3126,0.3288,0.3908
IPI00929723.1,WDR4,P57081,"Isoform 2 of tRNA (guanine-N(7)-)-methyltransferase subunit WDR4",0,0.075,0.1351,0.1025,0.0639,0.0965,0.1015,0.0754
IPI00642902.1,PDE4DIP,Q5VU43,"Isoform 4 of Myomegalin",0,0.0934,0.0243,0.0599,0.0342,0.0281,0.0423,0.0382
IPI00298057.3,PPL,O60437,Periplakin,0,0.2445,0.2251,0.2881,0.3661,0.4021,0.2649,0.3184
IPI00420004.4,MYO1G,B0I1T2,"Isoform 1 of Myosin-Ig",0,0.3644,0.468,0.2841,0.343,0.2346,0.3561,0.3264
IPI00294173.2,NINL,Q9Y2I6,"Isoform 1 of Ninein-like protein",0,0.1526,0.1219,0.0481,0.0794,0.0875,0.1491,0.1136
IPI00011092.1,USP26,Q9BXU7,"Ubiquitin carboxyl-terminal hydrolase 26",0,0.0717,0.0827,0.0829,0.0709,0.0565,0.1028,0.0707
IPI00179757.6,KIF1C,O43896,"Kinesin-like protein KIF1C",0,0.5273,0.5701,0.476,0.4374,0.4622,0.4857,0.4413
IPI00785110.2,BPTF,Q12830,"Isoform 1 of Nucleosome-remodeling factor subunit BPTF",0,0.406,0.3681,0.3862,0.3248,0.7041,0.2965,0.5699
IPI00854868.3,E2F7,Q96AV8,"Isoform 2 of Transcription factor E2F7",0,0.4857,0.4754,0.2855,0.5653,0.3787,0.6127,0.2895
IPI00856109.2,C8orf80,Q68CJ6,"95 kDa protein",0,0.6266,0.4831,0.4409,0.9267,0.3598,0.3922,0.3567
IPI00101927.2,LZTS2,Q9BRK4,"Leucine zipper putative tumor suppressor 2",0,2.5798,3.4141,2.7706,1.5864,5.913,2.3585,3.3058
IPI00019812.1,PPP5C,P53041,"Serine/threonine-protein phosphatase 5",0,0.5117,0.3828,0.4483,0.3289,0.5946,0.4575,0.4122
IPI00028064.1,CTSG,P08311,"Cathepsin G",0,0.6894,0.3339,0.2563,0.3335,0.3489,0.4284,0.3348
