"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
SHHS11,"LCM T / N",,28,43,-0.1237,-0.1402,-0.0165,-1.6875,-1.6835,0.004,3.2308,2.2564,-0.9744,3.6667,3,-0.6667,370.5,432,61.5
FGW+12,"T / matched N",,48,34,-0.1118,-0.1341,-0.0224,-1.6825,-1.6543,0.0282,4.6087,3.6129,-0.9958,5.0851,4.0588,-1.0263,493,540.5,47.5
KYK+12,"MSS-type T / N",,73,175,-0.1367,-0.1169,0.0197,-1.7011,-1.6855,0.0156,4.9857,3.3962,-1.5895,4.4583,4.0286,-0.4298,412,537,125
WOD+12,"LCM FFPE T / adjacent N",,79,677,-0.1419,-0.1326,0.0093,-1.7415,-1.7156,0.026,4.85,2.4318,-2.4182,4.9254,3.7667,-1.1586,292,485,193
CZD+14,"T / N",,52,74,-0.1042,-0.0981,0.0061,-1.7134,-1.6708,0.0426,4.5106,4.1286,-0.3821,4.7692,4.3649,-0.4044,437,276.5,-160.5
STK+15,"membrane enriched T / N",,113,66,-0.1452,-0.149,-0.0038,-1.7293,-1.7097,0.0196,4.5185,4.4531,-0.0654,4.2703,4.0758,-0.1945,381,387,6
WDO+15_C.N,"LCM FFPE T / adjacent N",,879,1281,-0.1348,-0.1209,0.0139,-1.7321,-1.7074,0.0247,4.1531,2.8278,-1.3253,4.6786,4.045,-0.6337,423,552,129
LXM+16,"biopsy T / N",,191,178,-0.1304,-0.1345,-0.0041,-1.7113,-1.6952,0.0161,3.6728,3.6929,0.02,4.1754,3.9932,-0.1822,388,363.5,-24.5
PHL+16_CIS,"CIS / N",,169,138,-0.142,-0.126,0.0161,-1.6881,-1.7016,-0.0135,3.239,3.3889,0.1499,3.7455,3.9928,0.2473,421,704.5,283.5
PHL+16_ICC,"ICC / N",,129,100,-0.147,-0.1282,0.0188,-1.698,-1.726,-0.028,2.8211,3.9663,1.1452,3.464,4.2,0.736,412,721,309
CTW+17,"organoid T / N",,227,78,-0.1311,-0.1327,-0.0016,-1.7089,-1.6856,0.0233,4.3623,2.6957,-1.6667,4.7511,4.1538,-0.5973,629,509.5,-119.5
HZW+17,"T / adjacent N",,126,589,-0.1344,-0.1239,0.0105,-1.7305,-1.7165,0.0141,5.7739,3.1326,-2.6413,5.232,4.3231,-0.9089,424,596,172
LLL+17,"LCM cancer / non-neoplastic mucosa",,110,77,-0.1321,-0.1384,-0.0062,-1.6872,-1.6979,-0.0107,4.3827,3.8182,-0.5645,4.7444,4.0169,-0.7275,342,589,247
NKG+17,"T / N",,48,77,-0.1361,-0.1261,0.0099,-1.6853,-1.7102,-0.0249,4.2,4.7042,0.5042,4.2174,4.3506,0.1333,442.5,375,-67.5
QMB+17,"FFPE T / N",,25,53,-0.1132,-0.1364,-0.0232,-1.7415,-1.6923,0.0492,4,3.1176,-0.8824,4.625,3.9615,-0.6635,527,464,-63
TMS+17,"epithelial T / N",,158,166,-0.1518,-0.1223,0.0295,-1.7122,-1.6891,0.0231,3.3154,3.1667,-0.1488,3.9684,4.0848,0.1165,408.5,469.5,61
ZLY+17,"T / N",,58,54,-0.1524,-0.1342,0.0182,-1.7129,-1.7029,0.01,3.875,3.5952,-0.2798,4.1538,3.9796,-0.1743,305,283,-22
AKG+18,"T / N",,43,426,-0.1103,-0.1409,-0.0306,-1.7183,-1.6931,0.0252,4.9744,2.6772,-2.2972,5.0465,3.6635,-1.383,376,330.5,-45.5
STA+19_CC.NM,"non-metastatic colon cancer, T / N",,437,317,-0.1361,-0.1253,0.0108,-1.7246,-1.7113,0.0134,3.9618,3.8754,-0.0864,4.6134,4.4268,-0.1867,377,455,78
STA+19_CC.M,"metastatic colon cancer, T / N",,436,356,-0.1447,-0.1198,0.0249,-1.7356,-1.694,0.0415,3.7744,4.0852,0.3108,4.5804,4.5411,-0.0393,366,434,68
VHW+19,"T / adjacent N",,417,31,-0.1236,-0.1553,-0.0317,-1.7139,-1.7087,0.0053,5.2487,6.3793,1.1306,5.1768,5.4194,0.2426,424,375,-49
WYL+19,"tumor-associated / normal vascular endothelial cells",,97,119,-0.1417,-0.1313,0.0105,-1.6937,-1.725,-0.0313,4.1961,4.0135,-0.1826,4.8305,4.1538,-0.6767,416,266,-150
