"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
WTG+18,"adipose-derived mesehnchymal stem cells",,163,57,-0.1538,-0.1447,0.009,0.0384,0.0118,-0.0266,1.8824,3.8085,1.9262,3.3611,4.1176,0.7565,379,428,49
CSK+19,"HeLa cervical cancer cells",cancer,36,45,-0.1512,-0.1475,0.0037,0.0325,0.0333,9e-04,1.6667,2.9048,1.2381,2.7222,3.2444,0.5222,428,434,6
GPT+19_Light.S,"MIAPaCa-2 pancreatic cancer cells pulse/trace Light serum replete",cancer,62,180,-0.1229,-0.1207,0.0022,0.0183,0.0266,0.0082,4.5135,3.7158,-0.7977,4.55,4.6733,0.1233,621,576.5,-44.5
GPT+19_Heavy.S,"MIAPaCa-2 pancreatic cancer cells pulse/trace Heavy serum replete",cancer,196,57,-0.1104,-0.1201,-0.0097,0.0201,0.0127,-0.0074,4.4245,4.1,-0.3245,4.9358,4.5,-0.4358,592.5,433,-159.5
KAN+19_proteome,"cancer-associated fibroblasts proteome",cancer,221,124,-0.1541,-0.1343,0.0198,0.0193,0.0148,-0.0045,2.7701,4.1215,1.3514,3.9202,4.4649,0.5447,346,459.5,113.5
LLL+19,"human periodontal ligament cells",,67,153,-0.1233,-0.1503,-0.027,0.0135,0.0488,0.0353,3.3585,3.4862,0.1277,4.6071,4.1724,-0.4347,482,266,-216
BCMS20,"MCF-7 breast cancer cells",cancer,153,161,-0.1392,-0.1202,0.019,0.0411,0.0123,-0.0287,2.55,3.0753,0.5253,3.7647,3.9684,0.2036,440,248,-192
RVN+20_DMSO,"PC-3 prostate cancer cells in DMSO",cancer,116,86,-0.0926,-0.1329,-0.0403,0.0431,0.021,-0.0221,3.4369,2.7273,-0.7096,4.3739,3.7674,-0.6065,225.5,455,229.5
RVN+20_NO.sul,"PC-3 prostate cancer cells in NO.sul",,28,33,-0.1257,-0.1405,-0.0148,0.0315,0.0026,-0.0289,2.6667,3.8621,1.1954,3.8929,4.1818,0.289,203,450,247
RVN+20_sul,"PC-3 prostate cancer cells in sul",,17,54,-0.0902,-0.1368,-0.0465,0.0474,0.0283,-0.0191,3.4,3.32,-0.08,4.3529,4.2778,-0.0752,430,227,-203
RVN+20_DMSO.4Gy,"PC-3 prostate cancer cells in DMSO.4Gy",,24,38,-0.0934,-0.1138,-0.0205,0.0403,0.0333,-0.007,4.1111,3.8,-0.3111,4.0833,4.0526,-0.0307,356.5,396.5,40
RVN+20_NO.sul.4Gy,"PC-3 prostate cancer cells in NO.sul.4Gy",,21,52,-0.1556,-0.11,0.0457,0.0023,0.0203,0.018,2.55,3.6522,1.1022,3.8571,4.2885,0.4313,317,404.5,87.5
RVN+20_sul.4Gy,"PC-3 prostate cancer cells in sul.4Gy",,34,25,-0.127,-0.112,0.015,0.0209,-0.0234,-0.0443,3.129,4.1,0.971,4.3235,4.52,0.1965,391.5,338,-53.5
SPJ+20_POS,"canine POS cells",cancer,43,102,-0.1392,-0.1355,0.0038,0.0302,0.0205,-0.0096,NA,NA,NA,NA,NA,NA,539,508.5,-30.5
SPJ+20_HMPOS,"canine HMPOS cells",cancer,62,69,-0.1391,-0.1344,0.0047,0.0301,0.0175,-0.0126,NA,NA,NA,NA,NA,NA,542.5,468,-74.5
