"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
PHL+16_CIS,"CIS / N",,169,138,-0.142,-0.126,0.0161,0.0348,0.0323,-0.0026,3.239,3.3889,0.1499,3.7455,3.9928,0.2473,421,704.5,283.5
PHL+16_ICC,"ICC / N",,129,100,-0.147,-0.1282,0.0188,0.0348,0.008,-0.0269,2.8211,3.9663,1.1452,3.464,4.2,0.736,412,721,309
CTW+17,"organoid T / N",,227,78,-0.1311,-0.1327,-0.0016,0.0213,0.0467,0.0253,4.3623,2.6957,-1.6667,4.7511,4.1538,-0.5973,629,509.5,-119.5
HZW+17,"T / adjacent N",,126,589,-0.1344,-0.1239,0.0105,0.002,0.0236,0.0216,5.7739,3.1326,-2.6413,5.232,4.3231,-0.9089,424,596,172
LLL+17,"LCM cancer / non-neoplastic mucosa",,110,77,-0.1321,-0.1384,-0.0062,0.0372,0.0406,0.0033,4.3827,3.8182,-0.5645,4.7444,4.0169,-0.7275,342,589,247
NKG+17,"T / N",,48,77,-0.1361,-0.1261,0.0099,0.0445,0.0191,-0.0254,4.2,4.7042,0.5042,4.2174,4.3506,0.1333,442.5,375,-67.5
QMB+17,"FFPE T / N",,25,53,-0.1132,-0.1364,-0.0232,4e-04,0.0317,0.0313,4,3.1176,-0.8824,4.625,3.9615,-0.6635,527,464,-63
TMS+17,"epithelial T / N",,158,166,-0.1518,-0.1223,0.0295,0.0227,0.0455,0.0228,3.3154,3.1667,-0.1488,3.9684,4.0848,0.1165,408.5,469.5,61
ZLY+17,"T / N",,58,54,-0.1524,-0.1342,0.0182,0.0096,0.0314,0.0218,3.875,3.5952,-0.2798,4.1538,3.9796,-0.1743,305,283,-22
AKG+18,"T / N",,43,426,-0.1103,-0.1409,-0.0306,0.0033,0.0362,0.0329,4.9744,2.6772,-2.2972,5.0465,3.6635,-1.383,376,330.5,-45.5
STA+19_CC.NM,"non-metastatic colon cancer, T / N",,437,317,-0.1361,-0.1253,0.0108,0.0012,0.0294,0.0282,3.9618,3.8754,-0.0864,4.6134,4.4268,-0.1867,377,455,78
STA+19_CC.M,"metastatic colon cancer, T / N",,436,356,-0.1447,-0.1198,0.0249,-0.0029,0.0399,0.0427,3.7744,4.0852,0.3108,4.5804,4.5411,-0.0393,366,434,68
VHW+19,"T / adjacent N",,417,31,-0.1236,-0.1553,-0.0317,0.0113,0.0433,0.0321,5.2487,6.3793,1.1306,5.1768,5.4194,0.2426,424,375,-49
WYL+19,"tumor-associated / normal vascular endothelial cells",,97,119,-0.1417,-0.1313,0.0105,0.026,0.0172,-0.0087,4.1961,4.0135,-0.1826,4.8305,4.1538,-0.6767,416,266,-150
