"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
SAS+14,"SK-N-BE2 neuroblastoma spheroids",cancer,70,116,-0.122,-0.1124,0.0096,-1.7231,-1.738,-0.0149,3.3953,4.0641,0.6688,4.4894,4.7381,0.2487,693,576,-117
WRK+14,"HepG2/C3A hepatocellular carcinoma",cancer,125,291,-0.127,-0.1487,-0.0217,-1.6608,-1.7049,-0.0441,3.7807,2.4431,-1.3376,4.5726,3.4111,-1.1614,400,422,22
MTK+15,"OV-90AD ovarian cancer multicellular aggregates",cancer,39,90,-0.1397,-0.1546,-0.0148,-1.6865,-1.7292,-0.0427,3.6667,3.0385,-0.6282,3.8056,3.593,-0.2125,419,388.5,-30.5
YLW+16,"HT29 colon carcinoma",cancer,116,225,-0.1207,-0.1567,-0.036,-1.7085,-1.7241,-0.0156,2.8642,3.2807,0.4165,4.0227,3.7946,-0.2281,489.5,381,-108.5
KJK+18,"SW480 colorectal cancer",cancer,247,136,-0.0898,-0.1453,-0.0555,-1.692,-1.7552,-0.0632,3.6019,2.3279,-1.274,4.7224,3.2519,-1.4706,334,432,98
TGD18_NHF,"normal human skin fibroblasts",,15,57,-0.1422,-0.1138,0.0284,-1.6865,-1.7226,-0.0361,3.8333,5.6129,1.7796,4.5556,5.2059,0.6503,662,477,-185
TGD18_CAF,"cancer-associated fibroblasts",cancer,43,90,-0.1422,-0.1154,0.0267,-1.714,-1.7459,-0.0319,3.7647,4.8302,1.0655,5.087,4.75,-0.337,407,436.5,29.5
EWK+19,"glioblastoma spheroids",cancer,110,171,-0.1393,-0.1351,0.0042,-1.748,-1.7238,0.0242,4.8737,3.8214,-1.0523,4.9804,4.6883,-0.2921,363.5,449,85.5
GADS19,"skin fibroblasts",,94,49,-0.163,-0.1523,0.0108,-1.7197,-1.7254,-0.0057,2.4118,3.7143,1.3025,3.5556,4.5161,0.9606,245,441,196
HLC19,"HepG2 hepatocellular carcinoma cells",cancer,573,590,-0.138,-0.1616,-0.0236,-1.7019,-1.7572,-0.0553,2.3471,3.3488,1.0017,3.5571,4.3197,0.7626,406,396.5,-9.5
LPK+19_preadipocytes,"mouse 3T3-L1 preadipocytes",,76,105,-0.1132,-0.1448,-0.0316,-1.7224,-1.7669,-0.0445,10,NA,NA,4,NA,NA,381.5,400,18.5
LPK+19_adipocytes,"mouse 3T3-L1 adipocytes",,97,208,-0.1029,-0.161,-0.0581,-1.6995,-1.6955,0.0039,NA,NA,NA,NA,NA,NA,480,333,-147
LPK+19_macrophages,"mouse 3T3-L1 macrophages",,220,134,-0.1491,-0.1497,-6e-04,-1.7236,-1.7021,0.0215,NA,NA,NA,NA,NA,NA,447.5,317.5,-130
DKM+20,"bone marrow-derived MSCs aggregates",,57,117,-0.1028,-0.1338,-0.031,-1.6879,-1.7233,-0.0354,2.8235,3.5955,0.772,4.2,4.2947,0.0947,687,453,-234
