"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","pI.down","pI.up","pI.diff","GRAVY.down","GRAVY.up","GRAVY.diff","nAA.down","nAA.up","nAA.diff"
KSK+18,"_Acidihalobacter prosperus_ DSM 14174 30 g/L / 5 g/L NaCl",,292,316,-0.1184,-0.1251,-0.0066,-1.6874,-1.6747,0.0128,5.855,5.78,-0.075,-0.1766,-0.1456,0.031,345,242.5,-102.5
LJC+18_wt,"_Listeria monocytogenes_ WT in 0.5 M NaCl vs control medium",,65,66,-0.1862,-0.2062,-0.0201,-1.6215,-1.6402,-0.0186,6.55,6.15,-0.4,-0.2614,-0.1551,0.1063,273,304,31
LJC+18_mutant,"_Listeria monocytogenes_ mutant in 0.5 M NaCl vs control medium",,37,30,-0.1806,-0.194,-0.0134,-1.6053,-1.621,-0.0157,6.5,6.92,0.42,-0.3515,-0.2244,0.1271,277,184,-93
TSC18_WT,"_Caulobacter crescentus_ WT in 300 mM sucrose vs control",,91,28,-0.1268,-0.1215,0.0053,-1.6713,-1.672,-7e-04,6.53,5.58,-0.95,-0.1494,-0.1133,0.0361,495,288,-207
TSC18_GsrN,"_Caulobacter crescentus_ GsrN in 300 mM sucrose vs control",,99,107,-0.1311,-0.1294,0.0017,-1.6485,-1.6278,0.0207,6.45,5.67,-0.78,-0.1277,-0.1348,-0.007,510,266,-244
LWS+19,"_Lactobacillus plantarum_ FS5-5 in 6-8% w/v vs 0% NaCl",,72,46,-0.1528,-0.1391,0.0137,-1.6503,-1.7013,-0.0509,6.115,5.3,-0.815,-0.1491,-0.1975,-0.0483,324.5,334.5,10
MGF+19_10,"_Staphylococcus aureus_ in 10% vs 0% NaCl",,88,58,-0.1735,-0.141,0.0325,-1.7061,-1.7541,-0.048,7.02,4.91,-2.11,-0.4391,-0.381,0.0581,308,194,-114
MGF+19_20,"_Staphylococcus aureus_ in 20% vs 0% NaCl",,184,99,-0.1708,-0.1466,0.0241,-1.7239,-1.6875,0.0364,6.415,5.09,-1.325,-0.3699,-0.3577,0.0122,324,204,-120
AST+20,"_Lactobacillus fermentum_ with vs without 0.3% to 1.5% w/v bile salts",,368,378,-0.1511,-0.1529,-0.0018,-1.7015,-1.7044,-0.0029,6.27,5.915,-0.355,-0.3197,-0.322,-0.0023,236,264.5,28.5
GBR+20_CIRM129,"_Propionibacterium freudenreichii_ CIRM129 in NaCl vs MMO",,90,74,-0.096,-0.1107,-0.0147,-1.6452,-1.6299,0.0153,4.935,5.185,0.25,-0.1337,-0.2377,-0.104,319,269,-50
GBR+20_CIRM1025,"_Propionibacterium freudenreichii_ CIRM1025 in NaCl vs MMO",,64,78,-0.0984,-0.1075,-0.0091,-1.6104,-1.6014,0.009,5.015,5.13,0.115,-0.1082,-0.1448,-0.0366,330,248,-82
