protein_Ref,Entry,Gene_symbol,Gene.Name,Log2.CoCl2.vs.Control,Log2.SAL.vs.CoCl2
NP_058964,P17425,HMGCS1,"3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)",-2.36,-1.36
NP_059002,Q68G41,DCI,"dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase)",-3.7,NA
NP_059028,P12785,FASN,"fatty acid synthase",3.1,-6.22
NP_059043,P21708,MAPK3,"mitogen activated protein kinase 3",-2.62,-1.68
NP_062022,P43244,MATR3,"matrin 3",-2.06,1.68
NP_062099,P38650,DYNC1H1,"dynein cytoplasmic 1 heavy chain 1",4.2,2.1
NP_062156,A0A0H2UHQ0,SLC3A2,"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2",2.92,4.98
NP_071780,P61212,ARL1,"ADP-ribosylation factor-like 1",NA,1.16
NP_071789,A0A0G2JZI0,SAFB,"scaffold attachment factor B",-5.96,1.92
NP_072114,P50137,TKT,transketolase,-1.82,NA
NP_072119,Q6IN22,CTSB,"cathepsin B",-2.86,NA
NP_073194,O70593,SGTA,"small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha",-2.24,NA
NP_076462,Q9ES40,ARL6IP5,"ADP-ribosylation-like factor 6 interacting protein 5",3.02,3.98
NP_077374,Q9ER34,ACO2,"aconitase 2, mitochondrial",-1.34,1.21
NP_112305,O08730,GYG1,"glycogenin 1",2.68,NA
NP_112324,Q62967,MVD,"mevalonate (diphospho) decarboxylase",-2.22,-1.26
NP_112380,O70536,SOAT1,"sterol O-acyltransferase 1",4.06,5.52
NP_112413,P04636,MDH2,"malate dehydrogenase 2, NAD (mitochondrial)",NA,-1.33
NP_112626,Q9Z2Y9,KL,Klotho,-2.6,NA
NP_112646,Q9JM53,AIFM1,"apoptosis-inducing factor, mitochondrion-associated 1",-1.76,-1.4
NP_113709,P13596,NCAM1,"neural cell adhesion molecule 1",NA,2.58
NP_113802,O89049,TXNRD1,"thioredoxin reductase 1",NA,1.48
NP_113909,Q9QZK5,HTRA1,"HtrA serine peptidase 1",-3.62,NA
NP_113999,Q9EQS0,TALDO1,"transaldolase 1",-2.16,NA
NP_114020,P08699,LGALS3,"lectin, galactoside-binding, soluble, 3",-4.16,-2.94
NP_115792,P11884,ALDH2,"aldehyde dehydrogenase 2 family (mitochondrial)",-2.86,-1.9
NP_116008,F2Z3R2,HNRNPL,"heterogeneous nuclear ribonucleoprotein L; heterogeneous nuclear ribonucleoprotein L-like 2; similar to heterogeneous nuclear ribonucleoprotein L isoform a",-2,1.02
NP_150238,O88989,MDH1,"malate dehydrogenase 1, NAD (soluble)",NA,-1.12
NP_387502,G3V9Z3,MAOA,"monoamine oxidase A",NA,5.52
NP_445808,P02466,COL1A2,"collagen, type I, alpha 2",-1.88,NA
NP_445818,A0A0H2UHP9,RAB6A,"RAB6A, member RAS oncogene family",NA,1.94
NP_445967,Q05962,SLC25A4,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4",NA,4.5
NP_446041,P61107,RAB14,"RAB14, member RAS oncogene family",1.68,2.28
NP_446059,O88813,ACSL5,"acyl-CoA synthetase long-chain family member 5",NA,4.14
NP_446062,Q9R063,PRDX5,"peroxiredoxin 5",-2.28,NA
NP_446119,Q9R1J8,LEPRE1,"leucine proline-enriched proteoglycan (leprecan) 1",NA,-3.26
NP_446195,Q63692,CDC37,"cell division cycle 37 homolog (S. cerevisiae)",NA,-1.02
NP_446204,P13086,SUCLG1,"succinate-CoA ligase, alpha subunit",NA,-1.42
NP_446338,Q62902,LMAN1,"lectin, mannose-binding, 1",NA,2.94
NP_446368,O08629,TRIM28,"tripartite motif-containing 28",-2.96,1.42
NP_446413,P52555,ERP29,"endoplasmic reticulum protein 29",NA,-2.14
NP_476545,Q64591,DECR1,"2,4-dienoyl CoA reductase 1, mitochondrial",-2.52,NA
NP_511178,P14604,ECHS1,"enoyl Coenzyme A hydratase, short chain, 1, mitochondrial",-1.68,-2.02
NP_543186,P51583,PAICS,"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase",-1.76,NA
NP_570839,Q64428,HADHA,"hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit",-2.14,2.36
NP_579817,P36506,MAP2K2,"mitogen activated protein kinase kinase 2",-3.16,1.2
NP_596874,Q920A6,SCPEP1,"serine carboxypeptidase 1",-1.98,NA
NP_596895,Q924S5,LONP1,"lon peptidase 1, mitochondrial",NA,1.5
NP_598302,Q60587,HADHB,"hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit",NA,2.98
NP_612518,Q66HR2,LOC300647,"microtubule-associated protein, RP/EB family, member 1; similar to Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1) (End-binding protein 1) (EB1)",-1.98,NA
NP_620218,P97584,PTGR1,"prostaglandin reductase 1",-3.06,NA
NP_620800,G3V741,SLC25A3,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3",NA,4.02
NP_620805,P29315,RNH1,"ribonuclease/angiogenin inhibitor 1",-2.34,NA
NP_741984,P16086,SPNA2,"alpha-spectrin 2",1.86,NA
NP_742005,P35565,CANX,calnexin,2.16,3.44
NP_742059,P54001,P4HA1,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I",-1.88,NA
NP_775125,P69897,TUBB5,"tubulin, beta 5",NA,1.32
NP_775141,F7FJQ3,NPC2,"Niemann-Pick disease, type C2",-2.3,NA
NP_775148,Q9Z1Z9,PDLIM7,"PDZ and LIM domain 7",NA,1.82
NP_808794,Q80Z70,SEL1L,"sel-1 suppressor of lin-12-like (C. elegans)",2.28,2.08
NP_872609,Q5PQK6,NIT1,"nitrilase 1",-1.92,NA
NP_954516,Q6P9U0,SERPINB6A,"serine (or cysteine) peptidase inhibitor, clade B, member 6a",-1.76,NA
NP_954530,Q6P9U9,IMPDH2,"IMP (inosine monophosphate) dehydrogenase 2",-2.4,-2.52
NP_955417,Q6P6R2,DLD,"dihydrolipoamide dehydrogenase",-1.7,-1.2
NP_963856,Q6WN19,RTN2,"reticulon 2",2.92,3.04
NP_997497,Q6AYT3,LOC362855,P55,NA,1.08
XP_001080627,D4ACN7,MYOF,myoferlin,NA,1.92
XP_213569,D3ZU13,RGD1562125,"eukaryotic translation initiation factor 4 gamma, 1; similar to eukaryotic translation initiation factor 4, gamma 1 isoform a; similar to Eif4g1 protein",NA,1.08
XP_343484,F1M8K0,DAG1,"dystroglycan 1 (dystrophin-associated glycoprotein 1)",NA,3.3
