"Gene Name","Accession Number","Uniprot Accession","Hypoxia Heavy","Normoxia Heavy"
RMDN3,RMD3_HUMAN,Q96TC7,18.83,0
LARP1,"LARP1_HUMAN (+1)",Q6PKG0,18.83,0
PGAM5,PGAM5_HUMAN,Q96HS1,19.22,0
KRT6C,K2C6C_HUMAN,A1L4L5,19.76,0
DCTPP1,DCTP1_HUMAN,Q9H773,20.07,0
VBP1,PFD3_HUMAN,P61758,20.12,0
TIMM44,TIM44_HUMAN,A8K0R9,20.59,0
BYSL,BYST_HUMAN,Q13895,20.96,0
EPRS,SYEP_HUMAN,B9EGH3,21.22,0
MSH2,"MSH2_HUMAN (+1)",P43246,21.23,0
FAHD1,FAHD1_HUMAN,Q6P587,21.24,0
MRPL1,RM01_HUMAN,A6NG03,21.38,0
ARF5,ARF5_HUMAN,P84085,21.41,0
PRSS1,TRY1_HUMAN,Q9HAN7,21.41,0
MRPS27,RT27_HUMAN,Q92552,21.42,0
EFTUD1,"ETUD1_HUMAN (+1)",Q7Z2Z2,21.48,0
APOA1BP,NNRE_HUMAN,Q8NCW5,21.52,0
PIP4K2A,PI42A_HUMAN,P48426,21.57,0
TPP2,TPP2_HUMAN,P29144,21.57,0
MGEA5,NCOAT_HUMAN,O60502,21.61,0
RPS5,RS5_HUMAN,P46782,21.63,0
JUP,PLAK_HUMAN,P14923,21.82,0
TXNDC5,"TXND5_HUMAN (+1)",Q8NBS9,21.87,0
HMGA2,HMGA2_HUMAN,P52926,21.91,0
KDELR2,ERD22_HUMAN,P33947,22.04,0
EEF1E1,MCA3_HUMAN,O43324,22.15,0
CECR5,"CECR5_HUMAN (+1)",Q9BXW7,22.17,0
PITHD1,"PITH1_HUMAN (+1)",Q9GZP4,22.23,0
MRPS25,RT25_HUMAN,P82663,22.25,0
PSMD9,"PSMD9_HUMAN (+1)",O00233,22.26,0
NUP107,NU107_HUMAN,P57740,22.31,0
MBOAT7,MBOA7_HUMAN,Q96N66,22.36,0
CYFIP1,CYFP1_HUMAN,Q7L576,22.4,0
NUCB1,NUCB1_HUMAN,Q02818,22.42,0
NCAPG,CND3_HUMAN,Q9BPX3,22.46,0
PFDN4,PFD4_HUMAN,Q9NQP4,22.46,0
PYGB,PYGB_HUMAN,P11216,22.47,0
LEPRE1,"P3H1_HUMAN (+1)",Q32P28,22.53,0
COPS8,"CSN8_HUMAN (+1)",Q99627,22.6,0
SEC24C,SC24C_HUMAN,P53992,22.63,0
TIMM10,TIM10_HUMAN,A8K136,22.64,0
SACM1L,SAC1_HUMAN,Q9NTJ5,22.67,0
XPO7,XPO7_HUMAN,Q9UIA9,22.67,0
CSPG4,CSPG4_HUMAN,Q6UVK1,22.69,0
EHD2,EHD2_HUMAN,Q9NZN4,22.69,0
HN1,HN1_HUMAN,Q9UK76,22.71,0
SLC5A3,SC5A3_HUMAN,O43489,22.72,0
ABHD11,"ABHDB_HUMAN (+1)",Q8NFV4,22.73,0
CHRAC1,CHRC1_HUMAN,Q9NRG0,22.76,0
PFKM,"K6PF_HUMAN (+2)",P08237,22.77,0
SLC44A1,"CTL1_HUMAN (+2)",Q8WWI5,22.83,0
GSPT1,"ERF3A_HUMAN (+1)",P15170,22.86,0
TBCD,"TBCD_HUMAN (+2)",Q9BTW9,22.97,0
SQRDL,SQRD_HUMAN,Q9Y6N5,22.97,0
PFDN6,PFD6_HUMAN,O15212,22.99,0
CLPTM1,CLPT1_HUMAN,O96005,23.05,0
AIFM1,"AIFM1_HUMAN (+1)",O95831,23.06,0
ATP5I,ATP5I_HUMAN,P56385,23.15,0
PCYOX1,PCYOX_HUMAN,Q9UHG3,23.18,0
CLPP,CLPP_HUMAN,Q16740,23.23,0
KDELR1,ERD21_HUMAN,P24390,23.24,0
LSM12,"LSM12_HUMAN (+1)",Q3MHD2,23.36,0
RAP2C,RAP2C_HUMAN,B3KWD6,23.42,0
HN1L,HN1L_HUMAN,Q9H910,23.46,0
ANO10,"ANO10_HUMAN (+1)",Q9NW15,23.48,0
ARL1,ARL1_HUMAN,P40616,23.53,0
ARL2,ARL2_HUMAN,P36404,23.53,0
YKT6,YKT6_HUMAN,O15498,23.53,0
LRRFIP1,LRRF1_HUMAN,Q32MZ4,23.58,0
POFUT1,OFUT1_HUMAN,Q9H488,23.59,0
GBA,"GLCM_HUMAN (+1)",P04062,23.6,0
TOP2B,"TOP2B_HUMAN (+1)",Q02880,23.6,0
OGFR,"OGFR_HUMAN (+1)",Q9NZT2,23.64,0
PTDSS1,PTSS1_HUMAN,P48651,23.66,0
ATP6V1G1,VATG1_HUMAN,O75348,23.73,0
SFXN1,SFXN1_HUMAN,Q9H9B4,23.75,0
PIN1,PIN1_HUMAN,Q53X75,23.81,0
CMPK1,KCY_HUMAN,P30085,23.84,0
CPA4,"CBPA4_HUMAN (+1)",Q9UI42,23.92,0
ARF6,ARF6_HUMAN,P62330,23.93,0
TCEB1,"ELOC_HUMAN (+1)",Q15369,23.97,0
NAA50,NAA50_HUMAN,Q9GZZ1,24.01,0
MCTS1,"MCTS1_HUMAN (+2)",Q9ULC4,24.04,0
PFDN1,PFD1_HUMAN,O60925,24.07,0
IGF2R,MPRI_HUMAN,P11717,24.15,0
GPX8,GPX8_HUMAN,Q8TED1,24.22,0
SYNE1,"SYNE1_HUMAN (+1)",Q8NF91,24.3,0
HK2,HXK2_HUMAN,P52789,24.31,0
COL6A3,"CO6A3_HUMAN (+1)",P12111,24.31,0
TBCA,TBCA_HUMAN,O75347,24.35,0
P4HA2,"P4HA2_HUMAN (+1)",O15460,24.39,0
MRPL11,"RM11_HUMAN (+1)",Q9Y3B7,24.47,0
P4HA1,P4HA1_HUMAN,P13674,24.6,0
RDH11,"RDH11_HUMAN (+1)",Q8TC12,24.6,0
SLC2A3,GTR3_HUMAN,P11169,24.66,0
PLOD2,PLOD2_HUMAN,O00469,24.83,0
GNS,GNS_HUMAN,P15586,24.97,0
HEXB,HEXB_HUMAN,P07686,25.05,0
ARL3,ARL3_HUMAN,P36405,25.07,0
DERL1,"DERL1_HUMAN (+1)",Q9BUN8,25.17,0
ALDOC,ALDOC_HUMAN,P09972,25.25,0
ERO1L,ERO1A_HUMAN,Q96HE7,25.26,0
SLC2A1,GTR1_HUMAN,P11166,25.41,0
UQCR10,QCR9_HUMAN,Q9UDW1,25.44,0
TNC,"TENA_HUMAN (+1)",P24821,25.54,0
RALB,RALB_HUMAN,Q53T32,25.61,0
AK4,KAD4_HUMAN,P27144,25.97,0
CSRP1,CSRP1_HUMAN,P21291,26.18,0
KRT5,K2C5_HUMAN,P13647,21.89,17.61
KRT9,K1C9_HUMAN,P35527,18.91,18.07
KRT16,K1C16_HUMAN,P08779,19.12,18.07
KRT14,K1C14_HUMAN,P02533,20.66,18.87
KRT2,K22E_HUMAN,P35908,20.29,19.11
PAK2,PAK2_HUMAN,Q13177,21.6,20.13
DYNC1LI1,DC1L1_HUMAN,Q53HC8,18.66,20.14
HECTD1,HECD1_HUMAN,Q9ULT8,20.16,20.15
ILK,ILK_HUMAN,Q13418,24,20.42
THOC6,"THOC6_HUMAN (+1)",Q86W42,21.42,20.52
PPP2R4,"PTPA_HUMAN (+2)",Q15257,20.19,20.53
FARSB,SYFB_HUMAN,Q9NZZ6,20.45,20.65
ACAT1,THIL_HUMAN,P24752,20.83,20.8
RAD23A,"RD23A_HUMAN (+1)",P54725,19.54,20.81
SRM,SPEE_HUMAN,P19623,20.17,20.81
IPO4,"IPO4_HUMAN (+1)",Q8TEX9,20.23,20.81
RUVBL1,RUVB1_HUMAN,Q9Y265,20.85,20.83
MOGS,MOGS_HUMAN,Q13724,19.54,20.85
UCHL3,UCHL3_HUMAN,P15374,20.46,20.99
FLII,FLII_HUMAN,Q13045,21.57,21.04
UBE2O,UBE2O_HUMAN,Q9C0C9,21.16,21.1
RAE1,RAE1L_HUMAN,A8K882,21.69,21.11
IPO9,IPO9_HUMAN,Q96P70,21.65,21.17
DDRGK1,"DDRGK_HUMAN (+1)",Q96HY6,21.46,21.27
OGDH,"ODO1_HUMAN (+1)",Q02218,20.84,21.28
TXNDC17,TXD17_HUMAN,A8K7E8,22.54,21.34
KRT1,K2C1_HUMAN,P04264,21,21.35
ALB,ALBU_HUMAN,P02768,22.03,21.38
MARCKS,MARCS_HUMAN,P29966,22.43,21.38
NOP10,NOP10_HUMAN,Q9NPE3,20.19,21.4
TBL3,TBL3_HUMAN,Q12788,20.35,21.41
DST,DYST_HUMAN,Q03001,22.17,21.41
WDR36,WDR36_HUMAN,Q8NI36,21.02,21.43
GART,PUR2_HUMAN,P22102,22.36,21.48
GCN1L1,GCN1L_HUMAN,Q92616,21.27,21.49
DIAPH1,"DIAP1_HUMAN (+2)",O60610,21.01,21.51
TCOF1,"TCOF_HUMAN (+2)",Q13428,21.03,21.53
LSM2,LSM2_HUMAN,Q9Y333,21.66,21.53
EIF4G2,IF4G2_HUMAN,P78344,22.16,21.55
POLDIP3,PDIP3_HUMAN,Q9BY77,23.62,21.56
USP39,"SNUT2_HUMAN (+1)",Q53GS9,20.83,21.59
SUN1,"SUN1_HUMAN (+3)",O94901,21.79,21.62
RUVBL2,RUVB2_HUMAN,Q9Y230,19.53,21.63
SH3BGRL,SH3L1_HUMAN,O75368,22.52,21.63
KRR1,KRR1_HUMAN,Q13601,21.02,21.64
KRT10,K1C10_HUMAN,P13645,21.11,21.65
SUN2,"SUN2_HUMAN (+2)",Q9UH99,21.08,21.66
DDX50,DDX50_HUMAN,Q9BQ39,22.81,21.68
MRPS9,RT09_HUMAN,P82933,21.39,21.69
TUBB4A,TBB4A_HUMAN,P04350,23.11,21.7
NOC4L,NOC4L_HUMAN,Q9BVI4,21.23,21.72
SPAG9,"JIP4_HUMAN (+2)",O60271,21.43,21.75
ATP6V1B2,VATB2_HUMAN,P21281,21.96,21.76
RAD23B,RD23B_HUMAN,P54727,22.68,21.77
S100A10,S10AA_HUMAN,P60903,23.86,21.77
NUP155,"NU155_HUMAN (+1)",O75694,21.6,21.78
PARP4,PARP4_HUMAN,Q9UKK3,21.53,21.79
NUP133,NU133_HUMAN,B2RAZ8,21.68,21.8
42068,MARH5_HUMAN,Q9NX47,21.51,21.82
BASP1,BASP1_HUMAN,P80723,21.86,21.82
CAD,PYR1_HUMAN,P27708,21.36,21.85
EEA1,EEA1_HUMAN,Q15075,21.94,21.86
HDAC2,HDAC2_HUMAN,Q92769,21.63,21.88
POLR2B,RPB2_HUMAN,A8K1A8,22.7,21.88
NUP85,NUP85_HUMAN,Q9BW27,21.07,21.9
UGT8,CGT_HUMAN,Q16880,21.86,21.93
MRPL27,RM27_HUMAN,Q9P0M9,21.95,21.94
EIF4G1,"IF4G1_HUMAN (+5)",Q04637,22.07,21.94
CTSB,CATB_HUMAN,P07858,22.92,21.94
BLVRB,BLVRB_HUMAN,P30043,22.96,21.94
SNRPB,"RSMB_HUMAN (+2)",P14678,21.53,21.95
PELP1,PELP1_HUMAN,Q8IZL8,21.55,21.95
MPDU1,MPU1_HUMAN,O75352,22.84,21.96
NOL11,NOL11_HUMAN,Q9H8H0,20.85,21.97
NES,NEST_HUMAN,P48681,22.5,21.97
MYBBP1A,MBB1A_HUMAN,Q9BQG0,21.29,22
CCDC124,CC124_HUMAN,Q96CT7,22.27,22
DKC1,DKC1_HUMAN,O60832,20.7,22.01
NAE1,"ULA1_HUMAN (+3)",Q13564,20.41,22.03
MRPS21,RT21_HUMAN,Q5TB11,21.77,22.04
PICALM,"PICAL_HUMAN (+4)",Q13492,21.95,22.05
PRDX2,PRDX2_HUMAN,P32119,22.79,22.07
DAP3,"RT29_HUMAN (+2)",P51398,20.54,22.08
MRPL19,RM19_HUMAN,Q96Q52,21.36,22.08
CAPN2,"CAN2_HUMAN (+1)",P17655,21.88,22.09
NCEH1,"NCEH1_HUMAN (+1)",Q6PIU2,21.62,22.1
CNDP2,CNDP2_HUMAN,Q96KP4,20.86,22.11
UTP15,UTP15_HUMAN,Q8TED0,21.37,22.11
IGF2BP3,IF2B3_HUMAN,O00425,21.8,22.11
ARF4,ARF4_HUMAN,P18085,22.45,22.14
CLIC4,CLIC4_HUMAN,Q9Y696,22.73,22.14
KYNU,KYNU_HUMAN,Q16719,21.88,22.15
PPP1R7,"PP1R7_HUMAN (+1)",Q15435,22.14,22.15
DCTN1,DCTN1_HUMAN,Q14203,22.24,22.15
RPL37A,RL37A_HUMAN,P61513,22.4,22.15
RNPS1,"RNPS1_HUMAN (+2)",Q15287,22.78,22.15
RHOG,RHOG_HUMAN,P84095,22.17,22.16
NDRG1,NDRG1_HUMAN,Q92597,25.82,22.16
ENO2,ENOG_HUMAN,P09104,25.97,22.16
CD276,"CD276_HUMAN (+2)",Q5ZPR3,21.34,22.17
NUP160,NU160_HUMAN,Q12769,21.54,22.17
SART3,SART3_HUMAN,Q15020,21.66,22.17
HADHB,ECHB_HUMAN,P55084,22.24,22.17
GBE1,GLGB_HUMAN,Q04446,24.64,22.17
VARS,SYVC_HUMAN,P26640,20.88,22.18
UBR4,"UBR4_HUMAN (+3)",Q5T4S7,22.48,22.2
DLST,ODO2_HUMAN,P36957,22.85,22.21
PSMC4,PRS6B_HUMAN,P43686,21.15,22.22
PSMD13,PSD13_HUMAN,Q9UNM6,21.35,22.22
LPP,LPP_HUMAN,Q93052,21.94,22.22
RIC8A,"RIC8A_HUMAN (+1)",Q9NPQ8,22.4,22.24
GOLT1B,GOT1B_HUMAN,Q9Y3E0,22.67,22.24
PGRMC2,PGRC2_HUMAN,O15173,23.24,22.24
DRG1,DRG1_HUMAN,Q9Y295,21.51,22.25
SNRPA1,RU2A_HUMAN,P09661,22.42,22.26
SLC25A11,M2OM_HUMAN,Q02978,22.5,22.26
YBX1,YBOX1_HUMAN,P67809,21.55,22.27
CAB39,CAB39_HUMAN,Q9Y376,21.8,22.27
LAP3,AMPL_HUMAN,P28838,21.07,22.28
ACP1,PPAC_HUMAN,P24666,22.34,22.29
UROD,DCUP_HUMAN,P06132,22.59,22.29
MRPL20,RM20_HUMAN,Q9BYC9,23.13,22.29
AKR1B1,ALDR_HUMAN,P15121,23.21,22.29
TMEM14C,TM14C_HUMAN,Q9P0S9,21.96,22.3
UPF1,"RENT1_HUMAN (+1)",Q92900,22.06,22.3
THOP1,THOP1_HUMAN,P52888,22.06,22.3
DCTD,"DCTD_HUMAN (+1)",P32321,22.73,22.3
ILF3,ILF3_HUMAN,Q12906,22.21,22.31
BLVRA,BIEA_HUMAN,P53004,22.22,22.31
PFN2,PROF2_HUMAN,P35080,22.32,22.32
SNRPD2,SMD2_HUMAN,P62316,22.51,22.32
PDCD5,PDCD5_HUMAN,O14737,22.64,22.32
CPNE1,CPNE1_HUMAN,Q99829,22.22,22.33
IDE,IDE_HUMAN,P14735,22.24,22.33
MAP1A,"MAP1A_HUMAN (+1)",P78559,22.81,22.33
STOML2,STML2_HUMAN,Q9UJZ1,21.73,22.34
EIF3L,"EIF3L_HUMAN (+1)",Q9Y262,21.54,22.35
SRSF2,SRSF2_HUMAN,Q01130,22.37,22.37
HMGA1,HMGA1_HUMAN,P17096,22.03,22.38
AP2B1,"AP2B1_HUMAN (+2)",P63010,22.43,22.38
PSMB6,PSB6_HUMAN,P28072,22.72,22.38
ITPR1,"ITPR1_HUMAN (+7)",Q14643,23.76,22.38
QDPR,DHPR_HUMAN,P09417,22.03,22.4
RCC1,RCC1_HUMAN,P18754,22.3,22.4
UBE2V1,"UB2V1_HUMAN (+3)",Q13404,22.55,22.4
HMGCS1,HMCS1_HUMAN,Q01581,23.67,22.4
RPS6,RS6_HUMAN,P62753,21.55,22.41
KHSRP,FUBP2_HUMAN,Q92945,22.3,22.41
FUBP1,FUBP1_HUMAN,Q96AE4,21.97,22.42
AHCY,SAHH_HUMAN,P23526,21.78,22.43
OSBPL8,"OSBL8_HUMAN (+2)",Q9BZF1,22.19,22.43
LARS,SYLC_HUMAN,Q9P2J5,22.39,22.43
XRCC6,XRCC6_HUMAN,P12956,22.15,22.44
GPD2,"GPDM_HUMAN (+1)",P43304,21.97,22.45
UBE2N,UBE2N_HUMAN,P61088,22.91,22.46
DDX47,DDX47_HUMAN,Q9H0S4,24.63,22.46
AIMP2,AIMP2_HUMAN,Q13155,21.74,22.47
LETM1,LETM1_HUMAN,O95202,21.95,22.47
PRKAR2A,KAP2_HUMAN,Q16823,22.01,22.47
UBE2I,UBC9_HUMAN,P50550,22.43,22.48
ACAD9,ACAD9_HUMAN,Q9H845,22.9,22.48
VPS35,VPS35_HUMAN,Q96QK1,22.98,22.48
CDV3,"CDV3_HUMAN (+1)",Q9UKY7,21.69,22.49
RAP1B,"RAP1B_HUMAN (+1)",P61224,22.54,22.49
PSMC6,PRS10_HUMAN,P62333,22.1,22.5
MCM4,MCM4_HUMAN,P33991,22.9,22.5
SLC25A13,"CMC2_HUMAN (+1)",Q9UJS0,21.43,22.52
EFTUD2,U5S1_HUMAN,Q15029,22.81,22.52
DPM1,DPM1_HUMAN,O60762,22.79,22.53
PPP2R2A,"2ABA_HUMAN (+1)",P63151,22.79,22.53
HP1BP3,"HP1B3_HUMAN (+1)",Q5SSJ5,22.8,22.53
SNRPA,SNRPA_HUMAN,P09012,22.52,22.54
PSME2,PSME2_HUMAN,Q9UL46,23.01,22.54
CCT5,TCPE_HUMAN,P48643,21.87,22.55
SEC31A,"SC31A_HUMAN (+6)",O94979,23.29,22.55
RPS3,RS3_HUMAN,P23396,21.73,22.56
G3BP1,G3BP1_HUMAN,Q13283,21.88,22.56
DDX54,"DDX54_HUMAN (+1)",Q8TDD1,22.43,22.56
LMNB2,LMNB2_HUMAN,Q03252,22.46,22.57
APRT,APT_HUMAN,P07741,22.76,22.57
USO1,"USO1_HUMAN (+1)",O60763,22.82,22.57
TBCB,TBCB_HUMAN,Q99426,23.19,22.57
PGD,6PGD_HUMAN,P52209,22.12,22.58
S100A11,S10AB_HUMAN,P31949,22.63,22.59
TPBG,TPBG_HUMAN,A8K555,22.78,22.59
RAB11B,RB11B_HUMAN,Q15907,23.12,22.59
AKAP12,"AKA12_HUMAN (+2)",Q02952,22.05,22.6
COPB2,COPB2_HUMAN,P35606,22.39,22.6
HNRNPL,HNRPL_HUMAN,P14866,22.85,22.6
GOT1,AATC_HUMAN,P17174,22.28,22.61
CAPZA1,CAZA1_HUMAN,P52907,22.69,22.61
DBNL,"DBNL_HUMAN (+1)",Q9UJU6,22.81,22.61
ALDH1B1,AL1B1_HUMAN,P30837,21.01,22.62
NOP56,NOP56_HUMAN,O00567,22.05,22.62
RRM1,RIR1_HUMAN,P23921,22.73,22.62
PRMT1,"ANM1_HUMAN (+3)",Q99873,22.89,22.62
GLS,GLSK_HUMAN,O94925,23.87,22.62
GSTP1,GSTP1_HUMAN,P09211,23.11,22.63
RPS10,RS10_HUMAN,P46783,22.09,22.64
ADRM1,ADRM1_HUMAN,Q16186,22.3,22.64
RAB5A,RAB5A_HUMAN,P20339,23.7,22.64
TRIM28,"TIF1B_HUMAN (+1)",Q13263,22.8,22.65
NNT,NNTM_HUMAN,Q13423,22.97,22.65
GGH,GGH_HUMAN,Q92820,23.6,22.65
PRKDC,"PRKDC_HUMAN (+1)",P78527,22.61,22.66
TARDBP,TADBP_HUMAN,Q13148,22.6,22.67
AKR7A2,ARK72_HUMAN,O43488,23.21,22.67
APEH,ACPH_HUMAN,P13798,23.22,22.67
RAB31,RAB31_HUMAN,Q13636,22.8,22.68
EEF1D,EF1D_HUMAN,P29692,21.84,22.69
SUCLG2,SUCB2_HUMAN,Q96I99,22.68,22.69
RAB32,RAB32_HUMAN,Q13637,23.5,22.7
LMNB1,LMNB1_HUMAN,P20700,23.03,22.71
PHGDH,SERA_HUMAN,O43175,23.85,22.71
NOP58,NOP58_HUMAN,Q9Y2X3,21.64,22.72
CIRH1A,CIR1A_HUMAN,Q969X6,21.96,22.72
GOLGB1,"GOGB1_HUMAN (+1)",Q14789,23.31,22.72
TIMM9,TIM9_HUMAN,Q9Y5J7,21.97,22.73
YWHAG,1433G_HUMAN,P61981,22.85,22.73
EIF3B,"EIF3B_HUMAN (+1)",P55884,23.21,22.73
RPS3A,RS3A_HUMAN,P61247,21.79,22.74
SMARCA1,"SMCA1_HUMAN (+1)",P28370,22.87,22.74
PAFAH1B2,PA1B2_HUMAN,P68402,23.49,22.75
PSMD5,PSMD5_HUMAN,Q16401,22.01,22.76
KIAA0020,K0020_HUMAN,Q15397,22.31,22.76
PAFAH1B1,LIS1_HUMAN,P43034,22.33,22.76
DHX15,DHX15_HUMAN,O43143,22.75,22.76
PABPN1,"PABP2_HUMAN (+1)",Q86U42,22.95,22.77
ARPC5L,ARP5L_HUMAN,Q9BPX5,21.51,22.78
NDC1,"NDC1_HUMAN (+1)",Q9BTX1,21.83,22.78
CCT7,TCPH_HUMAN,Q99832,22.2,22.78
AHNAK2,"AHNK2_HUMAN (+1)",Q8IVF2,23.12,22.78
EMC1,EMC1_HUMAN,Q8N766,22.02,22.79
RPS24,RS24_HUMAN,P62847,22.24,22.79
UQCRB,QCR7_HUMAN,P14927,23.18,22.79
TRA2A,TRA2A_HUMAN,Q13595,23.44,22.79
RNH1,RINI_HUMAN,P13489,23.07,22.8
CAPZB,CAPZB_HUMAN,P47756,23.07,22.8
CTNND1,"CTND1_HUMAN (+3)",O60716,21.93,22.81
WARS,"SYWC_HUMAN (+1)",P23381,22.17,22.81
PPP1CC,"PP1G_HUMAN (+1)",P36873,22.73,22.81
UBQLN2,UBQL2_HUMAN,Q9UHD9,23.49,22.81
PFKP,K6PP_HUMAN,Q01813,24.09,22.81
PNP,PNPH_HUMAN,P00491,21.98,22.83
UBXN1,UBXN1_HUMAN,Q04323,22.06,22.83
FTSJ3,SPB1_HUMAN,Q8IY81,22.29,22.83
NDUFA13,NDUAD_HUMAN,Q9P0J0,22.49,22.83
DNAJC13,DJC13_HUMAN,O75165,22.61,22.83
HADH,"HCDH_HUMAN (+2)",Q16836,22.93,22.83
DDX3X,"DDX3X_HUMAN (+1)",O00571,23.17,22.83
CD63,"CD63_HUMAN (+2)",P08962,23.26,22.83
IARS,SYIC_HUMAN,P41252,22.3,22.84
SNRPD1,SMD1_HUMAN,P62314,22.57,22.84
ACTR3,ARP3_HUMAN,P61158,22.55,22.85
SRRM2,SRRM2_HUMAN,Q9UQ35,22.04,22.86
PDHB,"ODPB_HUMAN (+1)",P11177,22.98,22.86
XRCC5,XRCC5_HUMAN,P13010,22.99,22.86
DARS,SYDC_HUMAN,P14868,23.61,22.86
BAG6,"BAG6_HUMAN (+4)",P46379,22.41,22.87
EMC3,"EMC3_HUMAN (+1)",Q9P0I2,22.68,22.87
RPL14,RL14_HUMAN,P50914,22.3,22.88
TNPO3,TNPO3_HUMAN,Q9Y5L0,22.45,22.89
AP2A1,"AP2A1_HUMAN (+1)",O95782,22.98,22.89
SURF4,"SURF4_HUMAN (+1)",O15260,23.09,22.89
SEC23IP,"S23IP_HUMAN (+1)",Q9Y6Y8,23.26,22.89
CCT4,TCPD_HUMAN,P50991,22.17,22.9
PSME3,"PSME3_HUMAN (+1)",P61289,22.23,22.9
