"Gene name",Entry,"log2 fold change"
ATXN10,Q9UBB4,1.074674
BAG2,O95816,-0.152844
BANF1,O75531,0.131111
BAX,Q07812,1.218657
BCAM,P50895,-0.949275
BCAP31,P51572,-0.16049
BCCIP,Q9P287,2.372852
BCLAF1,Q9NYF8,-1.385358
BMS1,Q14692,-0.772282
BOP1,Q14137,-0.536839
BRIX1,Q8TDN6,-0.062472
BSG,P35613,-0.547143
BTF3,P20290,-0.989757
BZW1,Q7L1Q6,1.403961
C14orf166,Q9Y224,1.133747
C1QBP,Q07021,0.359069
C20orf112,Q96MY1,0.421435
C21orf33,P30042,-0.023824
C22orf28,Q9Y3I0,0.457279
C2orf47,Q8WWC4,1.107045
C2orf72,A6NCS6,0.081805
C3,P01024,0.601164
CAD,P27708,1.804706
"CALM1; CALM2; CALM3",P62158,-0.495806
CALR,P27797,0.450426
CALU,O43852,1.171164
CAND1,Q86VP6,1.176697
CANX,P27824,0.833428
CAP1,Q01518,1.551496
CAPN1,P07384,NA
CAPRIN1,Q14444,-1.159786
CARHSP1,Q9Y2V2,2.420586
CAT,P04040,-0.866177
CBX1,P83916,-2.144662
CBX3,Q13185,-0.579471
CBX5,P45973,1.239166
CCDC47,Q96A33,0.491516
CCDC58,Q4VC31,-1.342874
CCL20,P78556,NA
CCT2,P78371,0.377072
CCT3,P49368,0.176703
CCT4,P50991,0.361262
CCT5,P48643,-0.04316
CCT6A,P40227,0.116648
CCT7,Q99832,0.211184
CCT8,P50990,-0.110744
CD151,P48509,-0.480066
CD46,P15529,NA
CD59,P13987,-0.980209
CD63,P08962,0.086657
CDC42,P60953,0.742815
CDC5L,Q99459,-0.397739
CDK1,P06493,1.073207
CDK5RAP3,Q96JB5,-0.720658
CEP290,O15078,-0.980796
CFL1,P23528,1.005241
CHCHD2,Q9Y6H1,-1.934938
CHCHD3,Q9NX63,-0.022869
CHD4,Q14839,0.214125
CHDH,Q8NE62,-1.782425
CHTOP,Q9Y3Y2,-3.01614
CISD1,Q9NZ45,1.043772
CISD2,Q8N5K1,0.592119
CKAP4,Q07065,-0.029009
CKAP5,Q14008,-0.978776
CKB,P12277,3.898065
CLDN6,P56747,-1.317895
CLIC1,O00299,1.325191
CLTA,P09496,-0.210006
CLTC,Q00610,0.434325
CLU,P10909,2.896172
CMPK1,P30085,2.160545
CNBP,P62633,-0.826958
CNDP2,Q96KP4,2.718045
CNN2,Q99439,0.721406
CNP,P09543,-0.249839
CNPY2,Q9Y2B0,0.059878
COA3,Q9Y2R0,-0.43748
COASY,Q13057,2.424022
COMT,P21964,1.530699
COPA,P53621,1.62787
COPB1,P53618,2.153013
COPB2,P35606,1.307643
COPE,O14579,1.923919
COPG1,Q9Y678,2.282091
COPG2,Q9UBF2,NA
CORO1C,Q9ULV4,-0.161537
COX20,Q5RI15,-1.030819
COX4I1,P13073,-0.089921
COX5A,P20674,-0.273256
COX5B,P10606,-0.42922
COX6C,P09669,-0.036632
COX7A2,P14406,-0.495231
COX7C,P15954,0.435565
CPD,O75976,0.560574
CPNE1,Q99829,3.060483
CPNE3,O75131,1.103863
CPOX,P36551,-1.322466
CPS1,P31327,0.581647
CPSF6,Q16630,-0.80107
CPSF7,Q8N684,0.660659
CPT2,P23786,0.164753
CRAT,P43155,0.231761
CRELD1,Q96HD1,NA
CRYZ,Q08257,-0.084709
CS,O75390,0.027854
CSDA,P16989,-1.62185
CSDE1,O75534,0.323576
CSE1L,P55060,1.182896
CSNK2A1,P68400,0.380801
CSNK2A2,P19784,-0.347717
CSNK2B,P67870,0.308211
CSTB,P04080,3.180169
CTGF,P29279,2.357144
CTNNB1,P35222,-0.65152
CTNND1,O60716,0.152611
CTSA,P10619,-0.735644
CTSB,P07858,-0.855005
CTSD,P07339,0.071083
CYB5A,P00167,-0.675343
CYB5B,O43169,-0.618516
CYB5R3,P00387,0.344539
CYC1,P08574,0.017915
CYCS,P99999,-0.218118
CYP27A1,Q02318,-1.181505
CYP51A1,Q16850,-0.23429
DAD1,P61803,-0.458528
DAK,Q3LXA3,2.141286
DAP3,P51398,0.66657
DARS,P14868,1.623505
DARS2,Q6PI48,NA
DAZAP1,Q96EP5,-0.65129
DBI,P07108,0.742487
DBN1,Q16643,-0.458044
DCXR,Q7Z4W1,0.779639
DDB1,Q16531,-0.015259
DDI2,Q5TDH0,2.035034
DDOST,P39656,-0.359746
DDX1,Q92499,0.384473
DDX17,Q92841,0.068695
DDX18,Q9NVP1,-0.181766
DDX19A,Q9NUU7,1.810776
DDX21,Q9NR30,-0.260548
DDX24,Q9GZR7,-1.053299
DDX27,Q96GQ7,-0.87085
DDX39A,O00148,0.094335
DDX39B,Q13838,0.063227
DDX3X,O00571,0.05871
DDX46,Q7L014,-0.971194
DDX5,P17844,-0.951357
DDX50,Q9BQ39,2.909385
DECR1,Q16698,-0.26556
DEK,P35659,-0.838328
DHCR24,Q15392,0.043269
DHCR7,Q9UBM7,-0.102293
DHRS2,Q13268,0.138374
DHRS4,Q9BTZ2,NA
DHX15,O43143,0.282009
DHX9,Q08211,-0.202582
DKC1,O60832,-1.050943
DLAT,P10515,0.236961
DLD,P09622,-0.332933
DLK1,P80370,NA
DLST,P36957,-0.153727
DNAJA1,P31689,1.844703
DNAJA2,O60884,1.577286
DNAJA3,Q96EY1,0.116566
DNAJB1,P25685,1.996757
DNAJB11,Q9UBS4,0.507941
DNAJC10,Q8IXB1,NA
DNAJC11,Q9NVH1,-0.200147
DNAJC3,Q13217,-0.178221
DPM1,O60762,0.712363
DPP4,P27487,-1.302446
DPYSL2,Q16555,-0.904749
DSG2,Q14126,-1.416822
DSP,P15924,-0.234438
DSTN,P60981,0.769883
DYNC1H1,Q14204,2.340027
DYNC2H1,Q8NCM8,-1.054923
DYNLL1,P63167,0.96187
DYNLL2,Q96FJ2,1.247967
ECH1,Q13011,-0.386257
ECHS1,P30084,0.443793
ECI1,P42126,-0.301513
ECI2,O75521,0.259383
EDF1,O60869,-1.787475
EEF1A1,P68104,2.133462
EEF1B2,P24534,0.563563
EEF1D,P29692,0.604159
EEF1G,P26641,0.836564
EEF2,P13639,1.807789
EFTUD2,Q15029,-0.419614
EHHADH,Q08426,-0.554066
EIF1AX,P47813,1.155461
EIF1AY,O14602,0.253593
EIF2AK2,P19525,0.732454
EIF2S1,P05198,-0.616836
EIF2S2,P20042,0.007345
EIF2S3,P41091,-0.796263
EIF3A,Q14152,0.95673
EIF3B,P55884,0.357519
"EIF3C; EIF3CL",Q99613,-0.463325
EIF3E,P60228,0.337289
EIF3F,O00303,-0.532099
EIF3G,O75821,0.017816
EIF3H,O15372,-0.170378
EIF3I,Q13347,0.553339
EIF4A1,P60842,2.044195
EIF4A2,Q14240,NA
EIF4A3,P38919,0.17077
EIF4B,P23588,0.150822
EIF4G1,Q04637,0.859459
EIF4G2,P78344,1.555361
EIF5,P55010,NA
EIF5A,P63241,1.343596
EIF5A2,Q9GZV4,2.189753
EIF6,P56537,0.302615
ELAVL1,Q15717,-0.584351
EMC1,Q8N766,-1.708983
EMG1,Q92979,-0.946945
EML4,Q9HC35,1.373526
ENO1,P06733,1.561378
ENO2,P09104,NA
EPB41L2,O43491,1.396895
EPCAM,P16422,-0.737996
EPHX1,P07099,-0.27836
EPPK1,P58107,-0.47988
EPRS,P07814,0.991375
ERGIC1,Q969X5,-0.538593
ERH,P84090,0.367086
ERLIN1,O75477,-0.485952
ERLIN2,O94905,-0.124929
ERMP1,Q7Z2K6,NA
ERO1L,Q96HE7,2.196517
ERP29,P30040,-0.085284
ERP44,Q9BS26,0.21977
ESYT1,Q9BSJ8,0.321746
ETF1,P62495,0.043286
ETFA,P13804,0.334174
ETFB,P38117,0.316846
ETHE1,O95571,0.02892
EWSR1,Q01844,-0.585216
EZR,P15311,2.321193
F11R,Q9Y624,-0.561263
F2,P00734,1.467515
FABP1,P07148,1.892611
FAF2,Q96CS3,1.346571
FAM136A,Q96C01,-0.762822
FAM162A,Q96A26,-0.166574
FAM208B,Q5VWN6,0.53896
FAM213A,Q9BRX8,-0.031836
FAM3C,Q92520,-1.155976
FARSB,Q9NSD9,-0.005271
FASN,P49327,1.462362
FASTKD5,Q7L8L6,0.02604
FAU,P62861,-1.344334
FBL,P22087,-0.059131
FBXO2,Q9UK22,1.12712
FDFT1,P37268,-0.148764
FDPS,P14324,1.542608
FDXR,P22570,-0.912797
FEN1,P39748,1.231718
FGA,P02671,2.645877
FGB,P02675,1.860899
FGG,P02679,2.689478
FH,P07954,-0.38593
FIS1,Q9Y3D6,-1.968922
FKBP11,Q9NYL4,-0.219975
FKBP1A,P62942,0.617488
FLNA,P21333,0.471793
FLNB,O75369,0.647181
FLOT1,O75955,0.695243
FLOT2,Q14254,1.515587
FMR1,Q06787,0.065458
FN1,P02751,0.409695
FTCD,O95954,3.314102
FTSJ3,Q8IY81,-0.322219
FUBP1,Q96AE4,-0.27497
FUBP3,Q96I24,-0.616807
FUS,P35637,-1.239306
G3BP1,Q13283,-0.736669
G3BP2,Q9UN86,-1.226852
G6PD,P11413,0.93379
GALE,Q14376,3.667423
GANAB,Q14697,1.301768
GAPDH,P04406,1.158931
GAR1,Q9NY12,-0.538846
GART,P22102,2.424591
GBAS,O75323,0.76476
GCN1L1,Q92616,2.553712
GDI2,P50395,1.007251
GFPT1,Q06210,3.065209
GHITM,Q9H3K2,-0.733144
GIGYF2,Q6Y7W6,0.524313
GK,P32189,0.523989
GLDC,P23378,1.107088
GLG1,Q92896,-0.691128
GLRX,P35754,1.617994
GLRX5,Q86SX6,0.738018
GLS,O94925,-0.556726
GLT25D1,Q8NBJ5,1.619468
GLUD1,P00367,0.248998
GMDS,O60547,2.188499
GNAI3,P08754,-0.487106
GNAL,P38405,NA
GNAS,P63092,0.137592
GNB1,P62873,-0.918229
GNB2,P62879,-2.101715
GNB2L1,P63244,0.208147
GNG5,P63218,-1.15617
GNL3,Q9BVP2,0.837354
GORASP2,Q9H8Y8,1.061772
GOT1,P17174,0.93345
GOT2,P00505,-0.426858
GPC3,P51654,0.609563
GPI,P06744,1.282628
GRHPR,Q9UBQ7,0.681866
GRPEL1,Q9HAV7,-0.865841
GSPT1,P15170,1.518643
GSR,P00390,0.549926
GSTK1,Q9Y2Q3,0.367471
GSTO1,P78417,1.495778
GTF2I,P78347,-1.103398
GTPBP4,Q9BZE4,-0.080277
H1F0,P07305,0.164169
H1FX,Q92522,-0.768909
H2AFX,P16104,-0.898009
H2AFY,O75367,-0.317985
H2AFY2,Q9P0M6,0.387401
H2AFZ,P0C0S5,-0.931872
"H3F3A; H3F3B",P84243,-2.826554
HADH,Q16836,0.185313
HADHA,P40939,0.147664
HADHB,P55084,-0.053428
HAGH,Q16775,0.900926
HARS,P12081,0.352939
"HBA1; HBA2",P69905,5.306444
HBD,P02042,4.396392
HDAC1,Q13547,0.003051
HDGF,P51858,0.280887
HDLBP,Q00341,0.009836
HEATR1,Q9H583,0.582008
HIBADH,P31937,-0.817406
HIBCH,Q6NVY1,0.047437
HINT1,P49773,2.583154
HINT2,Q9BX68,0.403979
HIST1H1B,P16401,-0.924429
HIST1H1C,P16403,-1.070681
HIST1H1D,P16402,NA
HIST1H1E,P10412,-1.246901
HIST1H2AC,Q93077,NA
HIST1H2AD,P20671,-1.005582
HIST1H2AH,Q96KK5,-0.353674
HIST1H2BJ,P06899,-0.806923
HIST1H2BK,O60814,-0.585039
"HIST1H3A; HIST1H3B; HIST1H3C; HIST1H3D; HIST1H3E; HIST1H3F; HIST1H3G; HIST1H3H; HIST1H3I; HIST1H3J",P68431,-3.100096
"HIST1H4A; HIST1H4B; HIST1H4C; HIST1H4D; HIST1H4E; HIST1H4F; HIST1H4H; HIST1H4I; HIST1H4J; HIST1H4K; HIST1H4L; HIST2H4A; HIST2H4B; HIST4H4",P62805,-0.940233
HIST2H2AB,Q8IUE6,-2.331564
HIST2H2AC,Q16777,1.096007
HIST2H2BD,Q6DRA6,-1.907179
"HIST2H3A; HIST2H3C; HIST2H3D",Q71DI3,-0.590001
HIST3H2BB,Q8N257,NA
HK1,P19367,NA
HK2,P52789,1.490227
HLA-A,P01891,-0.251899
HM13,Q8TCT9,-0.581758
HMGA1,P17096,-1.410174
HMGA2,P52926,-0.542665
HMGB1,P09429,0.511663
HMGB1P1,B2RPK0,1.487795
HMGB2,P26583,-0.200506
HMGB3,O15347,0.004692
HMGCL,P35914,-0.081598
HMGN1,P05114,-1.833169
HMGN4,O00479,NA
HMOX2,P30519,-0.956654
HNRNPA0,Q13151,0.157506
HNRNPA1,P09651,-1.140176
HNRNPA1L2,Q32P51,NA
HNRNPA2B1,P22626,-1.19368
HNRNPA3,P51991,-0.287126
HNRNPAB,Q99729,-1.38164
HNRNPC,P07910,-0.880723
HNRNPD,Q14103,-0.4618
HNRNPF,P52597,0.314948
HNRNPH1,P31943,0.093151
HNRNPH2,P55795,0.104261
HNRNPH3,P31942,-0.109316
HNRNPK,P61978,0.302354
HNRNPL,P14866,-0.499134
HNRNPM,P52272,-0.030891
HNRNPR,O43390,-0.336287
HNRNPU,Q00839,0.211654
HNRNPUL1,Q9BUJ2,0.107826
HNRNPUL2,Q1KMD3,0.147339
HNRPDL,O14979,-1.053967
HNRPLL,Q8WVV9,1.259634
HP1BP3,Q5SSJ5,0.009194
HSD17B10,Q99714,1.366453
HSD17B11,Q8NBQ5,-0.103835
HSD17B12,Q53GQ0,0.025241
HSD17B4,P51659,-0.58678
HSDL2,Q6YN16,0.225828
HSP90AA1,P07900,1.031626
HSP90AB1,P08238,1.774061
HSP90B1,P14625,1.065117
"HSPA1A; HSPA1B",P08107,1.747271
HSPA1L,P34931,1.053053
HSPA4,P34932,0.722068
HSPA5,P11021,0.068438
HSPA8,P11142,0.252781
HSPA9,P38646,0.439073
HSPB1,P04792,1.38147
HSPD1,P10809,0.194013
HSPE1,P61604,-0.729535
HSPH1,Q92598,1.393379
HYOU1,Q9Y4L1,1.101401
IARS,P41252,1.39514
IARS2,Q9NSE4,0.835287
ICAM1,P05362,-1.494532
ICT1,Q14197,-1.690002
IDH1,O75874,0.92925
IDH2,P48735,0.492064
IDH3A,P50213,0.109729
IDI1,Q13907,1.941673
IGF2BP1,Q9NZI8,0.264991
IGF2BP2,Q9Y6M1,0.373927
IGF2BP3,O00425,0.716962
IGF2R,P11717,-0.313132
IGSF1,Q8N6C5,-1.726347
IKBIP,Q70UQ0,0.369003
ILF2,Q12905,-1.083158
ILF3,Q12906,-1.472146
ILVBL,A1L0T0,0.182102
IMMT,Q16891,-0.181567
IMPDH2,P12268,2.142615
IPO4,Q8TEX9,3.09912
IPO5,O00410,1.278493
IPO7,O95373,2.695535
IQGAP2,Q13576,2.466641
ISOC1,Q96CN7,1.079424
ISOC2,Q96AB3,1.264606
ITGA2,P17301,-0.477675
ITGB1,P05556,-0.48044
ITIH2,P19823,1.235688
ITPR2,Q14571,NA
JUP,P14923,-0.889356
KARS,Q15046,1.630616
KHDRBS1,Q07666,-0.185435
KHSRP,Q92945,-0.62706
KIAA0020,Q15397,2.383198
KIAA1967,Q8N163,0.932972
KIF5B,P33176,2.067182
KIF5C,O60282,1.576373
KPNA2,P52292,-0.963275
KPNA3,O00505,-0.568608
KPNB1,Q14974,0.748617
KRT1,P04264,-0.231219
KRT10,P13645,-0.292208
KRT12,Q99456,NA
KRT14,P02533,NA
KRT15,P19012,-3.302444
KRT18,P05783,-1.778215
KRT19,P08727,-3.888995
KRT2,P35908,NA
KRT23,Q9C075,-2.350514
KRT36,O76013,NA
KRT75,O95678,NA
KRT8,P05787,-1.836356
KRT86,O43790,NA
KRT9,P35527,-0.056909
KTN1,Q86UP2,-0.977877
LAD1,O00515,-1.881572
LAMP1,P11279,-0.523513
LAMP2,P13473,0.606071
LAP3,P28838,0.577607
LARS,Q9P2J5,1.795912
LASP1,Q14847,1.432366
LBR,Q14739,-0.397891
LDHA,P00338,1.636734
LETM1,O95202,-0.735969
LGALS1,P09382,-1.998103
LGALS3,P17931,0.160161
LGALS3BP,Q08380,-0.278428
LMAN1,P49257,0.404119
LMAN2,Q12907,-0.032174
LMNA,P02545,-1.446042
LMNB1,P20700,-0.694456
LMNB2,Q03252,-1.101361
LONP1,P36776,0.783942
LONP2,Q86WA8,-0.304594
LRPPRC,P42704,0.188392
LRRC47,Q8N1G4,0.515796
LRRC59,Q96AG4,-0.716654
LSS,P48449,-0.212314
LUZP1,Q86V48,-1.844155
LYAR,Q9NX58,NA
LYPLA2,O95372,1.193878
LYZ,P61626,-0.527135
MAGOH,P61326,-1.137678
MANF,P55145,0.289923
MAOA,P21397,0.88511
MAOB,P27338,0.437089
MAP1LC3B2,A6NCE7,NA
MAP4,P27816,0.522359
MAPRE1,Q15691,1.0142
MAPRE2,Q15555,0.968608
MARCKS,P29966,-0.222129
MARCKSL1,P49006,-1.149616
MARS,P56192,1.439252
MAT1A,Q00266,2.489767
MATR3,P43243,-0.239
MAVS,Q7Z434,-1.061178
MCCC1,Q96RQ3,0.888208
MCCC2,Q9HCC0,-0.369181
MCFD2,Q8NI22,1.145832
MCM3,P25205,0.500762
MCM5,P33992,0.992449
MDH1,P40925,0.61586
MDH2,P40926,-0.431608
METTL7A,Q9H8H3,0.810863
METTL7B,Q6UX53,-0.43529
MGST1,P10620,-1.286825
MIF,P14174,1.206367
MKI67,P46013,-1.388959
MKI67IP,Q9BYG3,NA
MLEC,Q14165,-0.049468
MMS19,Q96T76,3.842504
MOGS,Q13724,0.410946
MP68,P56378,NA
MPHOSPH10,O00566,-0.428775
MPST,P25325,1.315345
MRPL1,Q9BYD6,-0.247173
MRPL11,Q9Y3B7,-0.528096
MRPL12,P52815,0.645758
MRPL14,Q6P1L8,-1.158011
MRPL16,Q9NX20,-0.945373
MRPL19,P49406,-0.684053
MRPL2,Q5T653,-0.893282
MRPL21,Q7Z2W9,-0.342583
MRPL37,Q9BZE1,-0.550861
MRPL38,Q96DV4,-0.342746
MRPL39,Q9NYK5,-0.272559
MRPL4,Q9BYD3,-0.189497
MRPL40,Q9NQ50,-0.098302
MRPL44,Q9H9J2,0.18579
MRPL49,Q13405,-1.255623
MRPS22,P82650,-0.211975
MRPS23,Q9Y3D9,0.960333
MRPS27,Q92552,0.622959
MRPS31,Q92665,-0.045102
MRPS35,P82673,0.322539
MRPS6,P82932,-0.381933
MRPS9,P82933,-0.702848
MRTO4,Q9UKD2,0.232351
MSH2,P43246,2.872491
MSMO1,Q15800,1.124137
MT2A,P02795,1.217473
MT-ATP6,P00846,-0.604046
MTCH2,Q9Y6C9,0.030786
MT-CO2,P00403,-0.315815
MTDH,Q86UE4,-0.33355
MTHFD1,P11586,1.318107
MTHFD1L,Q6UB35,-0.111442
MTHFD2,P13995,-0.933634
MTOR,P42345,0.700997
MTTP,P55157,2.039502
MUT,P22033,-1.25635
MYBBP1A,Q9BQG0,0.345055
MYH10,P35580,0.653121
MYH11,P35749,NA
MYH14,Q7Z406,NA
MYH9,P35579,-0.108844
MYL12A,P19105,-0.500056
MYL6,P60660,-0.205285
MYO1B,O43795,-0.739699
MYO1C,O00159,-1.884694
NACA,Q13765,-0.587836
NANS,Q9NR45,2.424747
NAP1L1,P55209,2.005263
NAP1L4,Q99733,1.14178
NAPA,P54920,-0.231642
NARS,O43776,0.876237
NAT10,Q9H0A0,0.152815
NCBP1,Q09161,1.107068
NCL,P19338,-0.951559
NCOA5,Q9HCD5,NA
NDRG1,Q92597,4.232985
NDUFA10,O95299,-0.422368
NDUFA13,Q9P0J0,0.612315
NDUFA2,O43678,0.255591
NDUFA4,O00483,-0.19915
NDUFA5,Q16718,0.353316
NDUFA6,P56556,-0.094155
NDUFA7,O95182,-0.297395
NDUFA8,P51970,0.181704
NDUFA9,Q16795,0.756686
NDUFAB1,O14561,-0.097687
NDUFB10,O96000,0.225951
NDUFB4,O95168,0.783028
NDUFB9,Q9Y6M9,-0.101227
NDUFC2,O95298,-0.5028
NDUFS1,P28331,0.104084
NDUFS2,O75306,0.125187
NDUFS3,O75489,0.235357
NDUFS4,O43181,-0.164449
NDUFS5,O43920,-0.395396
NDUFS8,O00217,0.258679
NDUFV1,P49821,0.093786
NDUFV2,P19404,0.129352
NHP2L1,P55769,-0.201789
NIPSNAP1,Q9BPW8,0.164886
NME1,P15531,1.369318
NME2,P22392,1.195154
NMT1,P30419,-0.056729
NNT,Q13423,0.176682
NOC2L,Q9Y3T9,-0.559228
NOL11,Q9H8H0,-1.926138
NOL7,Q9UMY1,-1.408647
NOLC1,Q14978,-1.280275
NOMO3,P69849,-0.697327
NONO,Q15233,-0.407816
NOP2,P46087,-0.920219
NOP56,O00567,0.041493
NOP58,Q9Y2X3,-0.238149
NPC2,P61916,NA
NPM1,P06748,-0.495285
NQO1,P15559,1.277121
NRAS,P01111,1.528701
NSDHL,Q15738,0.572949
NSF,P46459,0.587252
NSUN2,Q08J23,1.746188
NT5E,P21589,-0.157566
NUCB2,P80303,0.045125
NUCKS1,Q9H1E3,3.680241
NUDC,Q9Y266,1.528349
NUDT21,O43809,-1.460049
NUMA1,Q14980,1.203898
NUP205,Q92621,-0.078458
NUP210,Q8TEM1,-0.553463
NUP93,Q8N1F7,0.294538
OAT,P04181,0.607063
OGDH,Q02218,-0.125853
OLA1,Q9NTK5,1.994779
OPA1,O60313,-1.43684
OSBP,P22059,2.351246
OXA1L,Q15070,-0.607459
OXSR1,O95747,NA
P4HA1,P13674,1.802116
P4HB,P07237,0.262268
PA2G4,Q9UQ80,-0.242244
PABPC1,P11940,-0.070949
PABPC4,Q13310,0.383129
PABPN1,Q86U42,-0.388632
PAH,P00439,1.926946
PAICS,P22234,1.025662
PARK7,Q99497,0.871882
PARP1,P09874,-0.232579
PC,P11498,0.407442
PCBD1,P61457,0.521722
PCBP1,Q15365,1.327757
PCBP2,Q15366,1.57915
PCBP3,P57721,3.237342
PCCB,P05166,NA
PCK2,Q16822,-0.015587
PCNA,P12004,0.989669
PCYOX1,Q9UHG3,-0.191965
PCYT2,Q99447,1.446862
PDCD11,Q14690,-0.616435
PDCD6,O75340,0.787911
PDF,Q9HBH1,1.159444
PDHA1,P08559,0.070192
PDHB,P11177,0.359222
PDHX,O00330,0.03467
PDIA3,P30101,0.420117
PDIA4,P13667,0.343179
PDIA6,Q15084,0.370685
PDK1,Q15118,NA
PDLIM1,O00151,-0.066826
PDS5A,Q29RF7,2.328923
PDS5B,Q9NTI5,0.684463
PDXDC1,Q6P996,2.247646
PEBP1,P30086,0.911756
PECR,Q9BY49,0.252249
PEG10,Q86TG7,0.547421
PES1,O00541,-1.123911
PEX11B,O96011,-0.388003
PFKL,P17858,2.441031
PFN1,P07737,1.4608
PGAM1,P18669,1.006092
PGAM5,Q96HS1,-0.831366
PGD,P52209,1.246239
PGK1,P00558,1.533092
PGRMC1,O00264,0.016788
PGRMC2,O15173,-0.008613
PHB,P35232,-0.16388
PHB2,Q99623,0.210726
PHF5A,Q7RTV0,-1.193116
PHGDH,O43175,2.93884
PIGS,Q96S52,-0.163738
PIPOX,Q9P0Z9,-0.051707
PKLR,P30613,NA
PKM,P14618,1.683652
PKP3,Q9Y446,-0.117129
PLEC,Q15149,-1.145148
PLIN2,Q99541,-1.120223
PLOD1,Q02809,0.353318
PMPCA,Q10713,0.079764
PMPCB,O75439,0.195857
PNN,Q9H307,-0.867456
PNPT1,Q8TCS8,-0.822423
POLDIP2,Q9Y2S7,-0.418627
POLR1C,O15160,0.976709
PON2,Q15165,-1.591603
POR,P16435,0.166155
PPA1,Q15181,2.280032
PPIA,P62937,1.030839
PPIB,P23284,-0.581259
PPID,Q08752,0.881185
PPIF,P30405,-0.382687
PPIG,Q13427,-0.954523
PPL,O60437,NA
