protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
gi|6321837|ref|NP_011913.1|,sequence,GSC14,NA,1,61,4,47,67,48,43,13,52,53,85,17,58,23,31,35,60,56,54,21,28
gi|6321839|ref|NP_011915.1|,sequence,GSC14,NA,1,14,1,17,17,11,14,8,19,23,19,5,8,14,10,6,21,7,18,2,9
gi|6321879|ref|NP_011955.1|,sequence,GSC14,NA,1,8,0,4,13,5,12,0,5,12,9,1,7,3,2,2,8,8,8,0,4
gi|6321896|ref|NP_011972.1|,sequence,GSC14,NA,1,17,6,19,22,16,22,11,24,29,36,4,13,15,12,10,18,16,20,5,12
gi|6321929|ref|NP_012005.1|,sequence,GSC14,NA,1,30,2,36,29,32,23,6,34,33,47,17,27,29,18,22,46,31,23,8,20
gi|6321968|ref|NP_012044.1|,sequence,GSC14,NA,1,58,1,30,28,15,35,10,20,35,38,10,21,13,9,14,30,20,35,5,10
gi|6321973|ref|NP_012049.1|,sequence,GSC14,NA,1,36,0,21,31,17,34,8,23,26,29,5,25,24,13,22,18,16,24,8,20
gi|6322011|ref|NP_012087.1|,sequence,GSC14,NA,1,29,9,33,24,26,30,9,23,25,35,8,33,13,16,15,39,37,28,7,28
gi|6322029|ref|NP_012104.1|,sequence,GSC14,NA,1,34,2,32,30,39,31,4,19,26,39,11,44,26,19,13,48,39,29,16,31
gi|6322228|ref|NP_012303.1|,sequence,GSC14,NA,1,4,3,7,15,12,14,1,8,21,14,3,6,9,8,3,10,5,11,1,8
gi|6322244|ref|NP_012318.1|,sequence,GSC14,NA,1,12,1,12,12,9,19,5,5,12,18,4,4,7,6,9,18,17,16,7,5
gi|6322294|ref|NP_012368.1|,sequence,GSC14,NA,1,28,6,24,31,16,16,5,23,35,37,7,13,9,14,11,18,15,20,4,20
gi|6322323|ref|NP_012397.1|,sequence,GSC14,NA,1,24,3,26,32,19,23,4,33,21,35,12,14,12,22,24,21,28,30,0,12
gi|6322393|ref|NP_012467.1|,sequence,GSC14,NA,1,20,5,19,16,18,24,13,14,22,22,4,15,16,11,8,19,11,18,5,19
gi|6322434|ref|NP_012508.1|,sequence,GSC14,NA,1,35,2,23,45,30,14,10,24,35,36,11,23,12,9,15,25,14,19,6,11
gi|6322468|ref|NP_012542.1|,sequence,GSC14,NA,1,33,2,24,15,11,25,8,20,26,21,8,14,11,6,11,25,23,36,3,10
gi|6322485|ref|NP_012559.1|,sequence,GSC14,NA,1,4,5,11,14,7,13,6,11,12,13,4,13,12,6,7,6,10,14,3,6
gi|6322505|ref|NP_012579.1|,sequence,GSC14,NA,1,61,0,37,52,23,48,3,42,51,49,9,39,23,27,30,47,47,58,1,7
gi|6322529|ref|NP_012603.1|,sequence,GSC14,NA,1,18,1,11,16,15,14,4,12,17,16,4,14,6,7,5,9,11,10,2,5
gi|6322564|ref|NP_012638.1|,sequence,GSC14,NA,1,13,2,9,10,6,22,6,6,10,6,2,8,8,3,4,11,10,17,0,1
gi|6322565|ref|NP_012639.1|,sequence,GSC14,NA,1,41,3,23,19,17,27,7,16,24,31,6,13,15,11,5,22,19,29,2,10
gi|6322608|ref|NP_012682.1|,sequence,GSC14,NA,1,27,6,14,27,14,33,4,22,27,35,8,17,24,13,14,18,32,20,8,13
gi|6322633|ref|NP_012706.1|,sequence,GSC14,NA,1,20,3,13,24,20,26,3,23,25,29,8,22,17,7,9,19,17,17,0,12
gi|6322639|ref|NP_012712.1|,sequence,GSC14,NA,1,58,10,81,71,65,66,16,58,79,97,14,61,49,34,33,73,53,75,6,25
gi|6322652|ref|NP_012725.1|,sequence,GSC14,NA,1,13,3,11,18,8,12,3,13,17,16,6,6,4,11,8,16,11,13,1,10
gi|6322697|ref|NP_012770.1|,sequence,GSC14,NA,1,24,0,16,17,6,15,4,11,24,28,2,11,16,8,12,15,8,16,5,9
gi|6322707|ref|NP_012780.1|,sequence,GSC14,NA,1,10,0,23,25,13,8,2,13,23,27,1,8,7,9,9,17,9,12,1,2
gi|6322732|ref|NP_012805.1|,sequence,GSC14,NA,1,17,1,20,23,5,20,6,10,17,13,10,7,10,13,3,11,7,11,3,9
gi|6322765|ref|NP_012838.1|,sequence,GSC14,NA,1,30,1,17,20,13,28,8,23,27,30,6,18,19,6,12,25,19,29,0,3
gi|6322770|ref|NP_012843.1|,sequence,GSC14,NA,1,31,1,21,28,21,13,7,28,34,40,4,24,16,13,12,32,22,28,3,14
gi|6322783|ref|NP_012856.1|,sequence,GSC14,NA,1,9,1,9,11,7,14,3,9,14,12,3,4,6,6,8,11,6,13,4,3
gi|6322790|ref|NP_012863.1|,sequence,GSC14,NA,1,33,5,18,31,15,30,12,23,27,24,8,18,16,9,10,20,20,22,3,15
gi|6322794|ref|NP_012867.1|,sequence,GSC14,NA,1,13,1,17,15,9,12,2,11,15,7,7,8,5,4,2,7,7,16,2,7
gi|6322896|ref|NP_012969.1|,sequence,GSC14,NA,1,13,4,18,22,8,21,9,17,10,26,4,10,14,13,22,15,14,16,5,10
gi|6322978|ref|NP_013050.1|,sequence,GSC14,NA,1,11,1,12,10,8,9,1,5,11,11,2,6,4,1,7,16,8,12,1,7
gi|6323002|ref|NP_013074.1|,sequence,GSC14,NA,1,77,6,68,82,26,48,15,69,70,97,15,37,30,52,54,51,40,49,0,22
gi|6323011|ref|NP_013083.1|,sequence,GSC14,NA,1,43,3,33,57,28,32,12,28,48,56,11,16,26,23,36,28,25,33,1,18
gi|6323056|ref|NP_013128.1|,sequence,GSC14,NA,1,55,7,38,35,25,37,12,33,42,53,9,29,27,24,25,40,25,51,5,19
gi|6323072|ref|NP_013144.1|,sequence,GSC14,NA,1,16,2,7,6,6,4,0,5,10,6,4,4,5,6,0,4,4,10,1,3
gi|6323073|ref|NP_013145.1|,sequence,GSC14,NA,1,54,4,29,30,23,42,12,37,35,54,13,29,26,22,15,30,44,40,7,17
gi|6323077|ref|NP_013149.1|,sequence,GSC14,NA,1,32,1,12,27,8,12,5,15,7,20,2,12,16,8,15,10,15,23,5,7
gi|6323104|ref|NP_013176.1|,sequence,GSC14,NA,1,20,4,11,12,10,14,5,10,22,17,4,9,10,8,22,12,5,15,2,9
gi|6323138|ref|NP_013210.1|,sequence,GSC14,NA,1,16,3,11,10,7,11,3,11,14,8,3,7,8,5,1,16,12,20,4,6
gi|6323196|ref|NP_013268.1|,sequence,GSC14,NA,1,6,4,8,7,3,11,5,8,25,14,1,5,4,6,8,8,11,12,0,6
gi|6323203|ref|NP_013275.1|,sequence,GSC14,NA,1,28,1,29,31,16,28,9,33,34,30,12,10,14,13,19,22,31,30,5,17
gi|6323207|ref|NP_013279.1|,sequence,GSC14,NA,1,18,2,13,12,14,13,6,7,19,14,5,11,15,11,3,19,15,11,3,8
gi|6323209|ref|NP_013281.1|,sequence,GSC14,NA,1,37,5,34,23,12,32,8,28,27,27,7,5,16,16,15,21,25,26,4,14
gi|6323331|ref|NP_013403.1|,sequence,GSC14,NA,1,27,8,38,27,18,31,11,25,17,41,6,28,16,19,17,32,22,23,15,27
gi|6323333|ref|NP_013406.1|,sequence,GSC14,NA,1,39,1,21,27,26,42,16,24,27,35,2,22,22,18,12,29,24,33,4,20
gi|6323335|ref|NP_013407.1|,sequence,GSC14,NA,1,67,7,57,37,28,70,17,52,64,61,16,42,42,22,33,37,47,46,10,23
gi|6323371|ref|NP_013444.1|,sequence,GSC14,NA,1,36,0,17,27,15,22,4,18,15,25,6,14,15,6,13,22,14,33,1,9
gi|6323386|ref|NP_013458.1|,sequence,GSC14,NA,1,31,2,21,27,14,19,3,24,36,27,4,9,11,12,10,25,21,26,2,11
gi|6323452|ref|NP_013524.1|,sequence,GSC14,NA,1,33,6,23,22,19,18,12,25,33,29,6,17,23,12,6,22,16,29,3,10
gi|6323470|ref|NP_013542.1|,sequence,GSC14,NA,1,43,8,19,25,17,33,20,30,27,44,6,13,22,13,12,29,20,28,4,11
gi|6323509|ref|NP_013580.1|,sequence,GSC14,NA,1,32,8,33,23,18,34,8,29,43,42,8,27,16,21,17,35,31,34,4,28
gi|6323530|ref|NP_013601.1|,sequence,GSC14,NA,1,22,2,9,16,11,19,2,27,17,21,3,9,5,10,6,16,10,12,0,9
gi|6323562|ref|NP_013633.1|,sequence,GSC14,NA,1,12,2,9,11,14,22,3,13,16,9,4,9,8,4,7,11,10,12,2,4
gi|6323570|ref|NP_013641.1|,sequence,GSC14,NA,1,50,5,37,38,27,56,9,35,48,54,10,27,19,11,12,51,35,47,2,11
gi|6323613|ref|NP_013684.1|,sequence,GSC14,NA,1,19,2,11,15,11,13,2,13,14,17,1,8,11,6,6,8,13,18,3,5
gi|6323639|ref|NP_013710.1|,sequence,GSC14,NA,1,11,7,18,26,19,26,13,18,28,25,5,21,17,8,12,23,17,14,4,14
gi|6323669|ref|NP_013740.1|,sequence,GSC14,NA,1,30,7,29,43,27,25,7,30,38,47,7,21,15,14,24,31,26,24,14,11
gi|6323681|ref|NP_013752.1|,sequence,GSC14,NA,1,18,7,12,17,8,17,5,19,20,14,3,20,10,7,7,20,16,19,4,6
gi|6323725|ref|NP_013796.1|,sequence,GSC14,NA,1,19,4,17,28,17,18,4,14,24,29,8,9,19,11,14,22,11,15,3,18
gi|6323746|ref|NP_013817.1|,sequence,GSC14,NA,1,14,2,14,24,10,16,9,17,26,31,6,12,17,15,5,17,21,21,8,12
gi|6323752|ref|NP_013823.1|,sequence,GSC14,NA,1,39,6,36,35,29,52,11,44,49,38,8,28,27,13,17,38,33,32,7,27
gi|6323763|ref|NP_013834.1|,sequence,GSC14,NA,1,35,2,25,9,10,22,7,16,19,29,7,15,8,12,10,28,23,24,11,7
gi|6323821|ref|NP_013892.1|,sequence,GSC14,NA,1,43,6,32,30,29,39,4,35,46,37,8,22,24,17,10,33,33,37,5,16
gi|6323826|ref|NP_013897.1|,sequence,GSC14,NA,1,2,0,58,4,5,49,0,3,30,1,3,100,0,6,6,114,2,4,0,43
gi|6323828|ref|NP_013899.1|,sequence,GSC14,NA,1,5,0,7,6,2,4,2,1,13,2,2,3,0,7,0,6,3,3,0,2
gi|6323840|ref|NP_013911.1|,sequence,GSC14,NA,1,44,0,46,96,34,25,4,47,73,68,13,28,27,22,27,45,40,42,5,19
gi|6323861|ref|NP_013932.1|,sequence,GSC14,NA,1,99,11,50,60,26,70,19,56,50,77,24,43,42,27,52,77,64,68,10,34
gi|6323873|ref|NP_013944.1|,sequence,GSC14,NA,1,32,5,29,38,21,43,17,42,38,46,12,21,24,16,20,26,32,42,7,14
gi|6323882|ref|NP_013953.1|,sequence,GSC14,NA,1,31,1,17,16,10,16,3,25,20,24,3,14,9,12,12,12,19,17,0,6
gi|6323961|ref|NP_014032.1|,sequence,GSC14,NA,1,37,8,15,21,8,42,11,22,24,25,5,13,15,6,8,24,14,32,5,13
gi|6323967|ref|NP_014038.1|,sequence,GSC14,NA,1,56,14,40,22,26,38,1,23,29,27,9,43,14,7,10,82,45,38,5,30
gi|6324055|ref|NP_014125.1|,sequence,GSC14,NA,1,21,4,16,32,13,28,11,22,23,33,6,18,18,11,18,18,18,32,3,5
gi|6324088|ref|NP_014158.1|,sequence,GSC14,NA,1,29,1,37,38,27,32,10,27,43,45,11,21,29,15,25,30,22,37,5,21
gi|6324120|ref|NP_014190.1|,sequence,GSC14,NA,1,61,2,38,49,26,42,5,36,47,51,9,22,20,25,29,44,45,52,1,9
gi|6324194|ref|NP_014264.1|,sequence,GSC14,NA,1,3,1,7,5,5,16,1,9,7,8,1,5,10,3,4,7,7,11,1,3
gi|6324212|ref|NP_014282.1|,sequence,GSC14,NA,1,36,6,31,33,21,30,14,39,36,55,15,39,33,18,26,23,37,35,8,19
gi|6324225|ref|NP_014295.1|,sequence,GSC14,NA,1,56,9,37,44,23,38,12,35,37,41,9,34,27,22,33,55,30,50,7,20
gi|6324250|ref|NP_014320.1|,sequence,GSC14,NA,1,10,0,13,45,1,1,3,6,27,26,1,14,0,15,6,14,7,6,2,2
gi|6324283|ref|NP_014353.1|,sequence,GSC14,NA,1,35,6,46,39,47,28,21,42,46,66,9,33,34,25,29,53,42,34,13,23
gi|6324312|ref|NP_014382.1|,sequence,GSC14,NA,1,30,3,25,20,19,32,8,23,13,19,20,54,27,58,17,30,15,24,4,12
gi|6324313|ref|NP_014383.1|,sequence,GSC14,NA,1,2,0,6,7,3,3,6,6,11,5,1,6,2,0,0,2,5,9,0,1
gi|6324433|ref|NP_014502.1|,sequence,GSC14,NA,1,10,0,17,18,10,12,7,10,18,20,1,8,12,6,8,17,14,15,8,2
gi|6324463|ref|NP_014532.1|,sequence,GSC14,NA,1,14,0,3,20,2,4,0,5,20,5,1,8,1,11,1,6,6,6,0,0
gi|6324486|ref|NP_014555.1|,sequence,GSC14,NA,1,35,8,16,20,8,44,10,21,24,24,7,11,13,9,8,21,14,36,5,14
gi|6324580|ref|NP_014649.1|,sequence,GSC14,NA,1,45,1,24,31,8,28,2,17,28,25,15,24,13,16,9,29,8,12,0,11
gi|6324601|ref|NP_014670.1|,sequence,GSC14,NA,1,74,3,38,59,13,21,8,28,60,41,16,34,24,33,24,36,32,17,3,25
gi|6324759|ref|NP_014828.1|,sequence,GSC14,NA,1,17,3,14,14,12,13,5,11,18,17,4,12,12,11,8,6,13,18,3,9
gi|6324859|ref|NP_014928.1|,sequence,GSC14,NA,1,9,1,9,8,4,10,5,8,10,7,4,8,9,4,4,17,2,11,3,6
gi|6324982|ref|NP_015050.1|,sequence,GSC14,NA,1,16,6,19,23,15,21,5,29,21,29,5,24,16,10,11,26,16,15,6,12
gi|6325006|ref|NP_015074.1|,sequence,GSC14,NA,1,12,0,1,5,2,7,1,8,14,6,3,5,3,1,12,7,5,6,0,2
gi|6325016|ref|NP_015084.1|,sequence,GSC14,NA,1,43,0,47,95,33,24,4,49,77,66,13,26,27,22,27,49,40,42,5,20
gi|6325031|ref|NP_015099.1|,sequence,GSC14,NA,1,10,1,8,19,14,5,1,6,15,10,2,6,2,5,8,4,12,9,3,6
gi|6325097|ref|NP_015165.1|,sequence,GSC14,NA,1,97,13,64,99,59,60,20,74,100,77,27,39,52,37,41,56,57,53,13,52
gi|6325103|ref|NP_015171.1|,sequence,GSC14,NA,1,32,4,26,27,24,38,9,24,24,41,4,18,19,12,6,26,28,18,4,21
gi|6325112|ref|NP_015180.1|,sequence,GSC14,NA,1,24,3,21,44,24,21,10,23,42,45,4,15,22,13,14,49,19,18,10,13
gi|6325126|ref|NP_015194.1|,sequence,GSC14,NA,1,32,1,19,27,14,20,6,14,22,23,2,4,10,12,22,16,21,13,2,17
gi|6325140|ref|NP_015208.1|,sequence,GSC14,NA,1,13,7,21,28,14,13,10,20,19,26,7,22,14,10,10,14,16,11,7,6
gi|6325146|ref|NP_015214.1|,sequence,GSC14,NA,1,26,6,21,20,6,35,10,21,22,35,10,13,18,4,8,22,16,26,3,11
gi|6325151|ref|NP_015219.1|,sequence,GSC14,NA,1,64,5,46,72,27,35,12,43,65,52,11,29,31,22,26,39,46,45,4,19
gi|6325196|ref|NP_015264.1|,sequence,GSC14,NA,1,44,7,27,36,21,45,4,35,37,38,11,27,21,11,17,24,37,38,4,16
gi|6325229|ref|NP_015297.1|,sequence,GSC14,NA,1,53,6,19,22,12,38,6,25,30,29,5,19,15,16,11,27,16,39,3,7
gi|6325326|ref|NP_015394.1|,sequence,GSC14,NA,1,19,4,17,26,12,14,10,20,24,23,7,9,14,10,7,17,20,23,5,12
gi|6325331|ref|NP_015399.1|,sequence,GSC14,NA,1,68,2,34,35,28,58,17,36,43,63,11,31,38,23,22,57,37,42,9,26
gi|6325384|ref|NP_015452.1|,sequence,GSC14,NA,1,21,5,20,26,18,25,9,24,24,31,5,18,12,10,14,29,16,23,4,11
gi|6325403|ref|NP_015471.1|,sequence,GSC14,NA,1,54,9,45,38,23,35,19,40,38,45,14,10,30,14,30,36,34,24,11,23
gi|6325418|ref|NP_015486.1|,sequence,GSC14,NA,1,56,5,61,66,43,48,19,61,63,83,18,53,41,35,40,53,45,59,17,36
gi|10383757|ref|NP_009880.2|,sequence,GSC14,NA,1,14,6,19,29,17,14,8,17,26,36,10,18,23,11,5,21,23,11,2,11
gi|10383781|ref|NP_009938.2|,sequence,GSC14,NA,1,43,1,26,29,19,37,8,23,42,41,4,14,17,8,13,26,18,38,2,7
gi|14318479|ref|NP_116614.1|,sequence,GSC14,NA,1,26,4,20,27,14,29,10,30,18,25,16,9,19,14,18,31,21,26,4,14
gi|14318481|ref|NP_116616.1|,sequence,GSC14,NA,1,31,6,29,36,25,34,11,21,15,32,15,27,18,23,19,37,26,33,5,14
gi|14318506|ref|NP_116640.1|,sequence,GSC14,NA,1,13,0,11,11,2,13,2,1,15,3,2,3,3,6,3,8,2,7,0,4
gi|14318569|ref|NP_116702.1|,sequence,GSC14,NA,1,29,5,35,27,23,38,9,30,40,44,12,14,26,16,11,44,25,33,5,15
gi|37362649|ref|NP_011269.2|,sequence,GSC14,NA,1,52,7,64,44,28,36,14,48,72,60,16,36,30,16,36,28,36,50,12,23
gi|86558907|ref|NP_012211.2|,sequence,GSC14,NA,1,26,3,21,19,13,17,6,21,26,17,2,9,15,3,6,8,10,14,5,9
gi|116006499|ref|NP_014515.2|,sequence,GSC14,NA,1,24,5,20,14,9,28,11,33,17,38,9,24,20,16,14,37,14,34,0,10
gi|144228166|ref|NP_009396.2|,sequence,GSC14,NA,1,60,3,49,51,28,50,5,40,53,48,8,32,28,23,26,41,45,41,1,10
gi|154199621|ref|NP_013969.3|,sequence,GSC14,NA,1,12,0,5,10,10,4,7,10,19,9,4,5,7,7,16,12,9,15,2,9
gi|330443362|ref|NP_009341.2|,sequence,GSC14,NA,1,24,11,22,25,14,36,17,28,31,27,11,10,19,10,8,26,16,36,5,6
gi|330443451|ref|NP_009679.2|,sequence,GSC14,NA,1,49,6,49,61,33,41,13,37,60,56,12,23,30,16,36,39,30,51,7,18
gi|330443609|ref|NP_012405.2|,sequence,GSC14,NA,1,175,23,126,150,84,132,44,145,127,204,47,109,104,60,103,168,128,191,14,80
gi|330443644|ref|NP_012765.3|,sequence,GSC14,NA,1,64,7,57,56,48,49,15,47,80,85,23,48,38,31,36,75,69,70,23,31
gi|330443730|ref|NP_014583.2|,sequence,GSC14,NA,1,32,9,32,27,17,27,3,24,33,37,7,13,21,16,20,22,27,32,4,17
gi|14318578|ref|NP_116711.1|,obsolete,GSC14,NA,1,32,4,36,35,17,42,9,33,39,48,13,18,25,15,18,24,29,28,4,16
