Protein.name,Average.T.N.ratio,Accession.No.
"Ribosome binding protein 1",1.8,Q9P2E9
"S adenosylhomocysteine hydrolase",2.3,P23526
"S100 calcium binding protein A9",2.2,P06702
"Solute carrier family 25, member 5",2.2,P05141
"Solute carrier family 3, member 2",2,P08195
"Splicing factor 3B, subunit 3",2.8,Q15393
"Splicing factor, arginine/serine-rich 3 (SRp20)",2.3,P84103
"TLS protein",Inf,P35637
Transgelin,2.1,Q01995
"Transgelin 2",2.3,P37802
"Triosephosphate isomerase 1",2,P60174
"Tumor rejection antigen 1",Inf,P14625
"Ubiquitin activating enzyme 1",2.1,P22314
"Ubiquitin isopeptidase T",2.3,Q92995
"U5 snRNP-specific protein, 116 kDa",2.5,Q15029
Vimentin,2.5,P08670
Vitronectin,2.1,P04004
"XTP3 transactivated protein A",2.4,Q9H773
Zyxin,2.2,Q15942
"Abhydrolase domain containing 14B",0.39,Q96IU4
"ADP ribosylation factor like 10C",0.27,Q8N8L6
"Aldehyde dehydrogenase 2",0.42,P05091
"Alpha 1 antitrypsin",0.37,P01009
"Alpha-actinin 1, 4",0.46,P12814;O43707
"Annexin A2 isoform 2",0.41,P07355
"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d",0.34,O75947
"ATP binding cassette transporter subfamily A member 12",0.36,Q86UK0
Calnexin,0.23,P27824
Calreticulin,0.48,P27797
"Carbonic Anhydrase II",0.1,P00918
"Carbonyl reductase 1",0.54,P16152
"Cathepsin S",0.43,P25774
"Collagen type 12 alpha-1",0.43,Q99715
"Collagen type 14 alpha-1",0,Q05707
"Creatine Kinase-B",0.5,P12277
"Cysteine rich protein 1",0.33,P21291
"Desmoglein 2",0,Q14126
"Dynein light chain 1",0.48,P63167
"Endoplasmic-reticulum-lumenal protein 29",0.42,P30040
"Endoplasmic-reticulum-lumenal protein 46",0.42,Q8NBS9
"Enoyl CoA hydratase 1",0.34,P30084
"Eukaryotic translation elongation factor 2",0.51,P13639
"Eukaryotic translation initiation factor 3 subunit 6",0.33,P60228
"FHL1 (skeltal muscle LIM-protein)",0.34,Q13642
"Filamin A",0.4,P21333
"Filamin B",0.39,O75369
"Gelsolin isoform a",0.44,P06396
"Glucosamine-fructose-6-phosphate aminotransferase 1",0.34,Q06210
"GTP-binding protein Rab1",0.59,P62820
Haptoglobin,0.46,P00738
"Heterogeneous nuclear ribonucleoprotein A2 /B1",0.42,P22626
"Hydroxymethylglutaryl-CoA synthase, mitochondrial",0.3,P54868
"Isocitrate dehydrogenase 1",0.09,O75874
"JM5 protein",0.55,Q9Y484
"Major vault protein",0.47,Q14764
"MHC class I antigen",0.53,P01891
Myeloperoxidase,0.46,P05164
"Myosin, heavy polypeptide 14",0.38,Q7Z406
"Myozenin 3",0.47,Q8TDC0
"NADH Ubiquinone oxidoreductase subunit B13",0.38,Q16718
"Normal mucosa of esophagus specific 1",0.25,Q9C002
"Olfactomedin 4",0.46,Q6UX06
"Phosphoenolpyruvate calboxykinase 2",0.44,Q16822
"Phosphoglycerate mutase 1",0.23,P18669
"Proline arginine-rich end leucine-rich repeat protein",0.34,P51888
"Protein kinase C and casein kinase substrate in neurons 2",0.49,Q9UNF0
"Pyridoxine 5-prime-phosphate oxidase",0.27,Q9NVS9
"Raf kinase inhibitor protein",0.41,P30086
"Ras associated protein Rab5B",0.42,P61020
"Retinoblastoma binding protein 4, 7",0.43,Q09028;Q16576
"Succinate dehydrogenase complex,subunit A,,flavoprotein",0.43,P31040
"TNRC15 protein",0.29,Q7Z6I7
Transferrin,0.46,P02787
"UDP-glucose dehydrogenase",0.36,O60701
"Valosin containing protein",0.49,Q0V924
"Villin 1",0.13,P09327
