"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O_rQEC.down","nH2O_rQEC.up","nH2O_rQEC.diff","nO2_biosynth.down","nO2_biosynth.up","nO2_biosynth.diff","nH2O_biosynth.down","nH2O_biosynth.up","nH2O_biosynth.diff","nAA.down","nAA.up","nAA.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM1617.down","PS_LMM1617.up","PS_LMM16.diff"
MRK+11_AC.NC,"adenocarcinoma / normal",,351,232,-0.1363,-0.1083,0.028,-0.0077,0.0361,0.0438,-1.6718,-1.6504,0.0214,0.2973,0.2945,-0.0028,432,644,212,3.6588,3.4676,-0.1912,4.1135,4.3276,0.2141
SHHS11,"T/N",,28,43,-0.1237,-0.1402,-0.0165,0.0357,0.0434,0.0077,-1.6515,-1.6576,-0.0061,0.3252,0.3379,0.0127,370.5,432,61.5,3.2308,2.2564,-0.9744,3.6667,3,-0.6667
KYK+12,"MSS-type T / N",,73,175,-0.1367,-0.1169,0.0197,0.0224,0.0368,0.0144,-1.6737,-1.6436,0.0301,0.3085,0.2815,-0.027,412,537,125,4.9857,3.3962,-1.5895,4.4583,4.0286,-0.4298
WOD+12,"T / N",,79,677,-0.1419,-0.1326,0.0093,-0.0144,0.0216,0.036,-1.6865,-1.7005,-0.0139,0.2946,0.3338,0.0392,292,485,193,4.85,2.4318,-2.4182,4.9254,3.7667,-1.1586
CZD+14,"T/N",,52,74,-0.1042,-0.0981,0.0061,0.0142,0.063,0.0488,-1.6014,-1.6394,-0.0379,0.2586,0.3354,0.0768,437,276.5,-160.5,4.5106,4.1286,-0.3821,4.7692,4.3649,-0.4044
STK+15,"membrane enriched T / N",,113,66,-0.1452,-0.149,-0.0038,0.0049,0.0191,0.0142,-1.6884,-1.6871,0.0012,0.3123,0.3385,0.0261,381,387,6,4.5185,4.4531,-0.0654,4.2703,4.0758,-0.1945
WDO+15_C.N,"carcinoma / normal",,879,1281,-0.1348,-0.1209,0.0139,0.0023,0.0301,0.0278,-1.6718,-1.676,-0.0042,0.3019,0.3077,0.0058,423,552,129,4.1531,2.8278,-1.3253,4.6786,4.045,-0.6337
LXM+16,"biopsy T / N",,191,178,-0.1304,-0.1345,-0.0041,0.0184,0.0414,0.0229,-1.6224,-1.6992,-0.0768,0.2824,0.3241,0.0417,388,363.5,-24.5,3.6728,3.6929,0.02,4.1754,3.9932,-0.1822
PHL+16_CIS,"CIS / NC",,169,138,-0.142,-0.126,0.0161,0.0348,0.0323,-0.0026,-1.6855,-1.683,0.0025,0.3657,0.3209,-0.0447,421,704.5,283.5,3.239,3.3889,0.1499,3.7455,3.9928,0.2473
PHL+16_ICC,"ICC / NC",,129,100,-0.147,-0.1282,0.0188,0.0348,0.008,-0.0269,-1.6818,-1.6969,-0.0151,0.3551,0.3261,-0.029,412,721,309,2.8211,3.9663,1.1452,3.464,4.2,0.736
CTW+17,"colorectal organoid",,227,78,-0.1311,-0.1327,-0.0016,0.0213,0.0467,0.0253,-1.6719,-1.7164,-0.0445,0.314,0.3406,0.0266,629,509.5,-119.5,4.3623,2.6957,-1.6667,4.7511,4.1538,-0.5973
HZW+17,"tumor / adjacent",,126,589,-0.1344,-0.1239,0.0105,0.002,0.0236,0.0216,-1.6391,-1.6755,-0.0364,0.3069,0.3055,-0.0014,424,596,172,5.7739,3.1326,-2.6413,5.232,4.3231,-0.9089
LLL+17,"LCM cancer / non-neoplastic mucosa",,110,77,-0.1321,-0.1384,-0.0062,0.0372,0.0406,0.0033,-1.65,-1.7279,-0.0779,0.3212,0.3811,0.0599,342,589,247,4.3827,3.8182,-0.5645,4.7444,4.0169,-0.7275
NKG+17,"T/N",,48,77,-0.1361,-0.1261,0.0099,0.0445,0.0191,-0.0254,-1.6625,-1.6364,0.0262,0.3182,0.3458,0.0276,442.5,375,-67.5,4.2,4.7042,0.5042,4.2174,4.3506,0.1333
QMB+17,"cancer / control",,25,53,-0.1132,-0.1364,-0.0232,4e-04,0.0317,0.0313,-1.6683,-1.6926,-0.0244,0.2979,0.3102,0.0123,527,464,-63,4,3.1176,-0.8824,4.625,3.9615,-0.6635
TMS+17,"epithelial T/N",,158,166,-0.1518,-0.1223,0.0295,0.0227,0.0455,0.0228,-1.7051,-1.6723,0.0328,0.3344,0.3438,0.0095,408.5,469.5,61,3.3154,3.1667,-0.1488,3.9684,4.0848,0.1165
ZLY+17,"T/N",,58,54,-0.1524,-0.1342,0.0182,0.0096,0.0314,0.0218,-1.6854,-1.6883,-0.0029,0.3132,0.3593,0.0461,305,283,-22,3.875,3.5952,-0.2798,4.1538,3.9796,-0.1743
AKG+18,"T/N",,43,426,-0.1103,-0.1409,-0.0306,0.0033,0.0362,0.0329,-1.6018,-1.7054,-0.1036,0.2687,0.3528,0.0841,376,330.5,-45.5,4.9744,2.6772,-2.2972,5.0465,3.6635,-1.383
STA+19_CC.NM,"non-metastatic colon cancer, T/N",,437,317,-0.1361,-0.1253,0.0108,0.0012,0.0294,0.0282,-1.6651,-1.668,-0.0029,0.2969,0.3157,0.0188,377,455,78,3.9618,3.8754,-0.0864,4.6134,4.4268,-0.1867
STA+19_CC.M,"metastatic colon cancer, T/N",,436,356,-0.1447,-0.1198,0.0249,-0.0029,0.0399,0.0427,-1.6825,-1.6489,0.0337,0.3014,0.2986,-0.0028,366,434,68,3.7744,4.0852,0.3108,4.5804,4.5411,-0.0393
WYL+19,"tumor-associated / normal vascular endothelial cells",,97,119,-0.1417,-0.1313,0.0105,0.026,0.0172,-0.0087,-1.6769,-1.6869,-0.01,0.3013,0.3318,0.0305,416,266,-150,4.1961,4.0135,-0.1826,4.8305,4.1538,-0.6767
