"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O_rQEC.down","nH2O_rQEC.up","nH2O_rQEC.diff","nO2_biosynth.down","nO2_biosynth.up","nO2_biosynth.diff","nH2O_biosynth.down","nH2O_biosynth.up","nH2O_biosynth.diff","nAA.down","nAA.up","nAA.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff"
CRS+15_wt,"MDA-MB-231 breast cancer parental cells",cancer,28,25,-0.1281,-0.1263,0.0018,0.0343,-0.0172,-0.0515,-1.6786,-1.5856,0.093,0.3475,0.2348,-0.1127,521.5,554,32.5,2.8696,5.6522,2.7826,4.0357,5.04,1.0043
CRS+15_BT,"MDA-BT breast cancer bone tropic cells",cancer,20,79,-0.1398,-0.104,0.0358,0.0593,-0.0175,-0.0767,-1.7763,-1.55,0.2263,0.4198,0.2099,-0.21,397,582,185,3.4211,4.8732,1.4522,3.9,5.1392,1.2392
RTA+15,"LNCaP and PC3 prostate cancer cell exosomes",cancer,16,111,-0.129,-0.1416,-0.0127,0.0024,0.034,0.0316,-1.6258,-1.7153,-0.0895,0.2643,0.3838,0.1194,564,394,-170,4.75,2.2843,-2.4657,4.4375,3.3273,-1.1102
RSE+16,"adipose-derived SC",,66,50,-0.1469,-0.1204,0.0265,0.0178,0.005,-0.0128,-1.6947,-1.6324,0.0623,0.3249,0.2474,-0.0776,392.5,451,58.5,2.0635,3.375,1.3115,3.2424,4.38,1.1376
CGH+17_exosomes,"mouse CF exosomes",,73,71,-0.1601,-0.1205,0.0396,0.062,0.0036,-0.0584,-1.7721,-1.5962,0.176,0.3846,0.2854,-0.0992,463,573,110,NA,NA,NA,NA,NA,NA
CGH+17_secretome,"mouse CF secretome",,47,75,-0.1068,-0.1023,0.0045,0.012,-0.0128,-0.0248,-1.6538,-1.5574,0.0965,0.324,0.1966,-0.1274,505,474,-31,NA,NA,NA,NA,NA,NA
CLY+18_secretome,"HCT116 secretome",cancer,104,88,-0.1512,-0.1224,0.0289,0.0352,0.0052,-0.03,-1.7167,-1.6315,0.0852,0.3319,0.2988,-0.0331,497.5,351.5,-146,2.6429,3.5139,0.871,3.7788,4.2614,0.4825
DWW+18,"ovarian cancer cell exosomes",cancer,22,102,-0.1419,-0.1352,0.0067,0.0232,0.0272,0.004,-1.6643,-1.7068,-0.0426,0.3472,0.3688,0.0217,650,654.5,4.5,NA,NA,NA,NA,NA,NA
FPR+18,"endothelial progenitor cells",,41,42,-0.1339,-0.1346,-8e-04,0.0116,0.0145,0.0029,-1.6536,-1.6714,-0.0178,0.3277,0.3595,0.0317,370,537,167,4.7949,2.75,-2.0449,4.8537,3.619,-1.2346
ODS+18,"AC10 ventricular cardiomyocyte extracellular vesicles",,14,60,-0.1281,-0.1329,-0.0048,-0.0173,0.0037,0.0209,-1.7087,-1.6345,0.0742,0.2947,0.2499,-0.0448,814,704.5,-109.5,4.8333,3.7143,-1.119,5.2143,4.8983,-0.316
CWG+19,"U87‐MG glioma cell secretome",cancer,980,1034,-0.1249,-0.1237,0.0013,0.0106,0.0105,-1e-04,-1.6556,-1.6475,0.0081,0.2907,0.286,-0.0047,561.5,606,44.5,4.4254,4.7241,0.2987,4.9872,5.1091,0.1219
KAN+19_secretome,"cancer-associated fibroblasts secretome",cancer,33,26,-0.114,-0.1344,-0.0204,0.0484,0.0468,-0.0016,-1.5367,-1.6078,-0.071,0.1711,0.2393,0.0682,630,337,-293,3.6897,5.7727,2.0831,4.6129,5,0.3871
NJVS19_CAM,"cancer-associated myofibroblasts",cancer,96,54,-0.1377,-0.1084,0.0293,0.0391,0.0331,-0.0061,-1.6837,-1.584,0.0998,0.3429,0.2171,-0.1258,375.5,438.5,63,2.7969,4.4884,1.6915,3.6176,4.9556,1.3379
NJVS19_NTM,"normal tissue myofibroblasts",,143,233,-0.0954,-0.1241,-0.0287,-0.0076,0.0314,0.039,-1.5444,-1.6686,-0.1242,0.1864,0.3191,0.1328,552,364,-188,4.2088,3.1987,-1.0101,5.1584,4.1369,-1.0215
PDT+19,"mouse melanoma B16-F0 exosomes",cancer,219,988,-0.1358,-0.1339,0.002,0.0109,0.0231,0.0123,-1.678,-1.6768,0.0011,0.3352,0.3224,-0.0128,426,472.5,46.5,NA,NA,NA,NA,NA,NA
