GeneID,Entrez,Entry,Phylostrata
AC136604.1,0,NA,14
AC139426.2,0,NA,16
AC142381.1,0,NA,16
AC242842.2,0,NA,15
ACAA1,30,P09110,1
ACAA2,10449,P42765,1
ACACA,31,Q13085,2
ACACB,32,O00763,2
ACAD10,80724,Q6JQN1,1
ACAD11,84129,Q709F0,1
ACAD8,27034,Q9UKU7,2
ACAD9,28976,Q9H845,1
ACADL,33,P28330,1
ACADM,34,P11310,1
ACADS,35,P16219,1
ACADSB,36,P45954,1
ACADVL,37,P49748,1
ACAN,176,P16112,7
ACAP1,9744,Q15027,2
ACAP2,23527,Q15057,2
ACAP3,116983,Q96P50,2
ACAT1,38,P24752,1
ACAT2,39,Q9BWD1,1
ACBD3,64746,Q9H3P7,4
ACBD4,79777,Q8NC06,8
ACBD5,91452,Q5T8D3,2
ACBD6,84320,Q9BR61,2
ACCSL,390110,Q4AC99,2
ACD,65057,Q96AP0,8
ACE,1636,P12821,4
ACE2,59272,Q9BYF1,8
ACER1,125981,Q8TDN7,8
ACER2,340485,Q5QJU3,4
ACER3,55331,Q9NUN7,2
ACIN1,22985,Q9UKV3,2
ACKR2,1238,O00590,9
ACKR3,57007,P25106,8
ACKR4,51554,Q9NPB9,8
ACMSD,130013,Q8TDX5,1
ACN9,57001,Q9NRP4,2
ACO1,48,P21399,1
ACO2,50,Q99798,1
ACOT1,641371,Q86TX2,1
ACOT11,26027,Q8WXI4,1
ACOT12,134526,Q8WYK0,8
ACOT13,55856,Q9NPJ3,1
ACOT2,10965,P49753,1
ACOT4,122970,Q8N9L9,6
ACOT6,641372,Q3I5F7,14
ACOT7,11332,O00154,1
ACOT8,10005,O14734,1
ACOT9,23597,Q9Y305,2
ACOX1,51,Q15067,2
ACOX2,8309,Q99424,2
ACOX3,8310,O15254,2
ACOXL,55289,Q9NUZ1,2
ACP1,52,P24666,1
ACP2,53,P11117,2
ACP5,54,P13686,2
ACP6,51205,Q9NPH0,2
ACPL2,92370,Q8TE99,4
ACPP,55,P15309,2
ACPT,93650,Q9BZG2,12
ACR,49,P10323,8
ACRBP,84519,Q8NEB7,9
ACRC,93953,Q96QF7,2
ACRV1,56,P26436,10
ACSBG1,23205,Q96GR2,1
ACSBG2,81616,Q5FVE4,1
ACSF2,80221,Q96CM8,1
ACSF3,197322,Q4G176,1
ACSL1,2180,P33121,1
ACSL3,2181,O95573,1
ACSL5,51703,Q9ULC5,1
ACSL6,23305,Q9UKU0,1
ACSM1,116285,Q08AH1,1
ACSM2A,123876,Q08AH3,1
ACSM2B,348158,Q68CK6,1
ACSM3,6296,Q53FZ2,1
ACSM4,341392,P0C7M7,1
ACSM5,54988,Q6NUN0,1
ACSS1,84532,Q9NUB1,1
ACSS2,55902,Q9NR19,1
ACSS3,79611,Q9H6R3,1
ACTA1,58,P68133,2
ACTA2,59,P62736,2
ACTB,60,P60709,2
ACTBL2,345651,Q562R1,2
ACTC1,70,P68032,2
ACTG1,60,P60709,2
ACTG2,72,P63267,2
ACTL10,170487,Q5JWF8,11
ACTL6A,86,O96019,2
ACTL6B,51412,O94805,2
ACTL7A,10881,Q9Y615,11
ACTL7B,10880,Q9Y614,11
ACTL8,81569,Q9H568,12
ACTL9,284382,Q8TC94,11
ACTN1,87,P12814,2
ACTN2,88,P35609,2
ACTN4,81,O43707,2
ACTR10,55860,Q9NZ32,2
ACTR1A,10121,P61163,2
ACTR1B,10120,P42025,2
ACTR2,10097,P61160,2
ACTR3,10096,P61158,2
ACTR3B,57180,Q9P1U1,2
ACTR5,79913,Q9H9F9,2
ACTR6,64431,Q9GZN1,2
ACTR8,93973,Q9H981,2
ACTRT1,139741,Q8TDG2,10
ACTRT2,140625,Q8TDY3,10
ACTRT3,84517,Q9BYD9,11
ACVR1,90,Q04771,4
ACVR1B,91,P36896,4
ACVR1C,130399,Q8NER5,4
ACVR2A,92,P27037,4
ACVR2B,93,Q13705,4
ACY3,91703,Q96HD9,8
ACYP1,97,P07311,1
ACYP2,98,P14621,1
ADA,100,P00813,1
ADAD1,132612,Q96M93,8
ADAD2,161931,Q8NCV1,8
ADAL,161823,Q6DHV7,1
ADAM10,102,O14672,4
ADAM11,4185,O75078,6
ADAM12,8038,O43184,4
ADAM15,8751,Q13444,11
ADAM17,6868,P78536,4
ADAM18,8749,Q9Y3Q7,11
ADAM19,8728,Q9H013,4
ADAM2,2515,Q99965,9
ADAM20,8748,O43506,9
ADAM21,8747,Q9UKJ8,9
ADAM23,8745,O75077,6
ADAM28,10863,Q9UKQ2,8
ADAM29,11086,Q9UKF5,9
ADAM30,11085,Q9UKF2,10
ADAM32,203102,Q8TC27,9
ADAM33,80332,Q9BZ11,4
ADAM7,8756,Q9H2U9,10
ADAMDEC1,27299,O15204,10
ADAMTS1,9510,Q9UHI8,5
ADAMTS10,81794,Q9H324,5
ADAMTS12,81792,P58397,5
ADAMTS13,11093,Q76LX8,8
ADAMTS14,140766,Q8WXS8,6
ADAMTS15,170689,Q8TE58,5
ADAMTS16,170690,Q8TE57,5
ADAMTS17,170691,Q8TE56,4
ADAMTS18,170692,Q8TE60,5
ADAMTS19,171019,Q8TE59,4
ADAMTS2,9509,O95450,6
ADAMTS20,80070,P59510,5
ADAMTS3,9508,O15072,6
ADAMTS4,9507,O75173,5
ADAMTS5,11096,Q9UNA0,5
ADAMTS6,11174,Q9UKP5,5
ADAMTS9,56999,Q9P2N4,5
ADAMTSL1,92949,Q8N6G6,6
ADAMTSL2,9719,Q86TH1,8
ADAMTSL3,57188,P82987,6
ADAMTSL4,54507,Q6UY14,5
ADAMTSL4-AS1,0,Q5T5F5,15
ADAMTSL5,339366,Q6ZMM2,7
ADAP1,11033,O75689,4
ADAR,103,P55265,5
ADARB2,105,Q9NS39,2
ADAT1,23536,Q9BUB4,2
ADAT2,134637,Q7Z6V5,1
ADAT3,113179,Q96EY9,2
ADC,113451,Q96A70,9
ADCK1,57143,Q86TW2,1
ADCK2,90956,Q7Z695,1
ADCK3,56997,Q8NI60,1
ADCK4,79934,Q96D53,1
ADCK5,203054,Q3MIX3,1
ADCY1,107,Q08828,4
ADCY10,55811,Q96PN6,2
ADCY2,108,Q08462,4
ADCY3,109,O60266,4
ADCY4,196883,Q8NFM4,4
ADCY5,111,O95622,4
ADCY6,112,O43306,4
ADCY7,113,P51828,4
ADCY8,114,P40145,4
ADCY9,115,O60503,4
ADCYAP1,116,P18509,8
ADCYAP1R1,117,P41586,8
ADD1,118,P35611,1
ADD2,119,P35612,1
ADD3,120,Q9UEY8,1
ADGB,79747,Q8N7X0,4
ADH1A,124,P07327,1
ADH1B,125,P00325,1
ADH4,127,P08319,13
ADH5,128,P11766,1
ADH6,130,P28332,1
ADH7,131,P40394,11
ADHFE1,137872,Q8IWW8,1
ADI1,55256,Q9BV57,1
ADIG,149685,Q0VDE8,13
ADIPOQ,9370,Q15848,8
ADIPOR1,51094,Q96A54,1
ADIPOR2,79602,Q86V24,1
ADIRF,10974,Q15847,11
ADK,132,P55263,2
ADM,133,P35318,8
ADM2,79924,Q7Z4H4,15
ADNP,23394,Q9H2P0,8
ADNP2,22850,Q6IQ32,5
ADO,84890,Q96SZ5,2
ADORA1,134,P30542,6
ADORA2A,135,P29274,4
ADORA2B,136,P29275,7
ADORA3,140,P0DMS8,11
ADPGK,83440,Q9BRR6,2
ADPRH,141,P54922,5
ADPRHL1,113622,Q8NDY3,8
ADPRHL2,54936,Q9NX46,1
ADPRM,56985,Q3LIE5,1
ADRA1B,147,P35368,4
ADRA1D,146,P25100,4
ADRA2A,150,P08913,6
ADRA2B,151,P18089,6
ADRA2C,152,P18825,6
ADRB1,153,P08588,8
ADRB2,154,P07550,7
ADRB3,155,P13945,9
ADRBK1,156,P25098,2
ADRBK2,157,P35626,2
ADSL,158,P30566,1
ADSS,159,P30520,1
ADSSL1,122622,Q8N142,1
ADTRP,84830,Q96IZ2,3
AEBP1,165,Q8IUX7,8
AEN,64782,Q8WTP8,2
AES,166,Q08117,8
AFAP1,60312,Q8N556,7
AFAP1L1,134265,Q8TED9,8
AFF1,4299,P51825,4
AFF2,2334,P51816,4
AFF3,3899,P51826,4
AFF4,27125,Q9UHB7,4
AFG3L2,10939,Q9Y4W6,1
AFM,173,P43652,10
AFMID,125061,Q63HM1,1
AFP,174,P02771,9
AFTPH,54812,Q6ULP2,6
AGA,175,P20933,2
AGAP1,116987,Q9UPQ3,4
AGAP10,642517,Q5VTM2,4
AGAP2,116986,Q99490,4
AGAP3,116988,Q96P47,4
AGAP5,119016,Q96P64,4
AGAP6,119016,Q96P64,4
AGAP8,119016,Q96P64,4
AGAP9,642517,Q5VTM2,4
AGBL1,123624,Q96MI9,2
AGBL2,79841,Q5U5Z8,2
AGBL3,340351,Q8NEM8,2
AGBL4,84871,Q5VU57,2
AGBL5,60509,Q8NDL9,2
AGER,177,Q15109,10
AGFG2,3268,O95081,2
AGGF1,55109,Q8N302,3
AGK,55750,Q53H12,4
AGMAT,79814,Q9BSE5,1
AGMO,392636,Q6ZNB7,1
AGO1,26523,Q9UL18,2
AGO2,27161,Q9UKV8,2
AGO3,192669,Q9H9G7,2
AGO4,192670,Q9HCK5,2
AGPAT1,10554,Q99943,1
AGPAT2,10555,O15120,1
AGPAT3,56894,Q9NRZ7,2
AGPAT4,56895,Q9NRZ5,2
AGPAT5,55326,Q9NUQ2,2
AGPAT6,137964,Q86UL3,2
AGPAT9,84803,Q53EU6,2
AGPS,8540,O00116,1
AGR2,10551,O95994,8
AGR3,155465,Q8TD06,8
AGRN,375790,O00468,2
AGRP,181,O00253,8
AGT,183,P01019,8
AGTPBP1,23287,Q9UPW5,2
AGTR1,185,P30556,8
AGTR2,186,P50052,8
AGTRAP,57085,Q6RW13,15
AGXT,189,P21549,1
AGXT2,64902,Q9BYV1,1
AHCY,191,P23526,1
AHCYL1,10768,O43865,4
AHCYL2,23382,Q96HN2,4
AHDC1,27245,Q5TGY3,8
AHI1,54806,Q8N157,2
AHNAK,79026,Q09666,2
AHNAK2,113146,Q8IVF2,2
AHR,196,P35869,4
AHRR,57491,A9YTQ3,8
AHSA1,10598,O95433,2
AHSG,197,P02765,8
AHSP,51327,Q9NZD4,10
AICDA,57379,Q9GZX7,8
AIDA,64853,Q96BJ3,2
AIF1,199,P55008,5
AIFM1,9131,O95831,2
AIFM2,84883,Q9BRQ8,1
AIFM3,150209,Q96NN9,1
AIG1,51390,Q9NVV5,2
AIM1,202,Q9Y4K1,8
AIM1L,55057,Q8N1P7,8
AIM2,9447,O14862,12
AIMP1,9255,Q12904,1
AIMP2,7965,Q13155,4
AIP,9049,O00170,2
AIPL1,23746,Q9NZN9,2
AIRE,326,O43918,8
AJAP1,55966,Q9UKB5,8
AJUBA,84962,Q96IF1,8
AK1,203,P00568,1
AK2,204,P54819,1
AK3,50808,Q9UIJ7,2
AK5,26289,Q9Y6K8,2
AK7,122481,Q96M32,2
AK8,158067,Q96MA6,1
AK9,221264,Q5TCS8,2
AKAP10,11216,O43572,4
AKAP11,11215,Q9UKA4,8
AKAP12,9590,Q02952,8
AKAP13,11214,Q12802,4
AKAP14,158798,Q86UN6,4
AKAP17A,8227,Q02040,4
AKAP2,11217,Q9Y2D5,7
AKAP3,10566,O75969,11
AKAP4,8852,Q5JQC9,10
AKAP6,9472,Q13023,8
AKAP7,9465,O43687,2
AKAP8,10270,O43823,10
AKAP9,10142,Q99996,6
AKIP1,56672,Q9NQ31,5
AKIRIN1,79647,Q9H9L7,8
AKIRIN2,55122,Q53H80,2
AKNA,80709,Q7Z591,5
AKNAD1,254268,Q5T1N1,10
AKR1A1,10327,P14550,1
AKR1B1,231,P15121,1
AKR1B10,57016,O60218,1
AKR1C2,1646,P52895,10
AKR1C3,8644,P42330,10
AKR1C4,1109,P17516,10
AKR1D1,6718,P51857,1
AKR1E2,83592,Q96JD6,11
AKR7A2,8574,O43488,2
AKR7A3,22977,O95154,2
AKR7L,0,Q8NHP1,2
AKT1,207,P31749,2
AKT1S1,84335,Q96B36,7
AKT2,208,P31751,2
AKT3,10000,Q9Y243,2
AL033381.1,0,NA,15
AL135998.1,0,NA,15
AL136115.1,0,NA,15
AL136218.1,0,NA,15
AL138815.1,0,NA,15
AL353354.1,0,NA,15
AL353608.1,0,NA,15
AL354822.1,0,NA,15
AL354898.1,0,NA,1
AL354993.1,0,NA,14
AL355390.1,0,NA,15
AL356585.1,0,NA,1
AL359195.1,0,NA,14
AL359878.1,0,NA,15
AL360004.1,0,NA,15
AL365202.1,0,NA,15
AL391152.1,0,NA,15
AL391421.1,0,NA,14
AL445665.1,0,NA,15
AL591025.1,0,NA,15
AL591684.1,100996760,NA,16
AL592170.1,0,NA,16
AL603926.1,0,NA,2
AL603965.1,100996760,NA,16
AL627171.1,0,NA,15
AL953854.2,0,NA,16
ALAS2,212,P22557,1
ALCAM,214,Q13740,7
ALDH16A1,126133,Q8IZ83,4
ALDH18A1,5832,P54886,1
ALDH1A1,216,P00352,1
ALDH1A2,8854,O94788,1
ALDH1A3,220,P47895,1
ALDH1B1,219,P30837,1
ALDH1L1,10840,O75891,1
ALDH1L2,160428,Q3SY69,1
ALDH2,217,P05091,1
ALDH3A2,224,P51648,1
ALDH3B2,222,P48448,1
ALDH4A1,8659,P30038,1
ALDH5A1,7915,P51649,1
ALDH6A1,4329,Q02252,1
ALDH7A1,501,P49419,1
ALDH8A1,64577,Q9H2A2,1
ALDH9A1,223,P49189,1
ALDOA,226,P04075,2
ALDOB,229,P05062,2
ALDOC,230,P09972,2
ALG1,56052,Q9BT22,2
ALG10,84920,Q5BKT4,2
ALG10B,84920,Q5BKT4,2
ALG12,79087,Q9BV10,2
ALG13,79868,Q9NP73,2
ALG14,199857,Q96F25,2
ALG1L,200810,Q6GMV1,15
ALG2,85365,Q9H553,2
ALG3,10195,Q92685,2
ALG5,29880,Q9Y673,1
ALG8,79053,Q9BVK2,2
ALK,238,Q9UM73,6
ALKBH1,8846,Q13686,2
ALKBH2,121642,Q6NS38,2
ALKBH3,221120,Q96Q83,1
ALKBH4,54784,Q9NXW9,2
ALKBH6,84964,Q3KRA9,2
ALKBH7,84266,Q9BT30,2
ALKBH8,91801,Q96BT7,1
ALMS1,7840,Q8TCU4,4
ALOX12,239,P18054,8
ALOX12B,242,O75342,2
ALOX15,246,P16050,8
ALOX15B,247,O15296,2
ALOX5,240,P09917,2
ALOX5AP,241,P20292,8
ALOXE3,59344,Q9BYJ1,2
ALPI,248,P09923,1
ALPK1,80216,Q96QP1,5
ALPK2,115701,Q86TB3,8
ALPK3,57538,Q96L96,8
ALPL,249,P05186,1
ALPP,250,P05187,1
ALPPL2,251,P10696,1
ALS2,57679,Q96Q42,4
ALS2CL,259173,Q60I27,9
ALS2CR11,151254,Q53TS8,10
ALS2CR12,130540,Q96Q35,4
ALX1,8092,Q15699,8
ALX3,257,O95076,8
ALX4,60529,Q9H161,5
ALYREF,10189,Q86V81,2
AMACR,23600,Q9UHK6,1
AMBN,258,Q9NP70,10
AMBP,259,P02760,8
AMD1,262,P17707,2
AMDHD1,144193,Q96NU7,1
AMDHD2,51005,Q9Y303,1
AMELX,265,Q99217,10
AMELY,266,Q99218,15
AMER1,139285,Q5JTC6,8
AMER2,219287,Q8N7J2,2
AMER3,205147,Q8N944,10
AMFR,267,Q9UKV5,2
AMH,268,P03971,8
AMHR2,269,Q16671,8
AMICA1,120425,Q86YT9,9
AMIGO1,57463,Q86WK6,8
AMIGO3,386724,Q86WK7,8
AMMECR1,9949,Q9Y4X0,1
AMMECR1L,83607,Q6DCA0,1
AMN,81693,Q9BXJ7,4
AMOT,154796,Q4VCS5,6
AMOTL1,154810,Q8IY63,6
AMOTL2,51421,Q9Y2J4,8
AMPD1,270,P23109,2
AMPH,273,P49418,2
AMT,275,P48728,1
AMTN,401138,Q6UX39,11
AMY1B,276,P04745,1
AMY1C,276,P04745,1
AMY2B,280,P19961,1
AMZ1,155185,Q400G9,9
AMZ2,51321,Q86W34,1
ANAPC1,64682,Q9H1A4,2
ANAPC10,10393,Q9UM13,2
ANAPC11,51529,Q9NYG5,15
ANAPC13,25847,Q9BS18,2
ANAPC15,25906,P60006,5
ANAPC16,119504,Q96DE5,8
ANAPC2,29882,Q9UJX6,2
ANAPC4,29945,Q9UJX5,2
ANAPC5,51433,Q9UJX4,2
ANAPC7,51434,Q9UJX3,2
ANG,283,P03950,8
ANGEL1,23357,Q9UNK9,2
ANGEL2,90806,Q5VTE6,2
ANGPT1,284,Q15389,8
ANGPT2,285,O15123,7
ANGPT4,51378,Q9Y264,6
ANGPTL1,9068,O95841,6
ANGPTL2,23452,Q9UKU9,6
ANGPTL3,27329,Q9Y5C1,8
ANGPTL4,51129,Q9BY76,8
ANGPTL5,253935,Q86XS5,8
ANGPTL6,83854,Q8NI99,11
ANGPTL7,10218,O43827,5
ANHX,647589,E9PGG2,10
ANK2,287,Q01484,1
ANK3,288,Q12955,1
ANKAR,150709,Q7Z5J8,4
ANKDD1A,348094,Q495B1,6
ANKEF1,63926,Q9NU02,5
ANKFN1,162282,Q8N957,4
ANKFY1,51479,Q9P2R3,5
ANKH,56172,Q9HCJ1,8
ANKIB1,54467,Q9P2G1,5
ANKK1,255239,Q8NFD2,2
ANKLE1,126549,Q8NAG6,4
ANKLE2,23141,Q86XL3,3
ANKMY1,51281,Q9P2S6,4
ANKMY2,57037,Q8IV38,4
ANKRA2,57763,Q9H9E1,6
ANKRD1,27063,Q15327,8
ANKRD10,55608,Q9NXR5,5
ANKRD11,29123,Q6UB99,5
ANKRD12,23253,Q6UB98,5
ANKRD13A,88455,Q8IZ07,2
ANKRD13B,124930,Q86YJ7,2
ANKRD13C,81573,Q8N6S4,2
ANKRD13D,338692,Q6ZTN6,2
ANKRD16,54522,Q6P6B7,4
ANKRD17,26057,O75179,2
ANKRD18A,253650,Q8IVF6,14
ANKRD18B,441459,A2A2Z9,14
ANKRD2,26287,Q9GZV1,8
ANKRD20A1,84210,Q5TYW2,11
ANKRD20A2,441425,Q5VUR7,11
ANKRD20A3,441425,Q5VUR7,11
ANKRD20A4,441425,Q5VUR7,11
ANKRD22,118932,Q5VYY1,8
ANKRD23,200539,Q86SG2,11
ANKRD24,170961,Q8TF21,7
ANKRD26,22852,Q9UPS8,5
ANKRD27,84079,Q96NW4,6
ANKRD28,23243,O15084,1
ANKRD29,147463,Q8N6D5,2
ANKRD30A,91074,Q9BXX3,14
ANKRD30BL,554226,A7E2S9,14
ANKRD31,256006,Q8N7Z5,9
ANKRD32,84250,Q9BQI6,4
ANKRD33,341405,Q7Z3H0,12
ANKRD33B,651746,A6NCL7,5
ANKRD34A,284615,Q69YU3,8
ANKRD34B,340120,A5PLL1,4
ANKRD34C,390616,P0C6C1,8
ANKRD35,148741,Q8N283,2
ANKRD36,375248,A6QL64,5
ANKRD36C,0,Q5JPF3,5
ANKRD37,353322,Q7Z713,8
ANKRD39,51239,Q53RE8,2
ANKRD40,91369,Q6AI12,4
ANKRD42,338699,Q8N9B4,4
ANKRD44,91526,Q8N8A2,1
ANKRD46,157567,Q86W74,4
ANKRD49,54851,Q8WVL7,3
ANKRD52,283373,Q8NB46,1
ANKRD53,79998,Q8N9V6,12
ANKRD54,129138,Q6NXT1,2
ANKRD55,79722,Q3KP44,5
ANKRD6,22881,Q9Y2G4,6
ANKRD60,140731,Q9BZ19,4
ANKRD61,100310846,A6NGH8,8
ANKRD62,342850,A6NC57,6
ANKRD63,100131244,C9JTQ0,13
ANKRD7,56311,Q92527,6
ANKRD9,122416,Q96BM1,8
ANKS1A,23294,Q92625,5
ANKS1B,56899,Q7Z6G8,5
ANKS3,124401,Q6ZW76,6
ANKS4B,257629,Q8N8V4,8
ANKS6,203286,Q68DC2,5
ANKUB1,389161,A6NFN9,4
ANKZF1,55139,Q9H8Y5,2
ANLN,54443,Q9NQW6,4
ANO1,55107,Q5XXA6,2
ANO10,55129,Q9NW15,2
ANO2,57101,Q9NQ90,2
ANO3,63982,Q9BYT9,2
ANO4,121601,Q32M45,2
ANO5,203859,Q75V66,2
ANO6,196527,Q4KMQ2,2
ANO7,50636,Q6IWH7,2
ANO8,57719,Q9HCE9,2
ANO9,338440,A1A5B4,8
ANP32A,8125,P39687,2
ANP32B,10541,Q92688,2
ANP32E,81611,Q9BTT0,2
ANPEP,290,P15144,4
ANTXR1,84168,Q9H6X2,7
ANXA1,301,P04083,6
ANXA10,11199,Q9UJ72,9
ANXA11,311,P50995,2
ANXA13,312,P27216,2
ANXA2,302,P07355,8
ANXA2R,389289,Q3ZCQ2,13
ANXA3,306,P12429,8
ANXA4,307,P09525,8
ANXA5,308,P08758,8
ANXA6,309,P08133,6
ANXA7,310,P20073,2
ANXA8,653145,P13928,9
ANXA8L1,653145,P13928,9
ANXA8L2,244,Q5VT79,9
ANXA9,8416,O76027,11
AOAH,313,P28039,2
AOC1,26,P19801,1
AOC2,314,O75106,1
AOC3,8639,Q16853,1
AOX1,316,Q06278,1
AP000275.65,0,NA,2
AP000295.9,0,NA,8
AP000322.53,3753,P15382,16
AP000350.4,0,NA,15
AP000679.2,0,NA,15
AP000867.1,0,NA,15
AP001024.1,0,NA,15
AP003774.4,0,NA,15
AP005482.1,0,NA,15
AP1AR,55435,Q63HQ0,5
AP1B1,162,Q10567,2
AP1G1,164,O43747,2
AP1G2,8906,O75843,2
AP1M1,8907,Q9BXS5,2
AP1S1,1174,P61966,2
AP1S2,8905,P56377,2
AP1S3,130340,Q96PC3,2
AP2A1,160,O95782,2
AP2A2,161,O94973,2
AP2B1,163,P63010,2
AP2M1,1173,Q96CW1,2
AP2S1,1175,P53680,2
AP3B1,8546,O00203,2
AP3B2,8120,Q13367,2
AP3D1,8943,O14617,2
AP3M2,10947,P53677,2
AP3S1,1176,Q92572,2
AP3S2,10239,P59780,2
AP4B1,10717,Q9Y6B7,2
AP4E1,23431,Q9UPM8,2
AP4M1,9179,O00189,2
AP4S1,11154,Q9Y587,2
AP5M1,55745,Q9H0R1,2
AP5S1,55317,Q9NUS5,4
APAF1,317,O14727,4
APBA1,320,Q02410,4
APBA3,9546,O96018,9
APBB1IP,54518,Q7Z5R6,8
APBB3,10307,O95704,8
APC,324,P25054,4
APC2,10297,O95996,4
APCDD1,147495,Q8J025,5
APCDD1L,164284,Q8NCL9,5
APCS,325,P02743,8
APEH,327,P13798,2
APEX2,27301,Q9UBZ4,1
APH1A,51107,Q96BI3,2
APH1B,83464,Q8WW43,2
