GI,Entry,Ref,Description,Peptide.counts..all.,p.Value..6..vs..10..,p.Value..10..vs..17.5..,ratio_10_over_6,ratio_17.5_over_10
516200717,UPI0003499E40,WP_017607443.1,"hypothetical protein",8,0.013,0.373,0.552,1.479
516200756,UPI00034D42C8,WP_017607460.1,"acyl-CoA dehydrogenase",15,0.038,0.353,0.619,1.377
516200766,UPI00034D8AC3,WP_017607465.1,"hypothetical protein",16,0.037,0.446,0.606,1.138
516200776,UPI0003459E91,WP_017607470.1,"hypothetical protein",7,0.156,0.023,1.434,5.009
516200793,UPI000349434C,WP_017607480.1,"hypothetical protein",23,0.403,0.032,1.113,4.399
516200825,UPI00037D5BCE,WP_017607498.1,"hypothetical protein",2,0.001,0.148,2.945,2.402
516200827,UPI000348DAEB,WP_017607500.1,"hypothetical protein",9,0.105,0.033,1.467,0.39
516200988,UPI000368024E,WP_017607574.1,"hypothetical protein",2,0.277,0.038,0.812,3.496
516201016,UPI00034BF306,WP_017607590.1,"hypothetical protein",6,0.019,0.316,1.878,1.482
516201028,UPI000348C9FE,WP_017607594.1,"hypothetical protein",4,0.001,0.131,0.463,0.617
516201061,UPI0003457D72,WP_017607610.1,"hypothetical protein",6,0.031,0.214,0.656,0.698
516201069,UPI0003484DD2,WP_017607616.1,"aldehyde dehydrogenase",9,0.036,0.289,0.641,0.85
516201073,UPI00034BD606,WP_017607618.1,"osmotically inducible protein C",6,0.047,0.255,0.666,0.742
516201075,UPI000348238A,WP_017607619.1,"membrane protein",10,0.041,0.214,0.607,1.836
516201077,UPI00034BA9CF,WP_017607620.1,"membrane protein",19,0.004,0.323,0.477,1.422
516201095,UPI00037E4D85,WP_017607628.1,"hypothetical protein",2,0.463,0.047,0.948,0.473
516201116,UPI000379B0A6,WP_017607638.1,"RNaseH ribonuclease",4,0.03,0.057,0.634,0.442
516201211,UPI000347B1BE,WP_017607682.1,"alpha/beta hydrolase",5,0.135,0.032,0.783,3.976
516201214,UPI000348B8AD,WP_017607684.1,"hypothetical protein",16,0.004,0.04,2.175,3.932
516201233,UPI00034DE982,WP_017607695.1,"hypothetical protein",2,0.271,0.033,0.883,0.418
516201282,UPI00036ABC1F,WP_017607722.1,"hypothetical protein",2,0.5,0.02,1.031,0.386
516201284,UPI000377EAD5,WP_017607724.1,"hypothetical protein",4,0.061,0.04,1.764,0.398
516201311,UPI0003615B55,WP_017607738.1,"hypothetical protein",8,0.013,0.077,1.903,3.003
516201320,UPI000346E1A7,WP_017607745.1,"hypothetical protein",6,0.005,0.447,0.528,1.053
516201364,UPI00037D8CCD,WP_017607765.1,"hypothetical protein",4,0.006,0.045,2.54,3.576
516201376,UPI00034A3430,WP_017607771.1,"carbon-monoxide dehydrogenase",6,0.042,0.209,1.773,1.972
516201393,UPI0003460D6B,WP_017607780.1,"hypothetical protein",10,0.037,0.489,0.596,0.979
516201426,UPI00034805CC,WP_017607796.1,"hypothetical protein",4,0,0.176,0.154,2.41
516201451,UPI00034871D5,WP_017607807.1,"hypothetical protein",3,0.073,0.009,1.688,6.416
516201462,UPI00037D4349,WP_017607813.1,"phosphate ABC transporter substrate-binding protein",5,0.016,0.181,2.068,2.154
516201465,UPI00034CCF59,WP_017607816.1,"hypothetical protein",22,0.022,0.32,1.896,1.479
516201474,UPI0003459B93,WP_017607823.1,"hypothetical protein",3,0.032,0.293,1.937,0.796
516201479,UPI0003490593,WP_017607825.1,oxidoreductase,13,0.035,0.271,1.688,0.74
516201513,UPI00034CAE93,WP_017607840.1,"hypothetical protein",11,0.001,0.303,2.67,1.55
516201523,UPI00034AAB8A,WP_017607847.1,"hypothetical protein",10,0.038,0.332,1.768,1.424
516201539,UPI00034A96CD,WP_017607858.1,"hypothetical protein",3,0.332,0.034,0.853,4.028
516201550,UPI00034DC3C2,WP_017607861.1,"succinyl-CoA synthetase subunit beta",6,0.138,0.028,1.407,0.373
516201646,UPI00034B3D6C,WP_017607907.1,"hypothetical protein",33,0.042,0.258,0.62,0.578
516201659,UPI000363C8A8,WP_017607914.1,"GlcNAc-PI de-N-acetylase",11,0.188,0.048,1.263,0.382
516201701,UPI0003814328,WP_017607935.1,"hypothetical protein",3,0.16,0.042,1.406,4.179
516201717,UPI00037438F5,WP_017607944.1,"hypothetical protein",8,0.006,0.192,0.598,0.66
516201718,UPI00038066A3,WP_017607945.1,"hypothetical protein",2,0.002,0.395,2.768,1.432
516201747,UPI00034AF87A,WP_017607961.1,"3-hydroxy-3-methylglutarate-CoA lyase",15,0.035,0.069,1.637,0.432
516201764,UPI000349A38A,WP_017607972.1,"aromatic compound degradation protein PaaI",3,0.041,0.058,1.862,0.439
516201776,UPI000349A2FC,WP_017607979.1,"transcriptional regulator",10,0.13,0.042,1.499,0.442
516201807,UPI00034740BB,WP_017607998.1,"hypothetical protein",4,0.126,0.049,1.535,3.492
516201835,UPI000380A1AA,WP_017608013.1,bacterioferritin,11,0.046,0.005,1.573,7.147
516201855,UPI000345B180,WP_017608022.1,"hypothetical protein",9,0.01,0.191,0.531,0.598
516201869,UPI0003472EE1,WP_017608029.1,"conjugal transfer protein TraR",9,0.01,0.038,2.019,0.432
516201883,UPI00034D22B7,WP_017608036.1,laccase,9,0.026,0.416,0.627,0.925
516201910,UPI0003473C13,WP_017608048.1,"cell division protein MraZ",4,0,0.402,0.099,1.08
516201920,UPI000372E953,WP_017608053.1,"DNA polymerase IV",10,0.037,0.302,0.627,1.644
516201953,UPI0003469285,WP_017608068.1,"hypothetical protein",3,0.033,0.315,1.839,1.684
516201972,UPI000346D488,WP_017608072.1,"3,4-dihydroxy-2-butanone 4-phosphate synthase",22,0.016,0.277,0.556,0.717
516202015,UPI00037647AE,WP_017608096.1,"pyridoxal biosynthesis lyase",20,0.048,0.099,1.703,0.419
516202036,UPI00034C0B54,WP_017608109.1,beta-glucosidase,13,0.022,0.419,0.627,1.047
516202041,UPI00035E9E93,WP_017608114.1,"5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase",38,0.494,0.001,0.94,8.601
516202058,UPI000344CB94,WP_017608124.1,kynureninase,4,0.02,0.252,0.58,0.848
516202071,UPI00034BFA76,WP_017608131.1,"hypothetical protein",3,0.285,0.015,0.892,5.251
516202073,UPI000365F4A7,WP_017608132.1,"hypothetical protein",2,0.034,0.378,1.979,1.461
516202137,UPI00037CA4C6,WP_017608158.1,"carboxylate-amine ligase",4,0.012,0.319,2.203,1.628
516202148,UPI00034DBCCD,WP_017608163.1,"pyridine nucleotide-disulfide oxidoreductase",17,0.022,0.277,0.591,0.702
516202152,UPI00034C9CEE,WP_017608165.1,"hypothetical protein",14,0.047,0.319,1.761,1.274
516202222,UPI0003466BE2,WP_017608193.1,ferredoxin,4,0.023,0.014,0.628,0.307
516202226,UPI0003456977,WP_017608195.1,"hypothetical protein",7,0.278,0.049,1.185,3.54
516202228,UPI00037EECE5,WP_017608196.1,"2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase",15,0.03,0.033,0.575,0.334
516202322,UPI000369512C,WP_017608233.1,"glycosyl transferase",10,0.003,0.342,0.453,0.83
516202327,UPI00037F731A,WP_017608237.1,"glycosyl transferase family 1",2,0.018,0.498,0.459,1.064
516202347,UPI000349DBD4,WP_017608251.1,"DNA helicase",20,0.002,0.259,2.419,1.547
516202349,UPI00034727EB,WP_017608252.1,"hypothetical protein",9,0.001,0.223,0.475,0.742
516202356,UPI00034B912A,WP_017608255.1,"hypothetical protein",4,0.013,0.22,0.618,2.037
516202466,UPI0003468A76,WP_017608313.1,"hypothetical protein",3,0.347,0.03,0.911,0.416
516202483,UPI0003476F24,WP_017608322.1,"hypothetical protein",12,0.162,0.047,1.435,3.595
516202501,UPI00034C29CD,WP_017608331.1,"preprotein translocase subunit SecA",65,0.039,0.288,0.609,1.21
516202503,UPI0003818137,WP_017608332.1,"hypothetical protein",4,0.293,0.023,1.201,4.579
516202537,UPI0003451B64,WP_017608347.1,"hypothetical protein",5,0.018,0.384,2.161,1.472
516202543,UPI00034A2363,WP_017608350.1,"hypothetical protein",3,0.047,0.037,1.792,0.444
516202592,UPI00035CE99C,WP_017608377.1,"hypothetical protein",2,0.001,0.225,2.995,2.003
516202607,UPI00034C317B,WP_017608385.1,"suppressor of fused family protein",4,0.001,0.379,0.422,1.032
516202660,UPI00034D1D52,WP_017608406.1,"cold-shock protein",4,0.01,0.023,2.316,0.339
516202717,UPI00034D41EC,WP_017608428.1,"hypothetical protein",6,0.228,0.042,0.846,0.473
516202737,UPI00036D116E,WP_017608436.1,"methionine synthase",54,0.108,0.014,1.532,3.779
516202739,UPI00034656EC,WP_017608438.1,"hypothetical protein",19,0,0.499,0.383,1.038
516202780,UPI00034B14CF,WP_017608454.1,"ferric iron reductase FhuF-like transporter family protein",3,0.009,0.042,0.537,4.258
516202794,UPI000347A884,WP_017608459.1,"lipid kinase",6,0.291,0.039,0.89,4.056
516202801,UPI000344D615,WP_017608466.1,"hypothetical protein",3,0.01,0.449,2.37,1.23
516202856,UPI0003458759,WP_017608495.1,"hypothetical protein",5,0.235,0.044,1.344,3.616
516202860,UPI0003487F98,WP_017608497.1,"hypothetical protein",2,0,0.35,0.023,1.396
516202913,UPI00034C96F3,WP_017608514.1,"hypothetical protein",4,0.047,0.458,0.627,1.121
516202931,UPI0003453871,WP_017608527.1,"hypothetical protein",12,0.025,0.375,0.593,1.562
516202954,UPI0003789687,WP_017608543.1,"hypothetical protein",3,0.068,0.028,0.682,0.419
516202968,UPI00036A25F0,WP_017608551.1,"hypothetical protein",2,0.002,0.182,2.534,2.356
516203003,UPI00036B7814,WP_017608566.1,"hypothetical protein",6,0.048,0.299,0.678,0.854
516203015,UPI000345E56E,WP_017608574.1,"isocitrate lyase",19,0.017,0.269,1.904,0.708
516203054,UPI000348B2BA,WP_017608594.1,"hypothetical protein",3,0.155,0.028,1.492,0.425
516203092,UPI00034B7884,WP_017608613.1,"ABC transporter permease",6,0.005,0.061,0.54,3.37
516203093,UPI0003452D8B,WP_017608614.1,"sulfate ABC transporter ATP-binding protein",15,0.002,0.176,0.468,2.036
516203099,UPI000349A8B6,WP_017608618.1,"ATPase AAA",56,0.037,0.387,0.61,0.716
516203193,UPI000379734A,WP_017608661.1,"hypothetical protein",11,0.01,0.203,0.511,1.85
516203276,UPI00037F967D,WP_017608698.1,"histidyl-tRNA synthase",19,0,0.065,0.39,0.459
516203278,UPI000348B782,WP_017608699.1,"ATP-binding protein",10,0.029,0.261,0.605,0.794
516203314,UPI000348884A,WP_017608716.1,"hypothetical protein",2,0.038,0.087,1.917,0.565
516203316,UPI00034DB46C,WP_017608717.1,"ribosome-binding factor A",4,0.183,0.033,1.388,0.397
516203327,UPI00034C4FD2,WP_017608722.1,"zinc protease",20,0.04,0.464,1.69,0.988
516203330,UPI000347F418,WP_017608723.1,"hypothetical protein",10,0.023,0.236,1.819,0.655
516203332,UPI000348B1B5,WP_017608724.1,"hypothetical protein",3,0.122,0.015,1.546,5.514
516203363,UPI0003716EDD,WP_017608738.1,"hypothetical protein",7,0.075,0.013,0.684,5.375
516203365,UPI00034AE649,WP_017608739.1,"hypothetical protein",4,0.485,0.002,1.04,8.883
516203367,UPI0003627B85,WP_017608740.1,"hypothetical protein",11,0,0.008,0.29,6.858
516203372,UPI00034854D1,WP_017608742.1,"hypothetical protein",4,0.038,0.136,0.57,2.475
516203400,UPI000347F235,WP_017608755.1,"hypothetical protein",6,0.036,0.131,1.707,0.592
516203462,UPI00037C8A19,WP_017608786.1,"anion transporter",4,0.06,0.006,1.803,6.35
516203464,UPI00034D432E,WP_017608787.1,"mandelate racemase",15,0.04,0.262,1.644,0.701
516203471,UPI000346F535,WP_017608792.1,choline-sulfatase,21,0.001,0.468,2.74,0.946
516203475,UPI000375D833,WP_017608794.1,"choline transporter",13,0.223,0.009,1.263,7.138
516203544,UPI000346ACFF,WP_017608835.1,"hypothetical protein",7,0.027,0.041,1.741,3.933
516203546,UPI00034C8B6A,WP_017608837.1,"hypothetical protein",9,0.442,0.009,1.068,6.113
516203551,UPI000381A119,WP_017608842.1,"hypothetical protein",18,0.01,0.128,0.524,0.504
516203557,UPI00034CB4D4,WP_017608846.1,"hypothetical protein",9,0.041,0.037,0.659,3.773
516203617,UPI0003488BF9,WP_017608870.1,"DSBA oxidoreductase",13,0.012,0.17,0.526,0.586
516203626,UPI000377D6CA,WP_017608874.1,"hypothetical protein",4,0.024,0.048,1.918,0.417
516203630,UPI000361281A,WP_017608876.1,"magnesium transporter",13,0.043,0.135,0.657,2.329
516203639,UPI00034915BE,WP_017608880.1,cytidyltransferase,3,0.008,0.208,0.521,0.764
516203654,UPI000362F711,WP_017608889.1,"hypothetical protein",9,0.003,0.12,0.559,0.553
516203693,UPI0003451A47,WP_017608901.1,"acetyl-CoA acetyltransferase",14,0.01,0.096,1.857,0.451
516203778,UPI00034B5BEE,WP_017608940.1,"hypothetical protein",3,0,0.019,0.41,0.382
516203810,UPI000361D760,WP_017608957.1,"hypothetical protein",10,0.038,0.107,1.917,2.725
516203872,UPI0003458F02,WP_017608985.1,transporter,6,0.046,0.102,1.824,2.723
516203884,UPI0003490C86,WP_017608991.1,"hypothetical protein",6,0.025,0.04,1.973,4.039
516203888,UPI00034945FE,WP_017608993.1,"hypothetical protein",4,0.016,0.027,1.817,0.363
516203910,UPI00035DE210,WP_017609009.1,"hypothetical protein",14,0.008,0.417,0.547,1.198
516203922,UPI000378486E,WP_017609016.1,"hypothetical protein",5,0.013,0.344,2.077,1.502
516204050,UPI00034B1643,WP_017609077.1,phosphatase,12,0.018,0.287,0.585,1.593
516204055,UPI0003461379,WP_017609079.1,"hypothetical protein",3,0.029,0.123,0.521,2.37
516204088,UPI00034DCCF2,WP_017609094.1,"hypothetical protein",4,0.024,0.075,2.036,3.114
516204094,UPI000348441C,WP_017609097.1,"pyrimidine-nucleoside phosphorylase",7,0.01,0.369,2.249,0.866
516204115,UPI0003459463,WP_017609103.1,"phosphate ABC transporter substrate-binding protein",2,0.002,0.184,2.306,2.023
516204124,UPI00034A22E2,WP_017609106.1,thioredoxin,7,0.04,0.167,1.681,0.591
516204138,UPI000347AA91,WP_017609113.1,"membrane protein",2,0.471,0.044,1.013,4.214
516204161,UPI000348A8C3,WP_017609124.1,glyoxalase,7,0.014,0.104,1.948,0.567
516204163,UPI000346F8B9,WP_017609125.1,"hypothetical protein",5,0.013,0.18,0.479,2.048
516204171,UPI000344F2E1,WP_017609129.1,"hypothetical protein",6,0.485,0.019,1.016,4.864
516204178,UPI00034B1404,WP_017609132.1,oxidoreductase,34,0.002,0.052,2.425,0.351
516204184,UPI000369B32F,WP_017609135.1,"hypothetical protein",4,0.013,0.081,1.811,2.926
516204239,UPI000348B890,WP_017609161.1,"hypothetical protein",4,0.236,0.036,1.344,3.898
516204240,UPI00034AAB8D,WP_017609162.1,"aldo/keto reductase",15,0.01,0.264,0.551,0.671
516204242,UPI00034C6CB2,WP_017609163.1,"antibiotic biosynthesis monooxygenase",6,0.004,0.023,2.326,0.364
516204274,UPI000346BC1A,WP_017609179.1,aminotransferase,8,0.024,0.246,0.591,0.72
516204299,UPI00034634B0,WP_017609191.1,"hypothetical protein",6,0,0.024,3.343,0.34
516204310,UPI000349D2DF,WP_017609196.1,"hypothetical protein",3,0.022,0.237,0.605,1.974
516204314,UPI0003473A10,WP_017609198.1,"hypothetical protein",2,0.046,0.025,1.801,5.069
516204344,UPI000348751F,WP_017609210.1,"hypothetical protein",2,0.261,0.005,1.238,7.54
516204352,UPI0003457ECA,WP_017609214.1,"hypothetical protein",2,0.081,0.019,1.717,0.368
516204377,UPI0003680A44,WP_017609226.1,"hypothetical protein",2,0.001,0.033,3.293,0.366
516204487,UPI00037E8C8A,WP_017609277.1,"alcohol dehydrogenase",8,0.242,0.023,1.279,0.375
516204492,UPI00034534E9,WP_017609279.1,"hypothetical protein",11,0.207,0.046,0.765,0.387
516204498,UPI00036A310F,WP_017609282.1,phosphoglyceromutase,12,0.01,0.232,0.523,0.674
516204500,UPI00034868AF,WP_017609284.1,"D-inositol 3-phosphate glycosyltransferase",10,0.013,0.425,0.594,1.346
516204638,UPI0003488D62,WP_017609345.1,"TetR family transcriptional regulator",2,0.023,0.433,0.527,1.285
516204640,UPI000346E5E4,WP_017609346.1,"NADPH dependend quinone reductase",7,0.005,0.084,0.59,0.488
516204662,UPI000349169C,WP_017609357.1,"hypothetical protein",9,0.003,0.487,0.543,1.07
516204668,UPI000348C60E,WP_017609361.1,ATPase,12,0.412,0.036,0.943,3.864
516204741,UPI00034AFFB2,WP_017609396.1,"single-stranded DNA-binding protein",7,0.014,0.302,1.952,0.766
516204746,UPI00034D0E1E,WP_017609398.1,"hypothetical protein",8,0.003,0.156,2.206,0.589
516204771,UPI000346F597,WP_017609410.1,thioredoxin,5,0.045,0.141,0.668,0.606
516204801,UPI00036CACC3,WP_017609426.1,"hypothetical protein",2,0,0.116,4.043,0.547
516204809,UPI00034CDBC9,WP_017609430.1,"hypothetical protein",7,0,0.385,0.34,1.023
516204810,UPI00034B876A,WP_017609431.1,"hypothetical protein",3,0.001,0.118,0.414,0.63
516204813,UPI00034A08BF,WP_017609434.1,"hypothetical protein",9,0.438,0.038,1.053,0.39
516204874,UPI0003457892,WP_017609470.1,phosphoribosyltransferase,5,0.469,0.043,0.981,0.427
516204877,UPI00034CEB99,WP_017609471.1,"pyruvate dehydrogenase E1 subunit alpha",12,0.013,0.491,1.986,0.994
516204881,UPI0003469B2D,WP_017609473.1,"hypothetical protein",8,0.026,0.302,1.875,0.921
516204897,UPI000366776A,WP_017609477.1,transporter,2,0.193,0.022,1.416,4.865
516204938,UPI0003482140,WP_017609495.1,"hypothetical protein",2,0.304,0.029,1.216,0.416
516205056,UPI00034C156E,WP_017609556.1,"hypothetical protein",6,0.15,0.01,1.511,5.77
516205065,UPI00037EB699,WP_017609560.1,"hypothetical protein",4,0,0.084,0.331,3.281
516205086,UPI0003479D7E,WP_017609571.1,"hypothetical protein",3,0.009,0.292,2.317,1.707
516205135,UPI00034AEF43,WP_017609595.1,"hypothetical protein",15,0.021,0.051,1.823,3.511
516205197,UPI000349FFFD,WP_017609621.1,"dimethylmenaquinone methyltransferase",4,0.037,0.159,1.757,0.637
516205222,UPI000348AD2D,WP_017609632.1,"hypothetical protein",3,0.139,0.037,1.507,0.436
516205223,UPI00034AC0AE,WP_017609633.1,"hypothetical protein",3,0,0.171,0.267,0.722
516205229,UPI000344932B,WP_017609636.1,"hypothetical protein",51,0.234,0.038,1.177,3.609
516205279,UPI00034C37E8,WP_017609656.1,"ATP-binding protein",3,0.016,0.284,2.131,1.75
516205283,UPI00034DBE72,WP_017609658.1,"dynein regulation protein LC7",2,0,0.309,3.415,0.855
516205286,UPI000346AAD9,WP_017609659.1,"hypothetical protein",12,0.464,0.032,1.047,4.867
516205292,UPI000347C9B4,WP_017609662.1,"ornithine carbamoyltransferase",11,0,0.279,0.35,1.578
516205306,UPI000347FDC6,WP_017609667.1,"N-acetyl-gamma-glutamyl-phosphate reductase",4,0,0.126,0.421,0.565
516205319,UPI00034DF743,WP_017609675.1,"50S ribosomal protein L20",8,0.003,0.453,2.328,0.793
516205325,UPI00034A90D1,WP_017609679.1,"Holliday junction resolvase",6,0,0.079,0.425,0.502
516205348,UPI00034B28FA,WP_017609690.1,"DNA repair ATPase",29,0.011,0.153,2.001,0.484
516205351,UPI0003488EB3,WP_017609692.1,"S-adenosylmethionine synthase",32,0.031,0.364,2.072,1.002
516205352,UPI00036058DD,WP_017609693.1,"phosphopantothenoylcysteine decarboxylase",24,0.013,0.354,1.804,0.784
516205387,UPI00034490C0,WP_017609708.1,"transcriptional regulator",3,0.116,0.016,1.553,0.311
516205394,UPI00034B6587,WP_017609711.1,"thiazole synthase",7,0.353,0.045,1.128,0.43
516205422,UPI00034D2F2F,WP_017609726.1,"menaquinol-cytochrome C reductase cytochrome b subunit",20,0.435,0.019,1.007,3.642
516205423,UPI0003496B56,WP_017609727.1,"ubiquinol-cytochrome C reductase",19,0.134,0.025,1.484,3.541
516205444,UPI0003688087,WP_017609736.1,"hypothetical protein",4,0.001,0.249,2.321,0.665
516205469,UPI00036675F2,WP_017609752.1,"phage-shock protein",23,0.011,0.357,2.089,0.728
516205505,UPI000363075E,WP_017609767.1,"hypothetical protein",3,0.013,0.107,2.223,0.605
516205525,UPI0003817F3B,WP_017609777.1,"glutamine synthetase",11,0.03,0.473,1.699,1.082
516205529,UPI000348384A,WP_017609779.1,"hypothetical protein",10,0,0.364,0.346,1.43
516205553,UPI000349B774,WP_017609786.1,oxidoreductase,7,0.03,0.029,1.782,0.402
516205557,UPI0003487DF3,WP_017609788.1,"peptide ABC transporter substrate-binding protein",7,0.047,0.188,0.676,0.681
516205696,UPI000347221C,WP_017609843.1,"NADH:ubiquinone oxidoreductase subunit N",2,0.495,0.009,0.984,6.677
516205698,UPI00034A108F,WP_017609845.1,"NADH:ubiquinone oxidoreductase subunit L",8,0.258,0.028,0.861,4.808
516205699,UPI00034B636D,WP_017609846.1,"NADH dehydrogenase subunit J",3,0.318,0.003,1.195,7.173
516205701,UPI00034B443F,WP_017609848.1,"NADH:ubiquinone oxidoreductase subunit H",5,0.357,0.015,1.222,5.464
516205714,UPI000362238B,WP_017609861.1,"hypothetical protein",12,0.356,0.023,0.915,4.498
516205730,UPI000347D3BD,WP_017609877.1,"hypothetical protein",4,0.073,0.037,1.568,0.39
516205797,UPI00036CC3F1,WP_017609944.1,guanidinobutyrase,8,0.012,0.137,2.118,0.585
516205806,UPI00034BAF5E,WP_017609953.1,"hypothetical protein",5,0.002,0.358,0.431,1.004
516205812,UPI00034B85DB,WP_017609959.1,"pyridoxal-dependent decarboxylase",12,0.024,0.081,0.67,3.05
516205813,UPI00034D55CF,WP_017609960.1,"hypothetical protein",13,0.016,0.204,0.534,1.92
516205817,UPI000377CA1F,WP_017609964.1,"hypothetical protein",6,0.076,0.028,0.609,3.83
516205829,UPI00034ABB76,WP_017609976.1,"hypothetical protein",4,0.046,0.332,0.681,1.555
516205861,UPI00034DA0EC,WP_017610008.1,"hypothetical protein",2,0.121,0.027,0.633,0.43
516205881,UPI000362F625,WP_017610028.1,"peptidylprolyl isomerase",8,0.001,0.152,0.362,2.169
516205887,UPI0003699C5D,WP_017610034.1,"hypothetical protein",3,0.022,0.244,2.112,0.837
516205933,UPI0003490D66,WP_017610071.1,"hypothetical protein",9,0.182,0.024,0.797,5.293
516205951,UPI000348E5FA,WP_017610079.1,"hypothetical protein",5,0.082,0.039,1.477,0.359
516205953,UPI00037CC7EB,WP_017610080.1,"nicotinic acid mononucleotide adenylyltransferase",5,0.033,0.091,0.608,0.587
516205970,UPI00034854D9,WP_017610090.1,"50S ribosomal protein L27",5,0,0.262,2.704,0.705
516205972,UPI000371CF47,WP_017610091.1,"50S ribosomal protein L21",3,0.001,0.14,2.36,0.529
516205989,UPI0003498B39,WP_017610099.1,"rod shape-determining protein Mbl",14,0.454,0.041,1.018,4.057
516205991,UPI000345F683,WP_017610100.1,"nucleoside diphosphate kinase",5,0.152,0.025,1.433,0.393
516206038,UPI00034B3322,WP_017610120.1,"glutamate ABC transporter ATP-binding protein",13,0,0.197,2.904,1.806
516206040,UPI0003468AD5,WP_017610121.1,"amino acid ABC transporter permease",5,0.009,0.013,1.954,5.416
